"","site_location_name","pit_marker_easting","pit_marker_northing","pit_marker_mga_zones"
"1","SASMDD0002",462393,6236497,54
"2","SASMDD0016",473991,6242580,54
"3","QDAMUL0002",267535,7262086,55
"4","WAANUL0007",383287,6676768,52
"5","NTAFIN0030",377970,7129495,53
"6","NSABHC0014",556269,6533546,54
"7","NSAMDD0005",704468,6273882,54
"8","QDAMUL0001",265745.082,7262612.242,55
"10","QDAMUL0003",268301.334,7260277.754,55
"11","NTAFIN0031",389476,7134938,53
"12","NTABRT0001",319423.708,7534837.174,53
"14","NTAGFU0032",432398,8435525,53
"15","WAAMUR0028",272430,6968378,51
"18","QDAGUP0022",505905,8117978,54
"19","QDAMGD0004",228552,7397054,55
"20","NSAMDD0015",508384,6314135,54
"21","NTADAC0001",692704.03,8544672.06,52
"22","NTAFIN0013",316116,7284616,53
"23","WAANUL0009",313059,6717759,52
"24","SASMDD0001",461807,6237472,54
"26","WAAAVW0005",496828.5,6723779.1,50
"27","SAAEYB0003",697171.7,6105755.1,53
"28","NSAMDD0004",643728,6218402,54
"29","SAAGVD0001",640495,6752885,52
"30","SAANUL0002",716645,6524658,52
"31","WAANUL0004",313158,6738108,52
"32","WAANUL0005",373685,6679132,52
"33","WAANUL0008",395563,6672712,52
"34","NTAFIN0017",293119.2,7302459,53
"35","QDABBN0002",617027.4,7359706.3,55
"36","SAAGAW0003",710120,6349619,53
"37","NSAMDD0016",508465,6317411,54
"38","SAAGVD0002",640804,6752752,52
"39","SAAGVD0004",225940,6587416,53
"42","NTAFIN0009",336485,7330658,53
"43","WAANUL0001",771914,6485443,51
"44","NSAMDD0018",387148,6285160,55
"45","NTAFIN0012",311850,7281480,53
"46","NSAMDD0013",509915,6322355,54
"47","NTAFIN0023",341745,7282899,53
"48","WAAHAM0005",353139,6433457,52
"49","NSAMDD0011",501182,6300058,54
"50","NTAFIN0018",291998,7303863,53
"51","NTAFIN0021",344568,7270499,53
"52","VCAMDD0002",559569,6128827,54
"53","NTAFIN0029",343369,7152462,53
"54","NTAFIN0032",390368,7350474,53
"55","NTAFIN0033",395439,7341665,53
