training_set,pv_filter,npv_filter,bs_filter,loss_mean
Train,0.8749704516045492,1.3712269144186084,1.5041443935432868,1.2501139198554816
Test,25.09679561927697,37.713544783294324,46.23573394957837,36.34869145071655
