,Unnamed: 0,pv,npv,bs,ue,x,y,spatial_ref,pv_filter,npv_filter,bs_filter,month,year,dayofyear,month_cir,dayofyear_cir,pv_lag,npv_lag,bs_lag,pv_change,npv_change,bs_change,photoperiod,photoperiod_gradient,days_since_fire,fire_severity,grass,shrub,tree,SLGA_1,SLGA_2,SLGA_3,DER_000_999,MAT,MAP,precip_30,precip_90,precip_180,precip_365,precip_730,precip_1095,precip_1460,VPD_lag,VPD_7,VPD_14,VPD_30,tmax_lag,tmax_7,tmax_14,tmax_30,tmin_lag,tmin_7,tmin_14,tmin_30,time,CO2
0,1,19.8,47.0,31.76,8.2,264705.0,-1491345.0,3577,18.490911592707256,47.35500515995874,32.77917784657723,9,1987,257,0.6816387600233341,0.6473554254622432,,,,,,,11.989817336382806,0.012783308675629712,10950,0,13.2,16.8,20.3,1.9099410138802784,0.6036776433657041,-1.816441427061085,5.726228,27.64457347680751,909.2009674781976,0.0009765625,0.1787109375,52.0927734375,994.3505859375,730.724609375,1306.7919921875,1242.0859375,2.1643843177981363,12.160664290348357,13.178377163521816,30.525530085776616,35.232421875,195.0908203125,230.8701171875,530.712890625,19.388671875,109.84375,110.939453125,272.00390625,1987-09-14,348.25
1,2,18.96,45.84,33.92,7.96,264705.0,-1491345.0,3577,19.905893164283246,46.13337313872918,32.572882696938436,9,1987,273,0.6816387600233341,0.6801338518023718,18.490911592707256,47.35500515995874,32.77917784657723,,,,12.197308250796898,0.013054749250184017,10950,0,13.2,16.8,20.3,1.9099410138802784,0.6036776433657041,-1.816441427061085,5.726228,27.64457347680751,909.2009674781976,0.0009765625,0.125,52.0771484375,994.357421875,730.7275390625,1291.6943359375,1256.9736328125,2.306577444277232,11.880398344616978,16.751339953505305,31.818063257409875,36.001953125,208.052734375,245.0546875,529.8076171875,21.7890625,120.1533203125,122.2529296875,279.0595703125,1987-09-30,348.25
2,3,19.24,44.28,35.08,7.96,264705.0,-1491345.0,3577,22.230718349418026,44.64489424919765,31.74194120293193,10,1987,289,0.7401768531960371,0.7116055685391126,19.905893164283246,46.13337313872918,32.572882696938436,-0.28000000000000114,-1.3599999999999994,1.6599999999999984,12.404721867647408,0.01278629610068549,10950,0,13.2,16.8,20.3,1.9099410138802784,0.6036776433657041,-1.816441427061085,5.726228,27.64457347680751,909.2009674781976,0.0029296875,0.0966796875,51.5263671875,980.783203125,742.6337890625,1293.8974609375,1256.7890625,2.947757858479598,15.80451717298671,19.12594694243592,35.10153507434703,38.705078125,229.259765625,259.8857421875,557.8759765625,22.9638671875,130.2841796875,141.376953125,309.1884765625,1987-10-16,348.25
3,4,27.6,44.76,26.32,7.16,264705.0,-1491345.0,3577,24.610662478216646,43.057824425316674,30.959324177714286,1,1988,4,0.08323691620031025,0.010958684754597053,22.230718349418026,44.64489424919765,31.74194120293193,4.32,-0.5400000000000027,-3.8000000000000007,12.931291455506411,-0.00387637162612009,10950,0,13.2,16.8,20.3,1.9099410138802784,0.6036776433657041,-1.816441427061085,5.726228,27.64457347680751,909.2009674781976,116.3486328125,153.8095703125,0.1279296875,891.9375,599.2841796875,1430.3486328125,1207.599609375,1.6737544312630586,9.93438628875584,9.839059127353087,30.558261736737776,35.490234375,214.84375,239.5869140625,583.8759765625,24.37109375,157.236328125,177.1416015625,408.3466796875,1988-01-04,350.45
4,5,24.4,45.72,28.48,8.0,264705.0,-1491345.0,3577,26.397002742699335,41.527356750576544,30.708514894118625,2,1988,36,0.16589613269341502,0.0984703039987073,24.610662478216646,43.057824425316674,30.959324177714286,2.58,0.7199999999999989,-3.299999999999999,12.674803132935407,-0.011020586634721496,10950,0,13.2,16.8,20.3,1.9099410138802784,0.6036776433657041,-1.816441427061085,5.726228,27.64457347680751,909.2009674781976,35.5478515625,270.638671875,0.0234375,556.322265625,762.2275390625,1474.025390625,1042.0703125,2.2454360141675886,11.284382793072577,14.615491441299172,32.94041909370825,37.697265625,218.091796875,261.900390625,596.5703125,25.7275390625,146.927734375,180.857421875,409.71484375,1988-02-05,350.45
5,6,26.68,40.08,31.72,8.16,264705.0,-1491345.0,3577,27.14701819680149,40.195621458005334,31.28350908465461,2,1988,52,0.16589613269341502,0.14198431644722623,26.397002742699335,41.527356750576544,30.708514894118625,-0.46000000000000085,-2.34,2.6999999999999993,12.483623304438254,-0.012587569342684901,10950,0,13.2,16.8,20.3,1.9099410138802784,0.6036776433657041,-1.816441427061085,5.726228,27.64457347680751,909.2009674781976,197.6943359375,179.8095703125,104.359375,301.947265625,947.4638671875,1389.8642578125,1021.0498046875,1.6347613505271614,10.600568481948889,4.880028762129469,32.344580560762,34.63671875,215.01171875,215.1279296875,592.1533203125,23.998046875,139.818359375,171.6357421875,405.01953125,1988-02-21,350.45
6,7,31.0,27.6,40.0666666666667,6.26666666666667,264705.0,-1491375.0,3577,26.62398975637368,39.19168593016888,32.788814941508456,3,1988,68,0.24740395925452294,0.18522554101827018,27.14701819680149,40.195621458005334,31.28350908465461,3.3000000000000007,-9.059999999999999,5.793333333333349,12.276033756257481,-0.013193934034518406,10950,0,13.2,16.8,20.3,1.9099410138802784,0.6036776433657041,-1.816441427061085,5.726228,27.64457347680751,909.2009674781976,209.0224609375,152.3955078125,153.8134765625,58.36328125,1182.9384765625,1331.3369140625,854.4013671875,1.7936735408018698,11.957809730739465,13.968091059160967,20.35244024808471,36.689453125,223.7041015625,262.7783203125,534.75,25.6181640625,159.3583984375,173.70703125,384.48828125,1988-03-08,350.45
7,8,27.64,40.0,30.92,7.84,264705.0,-1491345.0,3577,24.797200199177915,38.63155469916502,35.13945311653765,4,1988,100,0.3271946967961522,0.27055800080379266,26.62398975637368,39.19168593016888,32.788814941508456,0.4800000000000004,-0.03999999999999915,-0.3999999999999986,11.858513627502386,-0.012561561358426232,10950,0,13.2,16.8,20.3,1.9099410138802784,0.6036776433657041,-1.816441427061085,5.726228,27.64457347680751,909.2009674781976,269.5556640625,245.4658203125,270.658203125,52.2001953125,1050.0771484375,1014.5849609375,994.6552734375,1.9196361448911892,7.819354409449534,6.886018368887173,18.544807207908477,35.69140625,200.9365234375,230.3046875,538.5537109375,22.068359375,142.8583984375,173.4873046875,385.5283203125,1988-04-09,350.45
8,9,19.04,43.04,36.48,7.84,264705.0,-1491345.0,3577,20.535123947257105,40.11416571044454,37.920956937793385,5,1988,148,0.40471456356112473,0.39445938059939806,24.797200199177915,38.63155469916502,35.13945311653765,-5.98,7.719999999999999,-1.7933333333333508,11.374883044269364,-0.006384649951765908,10950,0,13.2,16.8,20.3,1.9099410138802784,0.6036776433657041,-1.816441427061085,5.726228,27.64457347680751,909.2009674781976,0.53515625,298.794921875,374.6669921875,112.9482421875,1095.9970703125,695.8134765625,1318.798828125,1.6089042795176318,9.349405503453907,10.292648699807076,30.110597809083522,33.6474609375,201.8623046875,236.6689453125,552.9365234375,18.0126953125,117.5380859375,157.8310546875,336.55859375,1988-05-27,350.45
9,10,13.16,42.48,42.88,7.0,264705.0,-1491345.0,3577,17.026926757450532,37.132823832508684,44.245004943450354,6,1988,180,0.479425538604203,0.4734035005077529,20.535123947257105,40.11416571044454,37.920956937793385,-7.24,1.2399999999999984,5.98,11.30033276815017,0.0017312270501381732,10950,0,13.2,16.8,20.3,1.9099410138802784,0.6036776433657041,-1.816441427061085,5.726228,27.64457347680751,909.2009674781976,0.05078125,80.46484375,452.4716796875,253.927734375,1095.1572265625,689.408203125,1325.583984375,1.5291782362111108,10.245719830354808,11.551561038611988,27.469502105304173,28.8681640625,174.6572265625,210.8857421875,514.375,12.9111328125,82.2861328125,79.9677734375,267.2412109375,1988-06-28,350.45
