site_location_name,point,estimation_2,missing,x,y
NTABRT0004,SW,False,False,165145.752511925,-2400373.48963166
NTABRT0005,SW,False,False,164699.840775046,-2400509.96046414
NTABRT0006,SW,False,False,164823.272638152,-2400288.122997
NTABRT0007,SW,False,False,167359.076317246,-2400238.60045015
NTABRT0008,SW,False,False,148464.796355798,-2357121.07121461
NTADAC0001,SW,False,False,-134511.943828666,-1390864.4598802
NTADAC0002,SW,False,False,37581.9512622015,-1344635.47742419
NTADMR0001,SW,False,False,268864.91043269,-2074907.17340969
NTADMR0002,SW,False,False,230292.736248023,-2098849.9321152
NTAFIN0001,SW,False,False,147617.374710713,-2605333.42868371
NTAFIN0002,SW,False,False,144381.904359936,-2592434.62739406
NTAFIN0003,SW,False,False,148520.826149121,-2606228.3879896
NTAFIN0004,SW,False,False,138334.809763375,-2612277.40027318
NTAFIN0005,SW,False,False,138079.378122673,-2613311.34731664
NTAFIN0006,SW,False,False,138651.613850462,-2611200.27413484
NTAFIN0007,SW,False,False,144641.680762262,-2584798.59796514
NTAFIN0008,SW,False,False,142585.566918697,-2583593.40047569
NTAFIN0009,SW,False,False,139867.07979635,-2605662.85398809
NTAFIN0010,SW,False,False,138091.244855387,-2606233.95888745
NTAFIN0011,SW,False,False,133420.930264184,-2609385.66567478
NTAFIN0012,SW,False,False,114407.301834743,-2654821.9514777
NTAFIN0013,SW,False,False,118690.789391173,-2651759.1168844
NTAFIN0014,SW,False,False,117195.712454697,-2650555.21905155
NTAFIN0015,SW,False,False,122551.197508224,-2648901.25148723
NTAFIN0016,SW,False,False,130618.499125705,-2645471.40630844
NTAFIN0017,SW,False,False,96356.5315345722,-2633197.64646304
NTAFIN0018,SW,False,False,95279.0798915946,-2631753.61017974
NTAFIN0019,SW,False,False,93910.1441973079,-2631017.1264893
NTAFIN0020,SW,False,False,140288.066162008,-2666207.97772146
NTAFIN0021,SW,False,False,146507.284568904,-2666663.91526074
NTAFIN0022,SW,False,False,145389.471560739,-2662077.37308841
NTAFIN0023,SW,False,False,143995.848619972,-2654061.49743936
NTAFIN0024,SW,False,False,165698.054535281,-2694410.97737812
NTAFIN0025,SW,False,False,167566.780978608,-2683319.05547054
NTAFIN0026,SW,False,False,176305.395882107,-2581395.11132448
NTAFIN0027,SW,False,False,164660.516853723,-2573234.20895302
NTAFIN0028,SW,False,False,138080.92185653,-2789622.18174737
NTAFIN0029,SW,False,False,142621.980244707,-2786033.55087915
NTAFIN0030,SW,False,False,176274.625034584,-2810075.75763807
NTAFIN0031,SW,False,False,187769.277883412,-2804834.34132996
NTAFIN0032,SW,False,False,193619.958205777,-2586850.79796365
NTAFIN0033,SW,False,False,198437.039353948,-2595868.65108595
NTAGFU0001,SW,False,False,532739.116939178,-2033096.38449704
NTAGFU0002,SW,False,False,530895.535859302,-2034423.75703797
NTAGFU0003,SW,False,False,539740.235182777,-2003283.41398806
NTAGFU0004,SW,False,False,539681.975165012,-2002136.76368898
NTAGFU0005,SW,False,False,539309.51427321,-2005354.51203824
NTAGFU0006,SW,False,False,509933.542269438,-2018134.34968513
NTAGFU0007,SW,False,False,507746.481556918,-2017854.2135507
NTAGFU0008,SW,False,False,511823.177114739,-2019025.6273837
NTAGFU0009,SW,False,False,524174.911479479,-2021155.67149138
NTAGFU0010,SW,False,False,540493.90803224,-1921499.56074503
NTAGFU0011,SW,False,False,537505.615887626,-1921317.15539031
NTAGFU0012,SW,False,False,531853.387435891,-1921086.73110847
NTAGFU0013,SW,False,False,531071.709737642,-1921085.55760801
NTAGFU0014,SW,False,False,523985.269796383,-1904853.65273518
NTAGFU0015,SW,False,False,524456.68961136,-1904060.79273184
NTAGFU0016,SW,False,False,560475.994102541,-1847585.6172223
NTAGFU0017,SW,False,False,548984.786234319,-1861932.69324763
NTAGFU0018,SW,False,False,552061.640940296,-1852945.60724996
NTAGFU0019,SW,False,False,557938.036940621,-1847133.72069203
NTAGFU0020,SW,False,False,424041.121746644,-1787880.79889737
NTAGFU0021,SW,False,False,421888.470841459,-1786769.0298373
NTAGFU0022,SW,False,False,424026.356652527,-1788557.70608839
NTAGFU0023,SW,False,False,409455.050202322,-1798362.8953269
NTAGFU0024,SW,False,False,416199.391952485,-1798799.51107096
NTAGFU0025,SW,False,False,412137.557312357,-1798592.29487011
NTAGFU0026,SW,False,False,367121.184537206,-1685341.96482903
NTAGFU0027,SW,False,False,373385.497511247,-1671227.88105816
NTAGFU0028,SW,False,False,373441.844081051,-1665727.26117411
NTAGFU0029,SW,False,False,368234.285952174,-1655567.60955207
NTAGFU0030,SW,False,False,259726.325168877,-1499245.0543987
NTAGFU0031,SW,False,False,260710.752300466,-1498274.45676072
NTAGFU0032,SW,False,False,259232.333440379,-1500956.21022511
NTAGFU0033,SW,False,False,257200.243364039,-1503799.51379321
NTAGFU0034,SW,False,False,264655.103532483,-1491389.80169653
NTAGFU0035,SW,False,False,264585.595011424,-1489818.11091686
NTAGFU0036,SW,False,False,202633.321733052,-1557380.76265943
NTAGFU0037,SW,False,False,205829.322389198,-1557329.11823084
NTAGFU0038,SW,False,False,205953.896575596,-1559117.14154059
NTAGFU0039,SW,False,False,204725.487862846,-1557655.24437289
NTAGFU0040,SW,False,False,200654.35174309,-1557256.77203681
NTAGFU0041,SW,False,False,96884.6487592289,-1567793.86348605
NTAMAC0001,SW,False,False,138192.255355712,-2587495.25636095
NTAMAC0002,SW,False,False,141340.087018721,-2587052.12577287
NTAMAC0003,SW,False,False,141844.784231806,-2586772.21650524
NTAMGD0001,SW,False,False,554650.084103584,-2158224.64717939
NTAMGD0002,SW,False,False,554502.989716307,-2158398.16247725
NTAMGD0003,SW,False,False,153186.339325153,-1852077.46304044
NTAMGD0004,SW,False,False,161972.610752744,-1870206.61838757
NTAMGD0005,SW,False,False,157812.434956611,-1862920.38783193
NTAPCK0001,SW,False,False,90383.4975493435,-1337973.17578681
NTAPCK0002,SW,False,False,87562.4775530971,-1353692.92965488
NTAPCK0003,SW,False,False,94377.4972373542,-1332530.4373203
NTAPCK0004,SW,False,False,95129.3039276746,-1332354.68588404
NTAPCK0005,SW,False,False,92748.5503543102,-1326851.46852278
NTAPCK0006,SW,False,False,95650.0506940416,-1335196.45511051
NTAPCK0007,SW,False,False,94366.6291610767,-1339945.72795552
NTAPCK1009,SW,False,False,104109.56722472,-1337649.78889538
NTAPCK1010,SW,False,False,106585.880703446,-1338208.64848748
NTAPCK1011,SW,False,False,102702.746793518,-1340822.28028848
NTAPCK1012,SW,False,False,103046.896452673,-1340934.76865273
NTAPCK2013,SW,False,False,102428.979443345,-1341360.94506999
NTAPCK2014,SW,False,False,102782.495542637,-1340595.39743988
NTASSD0001,SW,False,False,428575.012974136,-2744513.38831323
NTASSD0003,SW,False,False,427803.08334002,-2743327.00219503
NTASSD0004,SW,False,False,425582.401740893,-2738074.04386282
NTASSD0005,SW,False,False,450666.852794961,-2795116.42761717
NTASSD0006,SW,False,False,450755.956916339,-2795043.87542366
NTASSD0007,SW,False,False,452324.509796052,-2798478.84212828
NTASSD0008,SW,False,False,452106.316796538,-2797885.48611703
NTASSD0009,SW,False,False,401031.778989119,-2684412.27701686
NTASSD0010,SW,False,False,401981.938015681,-2685685.57469023
NTASSD0011,SW,False,False,309533.819000868,-2760201.91814035
NTASSD0012,SW,False,False,309531.180973557,-2762743.74525962
NTASSD0013,SW,False,False,311837.201984251,-2765135.94930137
NTASSD0014,SW,False,False,335937.727286215,-2722452.48824178
NTASSD0015,SW,False,False,360502.10897961,-2721562.08368426
NTASSD0016,SW,False,False,349703.351975103,-2719711.62575771
NTASSD0017,SW,False,False,323781.968035314,-2760113.55726849
NTASSD0018,SW,False,False,351107.522253742,-2721747.9483911
NTASSD0019,SW,False,False,362987.930665405,-2718322.7083794
NTASTU0001,SW,False,False,152115.49664,-1688738.62109656
NTASTU0002,SW,False,False,148615.758754392,-1676709.51193742
NTASTU0003,SW,False,False,143217.658259921,-1669924.10931043
NTASTU0004,SW,False,False,107674.855155364,-1577064.80302952
NTASTU0005,SW,False,False,113758.444734198,-1582026.24631889
NTATAN0001,SW,False,False,228379.626306338,-2223921.91514104
NTATAN0002,SW,False,False,227810.825433821,-2226515.54986205
NTATAN0003,SW,False,False,193427.039163577,-2248101.68063734
NTATAN0004,SW,False,False,194951.631001521,-2248150.0779467
NTTDAB0001,SW,False,False,-35658.6892623262,-1478066.75871802
NTTDAC0001,SW,False,False,-132574.467587806,-1388828.20813651
NTTDMR0001,SW,False,False,178279.654809399,-1932222.41459255
NTTDMR0002,SW,False,False,173049.57234017,-1931319.20120857
NTTDMR0003,SW,False,False,176427.198585813,-1931312.72479341
NTTMGD0001,SW,False,False,151678.0302945,-1843747.99571753
NTTPCK0001,SW,False,False,-96303.1662952797,-1359359.27729919
NTTSTU0001,SW,False,False,136125.367287462,-1771544.74338865
QDABBN0001,SW,False,False,1624360.84573196,-2677647.11044174
QDABBN0002,SW,False,False,1623321.59802697,-2678741.53877466
QDABBS0001,SW,False,False,1572494.4527684,-2777349.11296352
QDABBS0002,SW,False,False,1559411.57397268,-2779375.84416288
QDABBS0003,SW,False,False,1569391.5712859,-2779387.05225461
QDABBS0004,SW,False,False,1571746.94382733,-2775452.26864397
QDABBS0005,SW,False,False,1572654.80484259,-2773801.20247834
QDABBS0006,SW,False,False,1875985.63636929,-3085420.76360478
QDABBS0007,SW,False,False,1873861.35464143,-3105133.06809222
QDABBS0008,SW,False,False,1874526.21926784,-3105425.75160756
QDABBS0009,SW,False,False,1908704.40824597,-3116881.93568031
QDABBS0010,SW,False,False,1895320.13016538,-3145726.07025025
QDACHC0001,SW,False,False,1130812.05283678,-2652132.88629122
QDACHC0002,SW,False,False,1121772.82337778,-2653737.64521029
QDACHC0003,SW,False,False,1121438.98361148,-2652631.9564095
QDACHC0004,SW,False,False,916773.112670281,-2591727.68392269
QDACHC0005,SW,False,False,914781.5143013,-2591911.53288008
QDACHC0006,SW,False,False,920559.188724172,-2597684.42443108
QDACHC0007,SW,False,False,909530.620367023,-2604331.36024888
QDACYP0001,SW,False,False,1432098.49042879,-1696458.28419458
QDACYP0002,SW,False,False,1425423.09937047,-1696460.94574647
QDACYP0003,SW,False,False,1435720.34970477,-1696671.17873849
QDACYP0004,SW,False,False,1197992.83763352,-1543727.23255348
QDACYP0005,SW,False,False,1197438.87142428,-1549143.97657535
QDACYP0006,SW,False,False,1191892.78509425,-1557895.44439403
QDACYP0007,SW,False,False,1197624.95762005,-1558378.90285725
QDACYP0008,SW,False,False,1208688.74832615,-1567206.17252455
QDACYP0009,SW,False,False,1223412.28798058,-1543137.24479206
QDACYP0010,SW,False,False,1184950.94718464,-1432965.66927546
QDACYP0011,SW,False,False,1180278.26681133,-1445159.45599987
QDACYP0012,SW,False,False,1162976.34691522,-1456106.3225494
QDACYP0013,SW,False,False,1170551.09294903,-1334658.3383338
QDACYP0014,SW,False,False,1168500.36757875,-1334185.24457332
QDACYP0015,SW,False,False,1167063.07482179,-1336246.67178157
QDACYP0016,SW,False,False,1161495.97618207,-1257225.80333697
QDACYP0017,SW,False,False,1162090.01698905,-1262287.33067351
QDACYP0018,SW,False,False,1158319.33904691,-1208837.56116206
QDACYP0019,SW,False,False,1174982.49128133,-1174871.84480296
QDACYP0020,SW,False,False,1170532.35801881,-1197103.61640983
QDACYP0021,SW,False,False,1169712.52861973,-1197175.27972059
QDACYP0022,SW,False,False,1168630.39067808,-1180914.64704355
QDACYP0023,SW,False,False,1132107.57357492,-1345698.23917047
QDACYP0024,SW,False,False,1128839.94500514,-1349341.10960916
QDADEU0001,SW,False,False,1462084.82747759,-2285811.76201423
QDAEIU0001,SW,False,False,1274850.77847839,-2153790.54499465
QDAEIU0002,SW,False,False,1276175.32328309,-2155456.28777376
QDAEIU0003,SW,False,False,1272002.81739688,-2139144.4028999
QDAEIU0004,SW,False,False,1270770.1307702,-2143118.45959251
QDAEIU0005,SW,False,False,1253698.16383899,-2030997.84508525
QDAEIU0006,SW,False,False,1252756.29903537,-2032346.52331263
QDAEIU0007,SW,False,False,1252657.15381948,-2032336.6506579
QDAEIU0008,SW,False,False,1476404.16197833,-2213702.16250773
QDAEIU0009,SW,False,False,1476200.32726219,-2213678.46729075
QDAEIU0010,SW,False,False,1475632.11234631,-2214232.28682682
QDAGUP0001,SW,False,False,1218480.25732044,-2212146.32173054
QDAGUP0002,SW,False,False,1223231.47612055,-2203897.62350846
QDAGUP0003,SW,False,False,1211106.67331039,-2243931.5305282
QDAGUP0004,SW,False,False,1090112.2378721,-2190353.87098355
QDAGUP0005,SW,False,False,1088982.96145399,-2187765.85525131
QDAGUP0006,SW,False,False,1082770.35810174,-2183271.50348966
QDAGUP0007,SW,False,False,1020893.63315427,-2192720.72192446
QDAGUP0008,SW,False,False,1044579.64614873,-2163040.08541937
QDAGUP0009,SW,False,False,1037868.57857126,-2167440.20157025
QDAGUP0010,SW,False,False,1024134.21881854,-2174066.99807039
QDAGUP0011,SW,False,False,1023244.43616178,-2176782.82422569
QDAGUP0012,SW,False,False,868227.245409361,-2125869.53959063
QDAGUP0013,SW,False,False,854805.608901619,-2093388.86836623
QDAGUP0014,SW,False,False,928040.333595728,-1980558.01258584
QDAGUP0015,SW,False,False,922158.809309127,-1982175.46490807
QDAGUP0016,SW,False,False,923875.931066432,-1981383.7417789
QDAGUP0017,SW,False,False,964288.846080218,-1916819.24763989
QDAGUP0018,SW,False,False,966165.663245704,-1919077.24866898
QDAGUP0019,SW,False,False,963108.638222312,-1914549.31382987
QDAGUP0021,SW,False,False,959448.996821529,-1845684.76626161
QDAGUP0022,SW,False,False,965871.741565217,-1848357.53456133
QDAGUP0023,SW,False,False,963927.156970068,-1848346.55820549
QDAGUP0024,SW,False,False,940354.787213219,-1895428.59474114
QDAGUP0026,SW,False,False,940319.938614207,-1896195.83315324
QDAGUP0027,SW,False,False,975886.253023418,-1888211.25447382
QDAGUP0028,SW,False,False,976852.6392899,-1879343.54585085
QDAGUP0029,SW,False,False,1191347.51126585,-1846852.47412917
QDAGUP0030,SW,False,False,1191339.6600211,-1846948.99890397
QDAGUP0031,SW,False,False,1191238.61799355,-1846941.99660223
QDAMGD0001,SW,False,False,1234067.30355281,-2596030.39730828
QDAMGD0002,SW,False,False,1234202.83010717,-2594774.27622093
QDAMGD0003,SW,False,False,1241764.99702986,-2597902.2207463
QDAMGD0004,SW,False,False,1245793.64359125,-2596408.78940704
QDAMGD0005,SW,False,False,1244906.73194832,-2596734.53066216
QDAMGD0006,SW,False,False,1214024.41595659,-2610299.52764796
QDAMGD0007,SW,False,False,1219435.7547706,-2610077.55910457
QDAMGD0008,SW,False,False,1217557.63808327,-2608532.7436083
QDAMGD0009,SW,False,False,1138851.09564807,-2651672.62543296
QDAMGD0010,SW,False,False,1140575.08546767,-2651494.54564331
QDAMGD0011,SW,False,False,1136849.27144749,-2649973.58881415
QDAMGD0012,SW,False,False,1279604.8559765,-2746881.82164179
QDAMGD0013,SW,False,False,1125412.40022163,-2473317.72028577
QDAMGD0014,SW,False,False,1122975.40637071,-2471869.93457857
QDAMGD0015,SW,False,False,1125767.6037631,-2478591.9124929
QDAMGD0016,SW,False,False,1134589.94979232,-2473307.72590755
QDAMGD0017,SW,False,False,1154684.46528087,-2430900.20492051
QDAMGD0018,SW,False,False,1158499.38851424,-2431599.02650937
QDAMGD0019,SW,False,False,1046231.80067605,-2416714.67113601
QDAMGD0020,SW,False,False,1045391.51028382,-2415917.0295645
QDAMGD0021,SW,False,False,948592.416700613,-2444033.47774002
QDAMGD0022,SW,False,False,947407.286062913,-2442596.89234433
QDAMGD0023,SW,False,False,906428.409408192,-2587457.20201512
QDAMGD0024,SW,False,False,908472.287048077,-2583021.92099246
QDAMGD0025,SW,False,False,1231459.74078323,-2238957.90373139
QDAMGD0026,SW,False,False,1229652.70554912,-2245300.21989097
QDAMGD0027,SW,False,False,642567.669064279,-2167361.41881866
QDAMGD0028,SW,False,False,635310.705329612,-2153609.21651917
QDAMII0001,SW,False,False,859329.252705076,-2117053.91751731
QDAMII0002,SW,False,False,641445.417560701,-2160445.41305466
QDAMUL0001,SW,False,False,1266643.38454925,-2735655.76474146
QDAMUL0002,SW,False,False,1268400.15828373,-2736338.12497842
QDAMUL0003,SW,False,False,1268881.26448944,-2738296.63200638
QDASEQ0002,SW,False,False,1918921.81745849,-3063632.51967016
QDASEQ0003,SW,False,False,2030547.02013672,-3136974.34717653
QDASEQ0004,SW,False,False,2030473.7593203,-3136840.95208787
QDASSD0001,SW,False,False,653070.988423388,-2580718.78647862
QDASSD0002,SW,False,False,643968.165996995,-2587392.70285585
QDASSD0003,SW,False,False,645730.298419692,-2587912.78885273
QDASSD0004,SW,False,False,649237.599017723,-2571118.77587242
QDASSD0005,SW,False,False,649885.057616175,-2572755.25252888
QDASSD0006,SW,False,False,614358.053642459,-2591751.55713727
QDASSD0007,SW,False,False,614152.231881169,-2591847.86928174
QDASSD0008,SW,False,False,617839.276468285,-2600279.51698601
QDASSD0009,SW,False,False,618169.789290232,-2601769.7436934
QDASSD0010,SW,False,False,605269.857218162,-2574680.25555988
QDASSD0011,SW,False,False,630712.834948202,-2520524.50876214
QDASSD0012,SW,False,False,632770.972799407,-2532703.99312703
QDASSD0013,SW,False,False,630393.615435273,-2526953.92484267
QDASSD0014,SW,False,False,625090.157739122,-2513438.59774621
QDASSD0015,SW,False,False,627637.053727477,-2514937.81629335
SAABHC0001,SW,False,False,792787.547455534,-3504978.37156814
SAABHC0002,SW,False,False,795816.999820023,-3511962.73979467
SAABHC0003,SW,False,False,800254.783930917,-3507693.8181623
SAABHC0004,SW,False,False,797838.862892382,-3516092.60733843
SAABHC0005,SW,False,False,803488.261078651,-3511337.52344767
SAABHC0006,SW,False,False,813030.006091229,-3504299.46369437
SAAEYB0002,SW,False,False,490571.222977281,-3843722.41935914
SAAEYB0003,SW,False,False,469295.311923974,-3850813.46718011
SAAEYB0004,SW,False,False,461498.947816424,-3848381.34765652
SAAEYB0005,SW,False,False,456141.803183026,-3843698.0687167
SAAEYB0006,SW,False,False,463189.094110368,-3846129.33817072
SAAEYB0007,SW,False,False,442785.299059871,-3860654.20062726
SAAEYB0008,SW,False,False,474285.526016158,-3837289.01522456
SAAEYB0009,SW,False,False,440162.89769797,-3858873.01898683
SAAEYB0010,SW,False,False,447328.469619943,-3858133.88373495
SAAEYB0011,SW,False,False,458630.148677785,-3848632.80330998
SAAEYB0012,SW,False,False,449449.252558607,-3850019.06087092
SAAEYB0013,SW,False,False,463023.61182499,-3852458.53812493
SAAEYB0021,SW,False,False,380012.778324134,-3698907.43289994
SAAEYB0022,SW,False,False,369873.334391327,-3698190.46644782
SAAEYB0023,SW,False,False,381777.483964992,-3695858.2024838
SAAEYB0024,SW,False,False,374598.85178751,-3690116.57469584
SAAEYB0025,SW,False,False,307825.985651252,-3788572.65123542
SAAEYB0026,SW,False,False,309765.53241675,-3789533.96757878
SAAEYB0027,SW,False,False,309609.29978915,-3790609.26850793
SAAEYB0028,SW,False,False,309267.312862288,-3791556.83702387
SAAEYB0029,SW,False,False,456806.456345819,-3637643.92937516
SAAEYB0030,SW,False,False,446603.434363662,-3628886.88361001
SAAEYB0031,SW,False,False,453679.314722977,-3631077.23761455
SAAEYB0032,SW,False,False,448959.905049947,-3630253.62794089
SAAEYB0033,SW,False,False,455774.415487644,-3632860.92190157
SAAFLB0003,SW,False,False,604978.207838391,-3834929.89435758
SAAFLB0004,SW,False,False,598204.802217027,-3845350.49812794
SAAFLB0005,SW,False,False,565894.647698226,-3615641.00130941
SAAFLB0006,SW,False,False,571083.715831648,-3622484.46336801
SAAFLB0007,SW,False,False,590725.148057396,-3482171.44596358
SAAFLB0008,SW,False,False,595470.923173913,-3483986.10146923
SAAFLB0030,SW,False,False,573788.098990501,-3274418.86041937
SAAFLB0031,SW,False,False,568052.207160018,-3273374.63116532
SAAGAW0001,SW,False,False,482133.94620482,-3607067.53370876
SAAGAW0002,SW,False,False,486511.8616828,-3606896.82790186
SAAGAW0003,SW,False,False,486930.293648332,-3605955.87627762
SAAGAW0004,SW,False,False,325567.553421781,-3365393.37555188
SAAGAW0005,SW,False,False,321016.195746067,-3357601.87412911
SAAGAW0006,SW,False,False,336718.042183074,-3327807.13438227
SAAGAW0007,SW,False,False,334749.788718041,-3329292.42381998
SAAGAW0008,SW,False,False,335450.451950445,-3344143.80483655
SAAGVD0001,SW,False,False,-149136.778622553,-3190821.32253727
SAAGVD0002,SW,False,False,-148720.912212366,-3190945.87454809
SAAGVD0003,SW,False,False,-149169.033000723,-3188169.5162776
SAAGVD0004,SW,False,False,12713.533112096,-3354637.64101405
SAAKAN0001,SW,False,False,485497.207488453,-3904424.48599178
SAAKAN0002,SW,False,False,471905.858995437,-3903263.54819285
SAAKAN0003,SW,False,False,481983.072759547,-3914885.21093934
SAAKAN0004,SW,False,False,449481.24374056,-3911247.48904258
SAAKAN0005,SW,False,False,440959.845357078,-3920637.72259568
SAAKAN0006,SW,False,False,441763.442401415,-3930665.85479975
SAAKAN0007,SW,False,False,413816.320708987,-3930556.77478335
SAAKAN0008,SW,False,False,500827.592146498,-3933499.85444296
SAAKAN0009,SW,False,False,480230.925627374,-3936915.53366227
SAAKAN0010,SW,False,False,533216.387304376,-3928024.02255255
SAAKAN0012,SW,False,False,540473.243905448,-3933066.72131748
SAAMDD0007,SW,False,False,686498.302989627,-3771282.51062915
SAAMDD0008,SW,False,False,687364.525306914,-3769032.59994566
