site_location_name,point,estimation_2,missing,x,y
NSABBS0001,SW,False,False,1595905.50513477,-3513065.22007806
NSABBS0002,SW,False,False,1597418.02083035,-3513071.34394036
NSABBS0003,SW,False,False,1631739.02650995,-3424461.37440676
NSABBS0004,SW,False,False,1633532.92219652,-3425419.2727031
NSABBS0005,SW,False,False,1636076.56023698,-3430042.34188507
NSABBS0006,SW,False,False,1634708.2310889,-3431155.53657368
NSABHC0001,SW,False,False,883585.653040239,-3508036.99084986
NSABHC0002,SW,False,False,883233.483799382,-3511789.41427051
NSABHC0003,SW,False,False,884145.322287473,-3500826.50017284
NSABHC0004,SW,False,False,932063.478570089,-3506551.08351164
NSABHC0005,SW,False,False,931375.873256496,-3506236.92478387
NSABHC0006,SW,False,False,916247.581517393,-3509472.12678507
NSABHC0007,SW,False,False,914431.810601756,-3511232.38099606
NSABHC0008,SW,False,False,892534.274784579,-3507868.76320615
NSABHC0009,SW,False,False,915132.550495236,-3419118.11877442
NSABHC0010,SW,False,False,915439.443871095,-3418746.44800294
NSABHC0011,SW,False,False,913781.089115804,-3412846.50413684
NSABHC0012,SW,False,False,919258.133143562,-3419357.54595561
NSABHC0013,SW,False,False,903988.10534639,-3445642.59548089
NSABHC0014,SW,False,False,903049.51161514,-3446384.31451705
NSABHC0015,SW,False,False,849039.824252386,-3498866.79157919
NSABHC0016,SW,False,False,849244.211194701,-3498891.93724747
NSABHC0017,SW,False,False,861443.392322432,-3500805.51409247
NSABHC0018,SW,False,False,938406.375186286,-3552138.15185944
NSABHC0019,SW,False,False,889228.909249784,-3578163.55660728
NSABHC0020,SW,False,False,886755.270898469,-3549940.60667077
NSABHC0021,SW,False,False,922247.140482716,-3536401.11602502
NSABHC0022,SW,False,False,991915.817997481,-3378651.49458541
NSABHC0023,SW,False,False,954152.116464747,-3451774.94364929
NSABHC0024,SW,False,False,955250.65915507,-3452181.53005259
NSABHC0025,SW,False,False,888695.607944478,-3567548.18488533
NSABHC0026,SW,False,False,962599.258433481,-3501198.53859647
NSABHC0028,SW,False,False,917133.530209475,-3417669.00477593
NSABHC0029,SW,False,False,912651.510040206,-3416900.1875493
NSACHC0001,SW,False,False,983270.816166948,-3240657.05584254
NSACHC0002,SW,False,False,976460.678066801,-3224511.65057951
NSACHC0003,SW,False,False,949985.317394158,-3211891.89036722
NSACHC0004,SW,False,False,948290.104896808,-3195234.81989812
NSACOP0001,SW,False,False,1258771.92702822,-3620203.04738864
NSACOP0002,SW,False,False,1270151.17124133,-3622932.2580324
NSAMDD0001,SW,False,False,967741.883353921,-3771262.74838067
NSAMDD0002,SW,False,False,971422.149232024,-3773905.39598114
NSAMDD0003,SW,False,False,971531.800318803,-3774219.27614112
NSAMDD0004,SW,False,False,967837.176090787,-3769195.65782038
NSAMDD0005,SW,False,False,1031732.9598318,-3717661.3357962
NSAMDD0006,SW,False,False,1028224.92448656,-3718263.46271895
NSAMDD0007,SW,False,False,846160.889152068,-3671914.9590892
NSAMDD0008,SW,False,False,837570.533871727,-3677006.42997968
NSAMDD0009,SW,False,False,836895.209858477,-3678025.24925464
NSAMDD0010,SW,False,False,858168.879432566,-3675875.35474444
NSAMDD0011,SW,False,False,832037.852186705,-3677493.56391098
NSAMDD0012,SW,False,False,856827.673358125,-3659608.96187373
NSAMDD0013,SW,False,False,842281.514937477,-3655705.5169661
NSAMDD0014,SW,False,False,850721.840294408,-3648505.94919638
NSAMDD0015,SW,False,False,840178.189148538,-3663858.05964987
NSAMDD0016,SW,False,False,840389.021287296,-3660567.24889593
NSAMDD0017,SW,False,False,1248395.10873457,-3740140.43692446
NSAMDD0018,SW,False,False,1269564.07070412,-3731020.49859103
NSAMDD0019,SW,False,False,1266279.9497835,-3688549.52552817
NSAMDD0020,SW,False,False,1266950.77348572,-3690267.83713653
NSAMDD0021,SW,False,False,1267816.49689399,-3689690.95759248
NSAMDD0022,SW,False,False,1271481.41506572,-3692825.60776748
NSAMDD0023,SW,False,False,1175137.79510083,-3622727.81868209
NSAMDD0024,SW,False,False,1173158.32955631,-3621645.91747939
NSAMDD0025,SW,False,False,1149415.57012163,-3498665.18315833
NSAMDD0026,SW,False,False,1144919.03498102,-3500417.32832747
NSAMDD0027,SW,False,False,1145346.06539305,-3484591.71763847
NSAMDD0028,SW,False,False,1144659.34065086,-3485034.28724187
NSAMDD0029,SW,False,False,1163627.29416861,-3468986.63553876
NSAMDD0030,SW,False,False,1163485.24870378,-3467331.59608007
NSAMDD0031,SW,False,False,1254340.63917749,-3619193.81408978
NSAMDD0032,SW,False,False,1245895.15496341,-3635944.42386205
NSAMUL0001,SW,False,False,1247628.23475813,-3242373.0256806
NSAMUL0002,SW,False,False,1251211.01883946,-3238675.96722889
NSAMUL0003,SW,False,False,1252885.41613326,-3236112.64179715
NSAMUL0004,SW,False,False,1254009.41331936,-3234434.69090532
NSANAN0001,SW,False,False,1721577.42974505,-3417641.71541463
NSANAN0002,SW,False,False,1721538.34479419,-3417470.691393
NSANET0001,SW,False,False,1885644.1976685,-3325680.54838539
NSANSS0001,SW,False,False,1516150.67523149,-3668317.54908167
NSANSS0002,SW,False,False,1512747.57482285,-3677499.05256568
NSTNSS0001,SW,False,False,1684120.04324385,-3728853.2738425
NSTSYB0001,SW,False,False,1757471.26035477,-3806167.19668947
NSTSYB0002,SW,False,False,1712328.60246218,-3790575.36608753
NSTSYB0003,SW,False,False,1707943.09269466,-3782261.4388939
NSTSYB0004,SW,False,False,1695083.02752055,-3800494.60478927
NSTSYB0005,SW,False,False,1683477.54909448,-3792374.26607549
NSTSYB0006,SW,False,False,1682624.9792459,-3754259.51884646
NSTSYB0007,SW,False,False,1672127.17456196,-3754824.51220066
NSTSYB0008,SW,False,False,1663538.19552326,-3741305.13742286
NSTSYB0009,SW,False,False,1688727.77675773,-3785344.33114585
NTAARP0001,SW,False,False,29636.7020530131,-1433757.58439662
NTAARP0002,SW,False,False,32302.9817318826,-1432488.77347664
NTAARP0003,SW,False,False,50167.900724409,-1429415.86955609
NTAARP0004,SW,False,False,108970.18383624,-1339845.13353433
NTAARP0005,SW,False,False,108774.297387366,-1343699.64702474
NTABRT0001,SW,False,False,127444.459990859,-2399257.47847015
NTABRT0002,SW,False,False,127781.833564398,-2399268.53281252
NTABRT0003,SW,False,False,129746.437546286,-2399277.98594752
