"","site_location_name","point","estimation_2","missing","x","y"
"117","NSABHC0024","SW","False","FALSE",955250.65915507,-3452181.53005259
"118","NSABHC0024","NE","True","NA",955350.65915507,-3452081.53005259
"119","NSABHC0024","SE","True","NA",955350.65915507,-3452181.53005259
"120","NSABHC0024","NW","True","NA",955250.65915507,-3452081.53005259
"121","NSABHC0025","SW","False","FALSE",888695.607944478,-3567548.18488533
"122","NSABHC0025","NE","True","NA",888795.607944478,-3567448.18488533
"123","NSABHC0025","SE","True","NA",888795.607944478,-3567548.18488533
"124","NSABHC0025","NW","True","NA",888695.607944478,-3567448.18488533
"125","NSABHC0026","SW","False","FALSE",962599.258433481,-3501198.53859647
"126","NSABHC0026","NE","True","NA",962699.258433481,-3501098.53859647
"127","NSABHC0026","SE","True","NA",962699.258433481,-3501198.53859647
"128","NSABHC0026","NW","True","NA",962599.258433481,-3501098.53859647
"129","NSABHC0028","NE","False","FALSE",917239.812671961,-3417576.32081097
"130","NSABHC0028","NW","False","FALSE",917141.142909081,-3417569.11205678
"131","NSABHC0028","SE","False","FALSE",917232.104670863,-3417677.45312138
"132","NSABHC0028","SW","False","FALSE",917133.530209475,-3417669.00477593
"133","NSABHC0029","NE","False","FALSE",912758.335894415,-3416806.8826413
"134","NSABHC0029","NW","False","FALSE",912660.177988927,-3416799.751039
"135","NSABHC0029","SE","False","FALSE",912750.873055063,-3416908.65848564
"136","NSABHC0029","SW","False","FALSE",912651.510040206,-3416900.1875493
"137","NSACHC0001","NE","False","FALSE",983377.710225632,-3240564.09561228
"138","NSACHC0001","NW","False","FALSE",983278.649064152,-3240556.43156592
"139","NSACHC0001","SE","False","FALSE",983369.876512361,-3240664.71982552
"140","NSACHC0001","SW","False","FALSE",983270.816166948,-3240657.05584254
"141","NSACHC0002","NE","False","FALSE",976567.085500928,-3224418.89201492
"142","NSACHC0002","NW","False","FALSE",976468.712832485,-3224411.03589149
"143","NSACHC0002","SE","False","FALSE",976559.576336623,-3224519.54868005
"144","NSACHC0002","SW","False","FALSE",976460.678066801,-3224511.65057951
"145","NSACHC0003","NE","False","FALSE",950090.342669278,-3211797.86216738
"146","NSACHC0003","NW","False","FALSE",949992.136734982,-3211790.23987156
"147","NSACHC0003","SE","False","FALSE",950083.058276166,-3211898.53951668
"148","NSACHC0003","SW","False","FALSE",949985.317394158,-3211891.89036722
"149","NSACHC0004","NE","False","FALSE",948396.303903209,-3195142.3400082
"150","NSACHC0004","NW","False","FALSE",948297.995237992,-3195135.32992598
"151","NSACHC0004","SE","False","FALSE",948387.713898249,-3195243.50266264
"152","NSACHC0004","SW","False","FALSE",948290.104896808,-3195234.81989812
"153","NSACOP0001","NE","False","FALSE",1258880.97498664,-3620112.22607764
"154","NSACOP0001","NW","False","FALSE",1258782.21584212,-3620101.40641355
"155","NSACOP0001","SE","False","FALSE",1258870.13739734,-3620211.62218363
"156","NSACOP0001","SW","False","FALSE",1258771.92702822,-3620203.04738864
"157","NSACOP0002","NE","False","FALSE",1270260.68100611,-3622842.83439451
"158","NSACOP0002","NW","False","FALSE",1270161.58617087,-3622832.81885478
"159","NSACOP0002","SE","False","FALSE",1270250.15644807,-3622943.19942822
"160","NSACOP0002","SW","False","FALSE",1270151.17124133,-3622932.2580324
"161","NSAMDD0001","NE","False","FALSE",967849.018427964,-3771170.34780154
"162","NSAMDD0001","NW","False","FALSE",967749.509052046,-3771161.48137056
"163","NSAMDD0001","SE","False","FALSE",967840.658572034,-3771271.24307113
"164","NSAMDD0001","SW","False","FALSE",967741.883353921,-3771262.74838067
"165","NSAMDD0002","NE","False","FALSE",971529.951086715,-3773814.32977223
"166","NSAMDD0002","NW","False","FALSE",971430.694716481,-3773805.76207712
"167","NSAMDD0002","SE","False","FALSE",971521.993716591,-3773913.07986739
"168","NSAMDD0002","SW","False","FALSE",971422.149232024,-3773905.39598114
"169","NSAMDD0003","NE","False","FALSE",971639.447321636,-3774126.95626709
"170","NSAMDD0003","NW","False","FALSE",971540.423870131,-3774118.71770863
"171","NSAMDD0003","SE","False","FALSE",971631.130241767,-3774226.91837839
"172","NSAMDD0003","SW","False","FALSE",971531.800318803,-3774219.27614112
"173","NSAMDD0004","NE","False","FALSE",967944.780215949,-3769103.91220848
"174","NSAMDD0004","NW","False","FALSE",967844.946005101,-3769095.64134272
"175","NSAMDD0004","SE","False","FALSE",967935.968886043,-3769204.15221845
"176","NSAMDD0004","SW","False","FALSE",967837.176090787,-3769195.65782038
"177","NSAMDD0005","NE","False","FALSE",1031841.2852375,-3717569.74280867
"178","NSAMDD0005","NW","False","FALSE",1031742.2474534,-3717558.54473259
"179","NSAMDD0005","SE","False","FALSE",1031833.27861516,-3717669.53491654
"180","NSAMDD0005","SW","False","FALSE",1031732.9598318,-3717661.3357962
"181","NSAMDD0006","NE","False","FALSE",1028330.80646575,-3718170.07214928
"182","NSAMDD0006","NW","False","FALSE",1028234.45275642,-3718163.49438717
"183","NSAMDD0006","SE","False","FALSE",1028324.70571014,-3718271.89658558
"184","NSAMDD0006","SW","False","FALSE",1028224.92448656,-3718263.46271895
"185","NSAMDD0007","NE","False","FALSE",846267.493431491,-3671821.57449598
"186","NSAMDD0007","NW","False","FALSE",846168.154113709,-3671813.81635516
"187","NSAMDD0007","SE","False","FALSE",846260.036142941,-3671921.7699712
"188","NSAMDD0007","SW","False","FALSE",846160.889152068,-3671914.9590892
"189","NSAMDD0008","NE","False","FALSE",837676.993431432,-3676913.28623767
"190","NSAMDD0008","NW","False","FALSE",837577.932693997,-3676905.92849079
"191","NSAMDD0008","SE","False","FALSE",837669.8866604,-3677013.18629506
"192","NSAMDD0008","SW","False","FALSE",837570.533871727,-3677006.42997968
"193","NSAMDD0009","NE","False","FALSE",837001.988795333,-3677931.19273865
"194","NSAMDD0009","NW","False","FALSE",836902.914605631,-3677924.15020831
"195","NSAMDD0009","SE","False","FALSE",836994.607181344,-3678031.38258273
"196","NSAMDD0009","SW","False","FALSE",836895.209858477,-3678025.24925464
"197","NSAMDD0010","NE","False","FALSE",858275.576865216,-3675781.77459743
"198","NSAMDD0010","NW","False","FALSE",858176.4845885,-3675774.55306071
"199","NSAMDD0010","SE","False","FALSE",858268.274074594,-3675881.97600615
"200","NSAMDD0010","SW","False","FALSE",858168.879432566,-3675875.35474444
"201","NSAMDD0011","NE","False","FALSE",832144.46262997,-3677401.31917056
"202","NSAMDD0011","NW","False","FALSE",832044.168491372,-3677393.29835896
"203","NSAMDD0011","SE","False","FALSE",832136.650060801,-3677500.85680825
"204","NSAMDD0011","SW","False","FALSE",832037.852186705,-3677493.56391098
"205","NSAMDD0012","NE","False","FALSE",856934.44346045,-3659515.96159363
"206","NSAMDD0012","NW","False","FALSE",856835.169325499,-3659509.37053735
"207","NSAMDD0012","SE","False","FALSE",856927.137617747,-3659616.50043934
"208","NSAMDD0012","SW","False","FALSE",856827.673358125,-3659608.96187373
"209","NSAMDD0013","NE","False","FALSE",842386.045466168,-3655613.47077621
"210","NSAMDD0013","NW","False","FALSE",842287.918885525,-3655604.90904089
"211","NSAMDD0013","SE","False","FALSE",842379.978352563,-3655712.8590073
"212","NSAMDD0013","SW","False","FALSE",842281.514937477,-3655705.5169661
"213","NSAMDD0014","NE","False","FALSE",850828.129492531,-3648412.83896243
"214","NSAMDD0014","NW","False","FALSE",850729.065621097,-3648405.69873844
"215","NSAMDD0014","SE","False","FALSE",850820.858763149,-3648513.70757002
"216","NSAMDD0014","SW","False","FALSE",850721.840294408,-3648505.94919638
"217","NSAMDD0015","NE","False","FALSE",840284.053517176,-3663764.24439506
"218","NSAMDD0015","NW","False","FALSE",840185.752112446,-3663759.10262655
"219","NSAMDD0015","SE","False","FALSE",840277.359628622,-3663865.43934087
"220","NSAMDD0015","SW","False","FALSE",840178.189148538,-3663858.05964987
"221","NSAMDD0016","NE","False","FALSE",840495.342137831,-3660474.70310818
"222","NSAMDD0016","NW","False","FALSE",840396.14304763,-3660467.32267979
"223","NSAMDD0016","SE","False","FALSE",840488.197467631,-3660574.93888081
"224","NSAMDD0016","SW","False","FALSE",840389.021287296,-3660567.24889593
"225","NSAMDD0017","NE","False","FALSE",1248504.5602387,-3740051.11743319
"226","NSAMDD0017","NW","False","FALSE",1248406.33118659,-3740040.02281251
"227","NSAMDD0017","SE","False","FALSE",1248493.62651262,-3740151.25038179
"228","NSAMDD0017","SW","False","FALSE",1248395.10873457,-3740140.43692446
"229","NSAMDD0018","NE","False","FALSE",1269672.0053999,-3730933.34848637
"230","NSAMDD0018","NW","False","FALSE",1269575.26647569,-3730921.93373032
"231","NSAMDD0018","SE","False","FALSE",1269662.41697402,-3731031.46334523
"232","NSAMDD0018","SW","False","FALSE",1269564.07070412,-3731020.49859103
"233","NSAMDD0019","NE","False","FALSE",1266389.47673796,-3688459.91677289
"234","NSAMDD0019","NW","False","FALSE",1266290.67328931,-3688449.90526537
"235","NSAMDD0019","SE","False","FALSE",1266378.71916698,-3688559.84561551
"236","NSAMDD0019","SW","False","FALSE",1266279.9497835,-3688549.52552817
"237","NSAMDD0020","NE","False","FALSE",1267060.79931152,-3690178.2919319
"238","NSAMDD0020","NW","False","FALSE",1266962.69193306,-3690166.7881186
"239","NSAMDD0020","SE","False","FALSE",1267050.10132815,-3690277.60009535
"240","NSAMDD0020","SW","False","FALSE",1266950.77348572,-3690267.83713653
"241","NSAMDD0021","NE","False","FALSE",1267925.77028322,-3689601.33698893
"242","NSAMDD0021","NW","False","FALSE",1267827.07601685,-3689590.38769752
"243","NSAMDD0021","SE","False","FALSE",1267915.47205672,-3689701.62604163
"244","NSAMDD0021","SW","False","FALSE",1267816.49689399,-3689690.95759248
"245","NSAMDD0022","NE","False","FALSE",1271591.46847531,-3692733.61369658
"246","NSAMDD0022","NW","False","FALSE",1271491.5547336,-3692724.68241378
"247","NSAMDD0022","SE","False","FALSE",1271581.07028491,-3692837.00793179
"248","NSAMDD0022","SW","False","FALSE",1271481.41506572,-3692825.60776748
"249","NSAMDD0023","NE","False","FALSE",1175245.20700614,-3622648.0108235
"250","NSAMDD0023","NW","False","FALSE",1175146.77051177,-3622640.10404703
"251","NSAMDD0023","SE","False","FALSE",1175235.52616146,-3622750.63068614
"252","NSAMDD0023","SW","False","FALSE",1175137.79510083,-3622727.81868209
"253","NSAMDD0024","NE","False","FALSE",1173266.80718349,-3621555.27844105
"254","NSAMDD0024","NW","False","FALSE",1173168.5764555,-3621545.22485584
"255","NSAMDD0024","SE","False","FALSE",1173257.13923992,-3621655.40511833
"256","NSAMDD0024","SW","False","FALSE",1173158.32955631,-3621645.91747939
"257","NSAMDD0025","NE","False","FALSE",1149523.71903506,-3498574.37536395
"258","NSAMDD0025","NW","False","FALSE",1149425.41532411,-3498565.54644971
"259","NSAMDD0025","SE","False","FALSE",1149513.03106228,-3498677.36645909
"260","NSAMDD0025","SW","False","FALSE",1149415.57012163,-3498665.18315833
"261","NSAMDD0026","NE","False","FALSE",1145027.35616086,-3500326.81634529
"262","NSAMDD0026","NW","False","FALSE",1144928.61177879,-3500317.35670003
"263","NSAMDD0026","SE","False","FALSE",1145017.23432851,-3500427.04835722
"264","NSAMDD0026","SW","False","FALSE",1144919.03498102,-3500417.32832747
"265","NSAMDD0027","NE","False","FALSE",1145455.4109321,-3484502.83986011
"266","NSAMDD0027","NW","False","FALSE",1145356.49679654,-3484493.68559538
"267","NSAMDD0027","SE","False","FALSE",1145446.01403509,-3484603.78364111
"268","NSAMDD0027","SW","False","FALSE",1145346.06539305,-3484591.71763847
"269","NSAMDD0028","NE","False","FALSE",1144767.34984354,-3484942.77671811
"270","NSAMDD0028","NW","False","FALSE",1144668.99356052,-3484933.36850052
"271","NSAMDD0028","SE","False","FALSE",1144756.7156196,-3485042.9762936
"272","NSAMDD0028","SW","False","FALSE",1144659.34065086,-3485034.28724187
"273","NSAMDD0029","NE","False","FALSE",1163735.2897653,-3468895.56090765
"274","NSAMDD0029","NW","False","FALSE",1163634.48672086,-3468885.45926345
"275","NSAMDD0029","SE","False","FALSE",1163724.91283901,-3468997.05232952
"276","NSAMDD0029","SW","False","FALSE",1163627.29416861,-3468986.63553876
"277","NSAMDD0030","NE","False","FALSE",1163593.48809783,-3467240.85373852
"278","NSAMDD0030","NW","False","FALSE",1163494.98632549,-3467231.29079314
"279","NSAMDD0030","SE","False","FALSE",1163583.45690169,-3467341.44327486
"280","NSAMDD0030","SW","False","FALSE",1163485.24870378,-3467331.59608007
"281","NSAMDD0031","NE","False","FALSE",1254449.52625762,-3619104.1861615
"282","NSAMDD0031","NW","False","FALSE",1254351.76319356,-3619093.82248178
"283","NSAMDD0031","SE","False","FALSE",1254438.60700921,-3619202.32668883
"284","NSAMDD0031","SW","False","FALSE",1254340.63917749,-3619193.81408978
"285","NSAMDD0032","NE","False","FALSE",1246004.65396542,-3635854.51759304
"286","NSAMDD0032","NW","False","FALSE",1245905.51714434,-3635843.75295714
"287","NSAMDD0032","SE","False","FALSE",1245993.84728561,-3635954.51793267
"288","NSAMDD0032","SW","False","FALSE",1245895.15496341,-3635944.42386205
"289","NSAMUL0001","NE","False","FALSE",1247736.36168326,-3242283.55169629
"290","NSAMUL0001","NW","False","FALSE",1247638.43202379,-3242273.23117911
"291","NSAMUL0001","SE","False","FALSE",1247726.16361696,-3242383.34611585
"292","NSAMUL0001","SW","False","FALSE",1247628.23475813,-3242373.0256806
"293","NSAMUL0002","NE","False","FALSE",1251320.16335549,-3238585.05453485
"294","NSAMUL0002","NW","False","FALSE",1251221.90464547,-3238574.98801205
"295","NSAMUL0002","SE","False","FALSE",1251309.93909401,-3238684.84896312
"296","NSAMUL0002","SW","False","FALSE",1251211.01883946,-3238675.96722889
"297","NSAMUL0003","NE","False","FALSE",1252993.78982752,-3236021.66041748
"298","NSAMUL0003","NW","False","FALSE",1252896.31371213,-3236011.66280886
"299","NSAMUL0003","SE","False","FALSE",1252983.23236826,-3236122.04742886
"300","NSAMUL0003","SW","False","FALSE",1252885.41613326,-3236112.64179715
"301","NSAMUL0004","NE","False","FALSE",1254118.07599505,-3234343.74728025
"302","NSAMUL0004","NW","False","FALSE",1254020.58649108,-3234333.74070068
"303","NSAMUL0004","SE","False","FALSE",1254107.73717561,-3234444.46968822
"304","NSAMUL0004","SW","False","FALSE",1254009.41331936,-3234434.69090532
"305","NSANAN0001","NE","False","FALSE",1721687.57632305,-3417554.94138421
"306","NSANAN0001","NW","False","FALSE",1721590.71329241,-3417541.39918299
"307","NSANAN0001","SE","False","FALSE",1721674.76355298,-3417661.30094951
"308","NSANAN0001","SW","False","FALSE",1721577.42974505,-3417641.71541463
"309","NSANAN0002","NE","False","FALSE",1721648.74506715,-3417387.72680189
"310","NSANAN0002","NW","False","FALSE",1721552.32160913,-3417371.10261705
"311","NSANAN0002","SE","False","FALSE",1721635.28638922,-3417485.50225219
"312","NSANAN0002","SW","False","FALSE",1721538.34479419,-3417470.691393
"313","NSANET0001","NE","False","FALSE",1885757.33987298,-3325597.25289085
"314","NSANET0001","NW","False","FALSE",1885658.58856307,-3325579.37373539
"315","NSANET0001","SE","False","FALSE",1885741.72929595,-3325697.01321271
"316","NSANET0001","SW","False","FALSE",1885644.1976685,-3325680.54838539
"317","NSANET0002","NE","False","FALSE",1859167.56921854,-3451976.43331568
"318","NSANET0002","NW","False","FALSE",1859069.97607746,-3451960.06628513
"319","NSANET0002","SE","False","FALSE",1859150.96513706,-3452076.156036
"320","NSANET0002","SW","False","FALSE",1859053.40712336,-3452059.56763953
"321","NSANET0003","NE","False","FALSE",1858116.3431694,-3451267.21641335
"322","NSANET0003","NW","False","FALSE",1858019.26943162,-3451253.61568176
"323","NSANET0003","SE","False","FALSE",1858100.20065774,-3451365.88383134
"324","NSANET0003","SW","False","FALSE",1858002.17483242,-3451350.48561607
"325","NSANET0004","NE","False","FALSE",1856633.24934687,-3452884.81496591
"326","NSANET0004","NW","False","FALSE",1856535.2031717,-3452869.32954518
"327","NSANET0004","SE","False","FALSE",1856617.88089329,-3452980.72155896
"328","NSANET0004","SW","False","FALSE",1856520.04392584,-3452969.0482872
"329","NSANSS0001","NE","False","FALSE",1516260.50761225,-3668227.1404384
"330","NSANSS0001","NW","False","FALSE",1516161.17277092,-3668213.7327747
"331","NSANSS0001","SE","False","FALSE",1516248.63514411,-3668325.45806619
"332","NSANSS0001","SW","False","FALSE",1516150.67523149,-3668317.54908167
"333","NSANSS0002","NE","False","FALSE",1512857.79350762,-3677410.34139586
"334","NSANSS0002","NW","False","FALSE",1512759.18074154,-3677398.94478568
"335","NSANSS0002","SE","False","FALSE",1512846.1867518,-3677510.44908069
"336","NSANSS0002","SW","False","FALSE",1512747.57482285,-3677499.05256568
"337","NSTNSS0001","NE","False","FALSE",1684234.0545514,-3728765.90071715
"338","NSTNSS0001","NW","False","FALSE",1684135.08749524,-3728748.54949763
"339","NSTNSS0001","SE","False","FALSE",1684219.84758269,-3728864.79070673
"340","NSTNSS0001","SW","False","FALSE",1684120.04324385,-3728853.2738425
"341","NSTSYB0001","NE","False","FALSE",1757583.96270534,-3806084.53209394
"342","NSTSYB0001","NW","False","FALSE",1757486.7234482,-3806069.85750856
"343","NSTSYB0001","SE","False","FALSE",1757569.00016892,-3806181.94681063
"344","NSTSYB0001","SW","False","FALSE",1757471.26035477,-3806167.19668947
"345","NSTSYB0002","NE","False","FALSE",1712439.22487218,-3790492.29350433
"346","NSTSYB0002","NW","False","FALSE",1712340.6553172,-3790475.62704606
"347","NSTSYB0002","SE","False","FALSE",1712425.17394654,-3790587.97994881
"348","NSTSYB0002","SW","False","FALSE",1712328.60246218,-3790575.36608753
"349","NSTSYB0003","NE","False","FALSE",1708059.13294877,-3782176.90744256
"350","NSTSYB0003","NW","False","FALSE",1707960.22249831,-3782162.1185536
"351","NSTSYB0003","SE","False","FALSE",1708041.92141129,-3782276.84406235
"352","NSTSYB0003","SW","False","FALSE",1707943.09269466,-3782261.4388939
"353","NSTSYB0004","NE","False","FALSE",1695193.43580801,-3800411.39267658
"354","NSTSYB0004","NW","False","FALSE",1695097.30461808,-3800396.46684831
"355","NSTSYB0004","SE","False","FALSE",1695177.69336225,-3800501.80093296
"356","NSTSYB0004","SW","False","FALSE",1695083.02752055,-3800494.60478927
"357","NSTSYB0005","NE","False","FALSE",1683588.50668742,-3792286.94459834
"358","NSTSYB0005","NW","False","FALSE",1683489.8143448,-3792271.44216722
"359","NSTSYB0005","SE","False","FALSE",1683574.15546836,-3792386.33550449
"360","NSTSYB0005","SW","False","FALSE",1683477.54909448,-3792374.26607549
"361","NSTSYB0006","NE","False","FALSE",1682738.17836384,-3754176.47669768
"362","NSTSYB0006","NW","False","FALSE",1682638.97656094,-3754162.20708929
"363","NSTSYB0006","SE","False","FALSE",1682728.68800654,-3754278.50994769
"364","NSTSYB0006","SW","False","FALSE",1682624.9792459,-3754259.51884646
"365","NSTSYB0007","NE","False","FALSE",1672240.07106143,-3754750.11271729
"366","NSTSYB0007","NW","False","FALSE",1672141.77492636,-3754726.03578472
"367","NSTSYB0007","SE","False","FALSE",1672228.35259547,-3754841.16845315
"368","NSTSYB0007","SW","False","FALSE",1672127.17456196,-3754824.51220066
"369","NSTSYB0008","NE","False","FALSE",1663649.04960649,-3741219.6882003
