"","site_location_name","point","estimation_2","missing","x","y"
"1","NSABBS0001","NE","False","FALSE",1596017.69268888,-3512975.70254929
"2","NSABBS0001","NW","False","FALSE",1595917.11187646,-3512964.86829096
"3","NSABBS0001","SE","False","FALSE",1596004.85317172,-3513075.66360815
"4","NSABBS0001","SW","False","FALSE",1595905.50513477,-3513065.22007806
"5","NSABBS0002","NE","False","FALSE",1597527.7742934,-3512982.56707284
"6","NSABBS0002","NW","False","FALSE",1597431.70304543,-3512973.06462929
"7","NSABBS0002","SE","False","FALSE",1597516.11879925,-3513086.66586808
"8","NSABBS0002","SW","False","FALSE",1597418.02083035,-3513071.34394036
"9","NSABBS0003","NE","False","FALSE",1631864.52658363,-3424394.20891936
"10","NSABBS0003","NW","False","FALSE",1631771.59483214,-3424364.63661379
"11","NSABBS0003","SE","False","FALSE",1631833.16993183,-3424489.85445715
"12","NSABBS0003","SW","False","FALSE",1631739.02650995,-3424461.37440676
"13","NSABBS0004","NE","False","FALSE",1633659.54953393,-3425357.61947059
"14","NSABBS0004","NW","False","FALSE",1633567.16051799,-3425322.13650559
"15","NSABBS0004","SE","False","FALSE",1633626.4242707,-3425450.50835808
"16","NSABBS0004","SW","False","FALSE",1633532.92219652,-3425419.2727031
"17","NSABBS0005","NE","False","FALSE",1636200.63549242,-3429971.89216618
"18","NSABBS0005","NW","False","FALSE",1636106.61675466,-3429942.76104612
"19","NSABBS0005","SE","False","FALSE",1636169.25846516,-3430069.40895126
"20","NSABBS0005","SW","False","FALSE",1636076.56023698,-3430042.34188507
"21","NSABBS0006","NE","False","FALSE",1634830.62023888,-3431083.59053747
"22","NSABBS0006","NW","False","FALSE",1634737.80279953,-3431057.45891359
"23","NSABBS0006","SE","False","FALSE",1634799.86813741,-3431182.44960559
"24","NSABBS0006","SW","False","FALSE",1634708.2310889,-3431155.53657368
"25","NSABHC0001","NE","False","FALSE",883705.433010917,-3507958.33466092
"26","NSABHC0001","NW","False","FALSE",883604.482858259,-3507938.11776498
"27","NSABHC0001","SE","False","FALSE",883688.428408637,-3508059.33538114
"28","NSABHC0001","SW","False","FALSE",883585.653040239,-3508036.99084986
"29","NSABHC0002","NE","False","FALSE",883349.628018651,-3511706.44083176
"30","NSABHC0002","NW","False","FALSE",883249.447624707,-3511689.33723808
"31","NSABHC0002","SE","False","FALSE",883330.280580829,-3511804.98954013
"32","NSABHC0002","SW","False","FALSE",883233.483799382,-3511789.41427051
"33","NSABHC0003","NE","False","FALSE",884265.115280589,-3500747.83786055
"34","NSABHC0003","NW","False","FALSE",884164.187837782,-3500727.6224747
"35","NSABHC0003","SE","False","FALSE",884248.101708274,-3500848.87900897
"36","NSABHC0003","SW","False","FALSE",884145.322287473,-3500826.50017284
"37","NSABHC0004","NE","False","FALSE",932180.37079154,-3506470.34721749
"38","NSABHC0004","NW","False","FALSE",932082.276984997,-3506452.18579495
"39","NSABHC0004","SE","False","FALSE",932158.182904181,-3506570.47653825
"40","NSABHC0004","SW","False","FALSE",932063.478570089,-3506551.08351164
"41","NSABHC0005","NE","False","FALSE",931492.753747105,-3506156.18075274
"42","NSABHC0005","NW","False","FALSE",931394.666073639,-3506138.02567305
"43","NSABHC0005","SE","False","FALSE",931470.578374087,-3506256.34363462
"44","NSABHC0005","SW","False","FALSE",931375.873256496,-3506236.92478387
"45","NSABHC0006","NE","False","FALSE",916369.391368116,-3509392.56454833
"46","NSABHC0006","NW","False","FALSE",916270.427278029,-3509372.53336529
"47","NSABHC0006","SE","False","FALSE",916345.56749195,-3509492.39476638
"48","NSABHC0006","SW","False","FALSE",916247.581517393,-3509472.12678507
"49","NSABHC0007","NE","False","FALSE",914539.545255941,-3511137.82323055
"50","NSABHC0007","NW","False","FALSE",914441.185860687,-3511131.19500064
"51","NSABHC0007","SE","False","FALSE",914532.16295114,-3511238.63215819
"52","NSABHC0007","SW","False","FALSE",914431.810601756,-3511232.38099606
"53","NSABHC0008","NE","False","FALSE",892647.417421953,-3507799.76234397
"54","NSABHC0008","NW","False","FALSE",892554.463400023,-3507764.91950211
"55","NSABHC0008","SE","False","FALSE",892629.369782592,-3507887.52697316
"56","NSABHC0008","SW","False","FALSE",892534.274784579,-3507868.76320615
"57","NSABHC0009","NE","False","FALSE",915251.155964095,-3419040.2741951
"58","NSABHC0009","NW","False","FALSE",915153.359680877,-3419019.26372523
"59","NSABHC0009","SE","False","FALSE",915232.53859732,-3419136.20798385
"60","NSABHC0009","SW","False","FALSE",915132.550495236,-3419118.11877442
"61","NSABHC0010","NE","False","FALSE",915556.192574752,-3418666.43580748
"62","NSABHC0010","NW","False","FALSE",915462.292970538,-3418646.71692285
"63","NSABHC0010","SE","False","FALSE",915534.932380728,-3418765.69343491
"64","NSABHC0010","SW","False","FALSE",915439.443871095,-3418746.44800294
"65","NSABHC0011","NE","False","FALSE",913906.03287239,-3412763.03380612
"66","NSABHC0011","NW","False","FALSE",913806.838100502,-3412748.01525052
"67","NSABHC0011","SE","False","FALSE",913878.398326664,-3412860.38078004
"68","NSABHC0011","SW","False","FALSE",913781.089115804,-3412846.50413684
"69","NSABHC0012","NE","False","FALSE",919386.313304676,-3419286.96072328
"70","NSABHC0012","NW","False","FALSE",919289.582665173,-3419262.47152508
"71","NSABHC0012","SE","False","FALSE",919363.494436474,-3419384.12993067
"72","NSABHC0012","SW","False","FALSE",919258.133143562,-3419357.54595561
"73","NSABHC0013","NE","False","FALSE",904108.040920181,-3445563.29061828
"74","NSABHC0013","NW","False","FALSE",904009.849321039,-3445544.85557609
"75","NSABHC0013","SE","False","FALSE",904087.548779036,-3445661.08872344
"76","NSABHC0013","SW","False","FALSE",903988.10534639,-3445642.59548089
"77","NSABHC0014","NE","False","FALSE",903164.890152031,-3446305.09714874
"78","NSABHC0014","NW","False","FALSE",903067.356332851,-3446285.28281481
"79","NSABHC0014","SE","False","FALSE",903142.559359046,-3446402.94799402
"80","NSABHC0014","SW","False","FALSE",903049.51161514,-3446384.31451705
"81","NSABHC0015","SW","False","FALSE",849039.824252386,-3498866.79157919
"82","NSABHC0015","NE","True","NA",849139.824252386,-3498766.79157919
"83","NSABHC0015","SE","True","NA",849139.824252386,-3498866.79157919
"84","NSABHC0015","NW","True","NA",849039.824252386,-3498766.79157919
"85","NSABHC0016","NE","False","FALSE",849364.020656347,-3498813.34900371
"86","NSABHC0016","NW","False","FALSE",849263.09421772,-3498793.05878282
"87","NSABHC0016","SE","False","FALSE",849346.96996781,-3498914.35223542
"88","NSABHC0016","SW","False","FALSE",849244.211194701,-3498891.93724747
"89","NSABHC0017","NE","False","FALSE",861563.208846714,-3500726.88870489
"90","NSABHC0017","NW","False","FALSE",861462.27510989,-3500706.61751929
"91","NSABHC0017","SE","False","FALSE",861546.156040909,-3500827.91189041
"92","NSABHC0017","SW","False","FALSE",861443.392322432,-3500805.51409247
"93","NSABHC0018","SW","False","FALSE",938406.375186286,-3552138.15185944
"94","NSABHC0018","NE","True","NA",938506.375186286,-3552038.15185944
"95","NSABHC0018","SE","True","NA",938506.375186286,-3552138.15185944
"96","NSABHC0018","NW","True","NA",938406.375186286,-3552038.15185944
"97","NSABHC0019","SW","False","FALSE",889228.909249784,-3578163.55660728
"98","NSABHC0019","NE","True","NA",889328.909249784,-3578063.55660728
"99","NSABHC0019","SE","True","NA",889328.909249784,-3578163.55660728
"100","NSABHC0019","NW","True","NA",889228.909249784,-3578063.55660728
"101","NSABHC0020","SW","False","FALSE",886755.270898469,-3549940.60667077
"102","NSABHC0020","NE","True","NA",886855.270898469,-3549840.60667077
"103","NSABHC0020","SE","True","NA",886855.270898469,-3549940.60667077
"104","NSABHC0020","NW","True","NA",886755.270898469,-3549840.60667077
"105","NSABHC0021","SW","False","FALSE",922247.140482716,-3536401.11602502
"106","NSABHC0021","NE","True","NA",922347.140482716,-3536301.11602502
"107","NSABHC0021","SE","True","NA",922347.140482716,-3536401.11602502
"108","NSABHC0021","NW","True","NA",922247.140482716,-3536301.11602502
"109","NSABHC0022","SW","False","FALSE",991915.817997481,-3378651.49458541
"110","NSABHC0022","NE","True","NA",992015.817997481,-3378551.49458541
"111","NSABHC0022","SE","True","NA",992015.817997481,-3378651.49458541
"112","NSABHC0022","NW","True","NA",991915.817997481,-3378551.49458541
"113","NSABHC0023","SW","False","FALSE",954152.116464747,-3451774.94364929
"114","NSABHC0023","NE","True","NA",954252.116464747,-3451674.94364929
"115","NSABHC0023","SE","True","NA",954252.116464747,-3451774.94364929
"116","NSABHC0023","NW","True","NA",954152.116464747,-3451674.94364929
