Label SW,site_location_name,site_location_id,established_date,point,latitude,longitude,threedcq,,,,
,NSABHC0003,60015,4/06/2012,CENTRE,-31.8283475,141.434655,1,,,,
,NSABHC0003,60015,4/06/2012,NE,-31.82794083,141.4352453,1,,,,
,NSABHC0003,60015,4/06/2012,NW,-31.82782722,141.4341564,1,,,,
,NSABHC0003,60015,4/06/2012,SE,-31.8288525,141.4351439,1,,,,
NSABHC0003,NSABHC0003,60015,4/06/2012,SW,-31.82872083,141.4340336,1,,,,
,NSABHC0004,60016,6/06/2012,CENTRE,-31.84687778,141.9486467,1,,,,
,NSABHC0004,60016,6/06/2012,NE,-31.84647833,141.9492431,1,,,,
,NSABHC0004,60016,6/06/2012,NW,-31.84638472,141.9481853,1,,,,
,NSABHC0004,60016,6/06/2012,SE,-31.84738583,141.9490903,1,,,,
NSABHC0004,NSABHC0004,60016,6/06/2012,SW,-31.84727889,141.9480675,1,,,,
,NSABHC0005,60017,30/07/2012,CENTRE,-31.84455694,141.9410769,1,,,,
,NSABHC0005,60017,30/07/2012,NE,-31.84415722,141.9416733,1,,,,
,NSABHC0005,60017,30/07/2012,NW,-31.84406361,141.9406156,1,,,,
,NSABHC0005,60017,30/07/2012,SE,-31.845065,141.9415206,1,,,,
NSABHC0005,NSABHC0005,60017,30/07/2012,SW,-31.84495778,141.9404978,1,,,,
,NSABHC0006,60018,1/08/2012,CENTRE,-31.8838025,141.7829125,1,,,,
,NSABHC0006,60018,1/08/2012,NE,-31.88341611,141.7835394,1,,,,
,NSABHC0006,60018,1/08/2012,NW,-31.88330528,141.7824706,1,,,,
,NSABHC0006,60018,1/08/2012,SE,-31.88432194,141.7833675,1,,,,
NSABHC0006,NSABHC0006,60018,1/08/2012,SW,-31.88420833,141.7823089,1,,,,
,NSABHC0007,60019,2/08/2012,CENTRE,-31.90068222,141.7649581,1,,,,
,NSABHC0007,60019,2/08/2012,NE,-31.9002175,141.7655008,1,,,,
,NSABHC0007,60019,2/08/2012,NW,-31.90022556,141.7644492,1,,,,
,NSABHC0007,60019,2/08/2012,SE,-31.90112083,141.7655044,1,,,,
NSABHC0007,NSABHC0007,60019,2/08/2012,SW,-31.90113361,141.7644319,1,,,,
,NSABHC0008,60020,31/08/2012,CENTRE,-31.885468,141.529336,999,Estimate,,,
,NSABHC0008,60020,31/08/2012,NE,-31.88523139,141.5299586,1,,,,
,NSABHC0008,60020,31/08/2012,NW,-31.88498278,141.5289422,1,,,,
,NSABHC0008,60020,31/08/2012,SE,-31.88602556,141.5298364,1,,,,
NSABHC0008,NSABHC0008,60020,31/08/2012,SW,-31.88592167,141.52881,1,,,,
,NSABHC0009,60021,3/09/2012,CENTRE,-31.07983056,141.6979433,1,,,,
,NSABHC0009,60021,3/09/2012,NE,-31.07946139,141.6985581,1,,,,
,NSABHC0009,60021,3/09/2012,NW,-31.07934056,141.6975089,1,,,,
,NSABHC0009,60021,3/09/2012,SE,-31.08032806,141.6984386,1,,,,
NSABHC0009,NSABHC0009,60021,3/09/2012,SW,-31.08023472,141.6973686,1,,,,
,NSABHC0010,60022,4/09/2012,CENTRE,-31.07632444,141.7009172,1,,,,
,NSABHC0010,60022,4/09/2012,NE,-31.07592667,141.7014778,1,,,,
,NSABHC0010,60022,4/09/2012,NW,-31.07581472,141.7004708,1,,,,
,NSABHC0010,60022,4/09/2012,SE,-31.07682472,141.7013331,1,,,,
NSABHC0010,NSABHC0010,60022,4/09/2012,SW,-31.07671806,141.7003097,1,,,,
,NSABHC0011,60023,18/09/2012,CENTRE,-31.02489806,141.6786942,1,,,,
,NSABHC0011,60023,18/09/2012,NE,-31.02448861,141.6793289,1,,,,
,NSABHC0011,60023,18/09/2012,NW,-31.02442194,141.6782703,1,,,,
,NSABHC0011,60023,18/09/2012,SE,-31.02537389,141.6791153,1,,,,
NSABHC0011,NSABHC0011,60023,18/09/2012,SW,-31.02531611,141.6780775,1,,,,
,NSABHC0012,60024,19/09/2012,CENTRE,-31.07921778,141.7418106,1,,,,
,NSABHC0012,60024,19/09/2012,NE,-31.07885111,141.7424064,1,,,,
,NSABHC0012,60024,19/09/2012,NW,-31.07869889,141.7413656,1,,,,
,NSABHC0012,60024,19/09/2012,SE,-31.07973167,141.7422439,1,,,,
NSABHC0012,NSABHC0012,60024,19/09/2012,SW,-31.07956667,141.7411103,1,,,,
,NSABHC0013,60025,20/09/2012,CENTRE,-31.32351306,141.6013917,1,,,,
,NSABHC0013,60025,20/09/2012,NE,-31.32313222,141.6020089,1,,,,
,NSABHC0013,60025,20/09/2012,NW,-31.32303389,141.6009553,1,,,,
,NSABHC0013,60025,20/09/2012,SE,-31.3240169,141.60187,,,,,
NSABHC0013,NSABHC0013,60025,20/09/2012,SW,-31.32391889,141.6008031,1,,,,
,NSABHC0014,60026,21/09/2012,CENTRE,-31.33075444,141.5920308,1,,,,
,NSABHC0014,60026,21/09/2012,NE,-31.33037056,141.5926203,1,,,,
,NSABHC0014,60026,21/09/2012,NW,-31.33025944,141.5915725,1,,,,
,NSABHC0014,60026,21/09/2012,SE,-31.33125694,141.5924619,1,,,,
NSABHC0014,NSABHC0014,60026,21/09/2012,SW,-31.33115333,141.5914625,1,,,,
