training_set,pv_filter,npv_filter,bs_filter,loss_mean
Train,2.1391358745841984,1.9838924013782144,2.432527318948657,2.1851851983036914
Test,31.576025059787952,46.548891403817535,57.34279213241432,45.15590286533993
