training_set,pv_filter,npv_filter,bs_filter,loss_mean
Train,1.2445819792044353,1.2362626229524525,1.8188507303190757,1.4332317774919876
Test,23.71986915257918,18.554591237293575,24.67822155521279,22.317560648361844
