"","tmin","time"
"1",17.6484375,1980-01-01
"2",16.9775390625,1980-01-02
"3",18.8779296875,1980-01-03
"4",16.6884765625,1980-01-04
"5",17.5576171875,1980-01-05
"6",16.087890625,1980-01-06
"7",17.998046875,1980-01-07
"8",13.8876953125,1980-01-08
"9",17.66796875,1980-01-09
"10",15.3779296875,1980-01-10
"11",13.8681640625,1980-01-11
"12",12.4677734375,1980-01-12
"13",11.7880859375,1980-01-13
"14",14.1279296875,1980-01-14
"15",17.5478515625,1980-01-15
"16",12.8681640625,1980-01-16
"17",14.7783203125,1980-01-17
"18",18.5478515625,1980-01-18
"19",18.09765625,1980-01-19
"20",13.4482421875,1980-01-20
"21",14.6484375,1980-01-21
"22",17.5078125,1980-01-22
"23",17.7978515625,1980-01-23
"24",15.5478515625,1980-01-24
"25",18.7978515625,1980-01-25
"26",14.767578125,1980-01-26
"27",13.6181640625,1980-01-27
"28",11.5576171875,1980-01-28
"29",15.658203125,1980-01-29
"30",13.1884765625,1980-01-30
"31",11.5478515625,1980-01-31
"32",19.3046875,1980-02-01
"33",21.724609375,1980-02-02
"34",13.3349609375,1980-02-03
"35",15.6650390625,1980-02-04
"36",12.0048828125,1980-02-05
"37",12.1953125,1980-02-06
"38",12.9453125,1980-02-07
"39",10.6552734375,1980-02-08
"40",12.8251953125,1980-02-09
"41",12.2548828125,1980-02-10
"42",12.6650390625,1980-02-11
"43",16.9453125,1980-02-12
"44",18.724609375,1980-02-13
"45",19.525390625,1980-02-14
"46",18.03515625,1980-02-15
"47",18.955078125,1980-02-16
"48",20.384765625,1980-02-17
"49",21.724609375,1980-02-18
"50",21.6650390625,1980-02-19
"51",24.71484375,1980-02-20
"52",20.794921875,1980-02-21
"53",14.974609375,1980-02-22
"54",8.865234375,1980-02-23
"55",13.28515625,1980-02-24
"56",11.3046875,1980-02-25
"57",10.9150390625,1980-02-26
"58",19.39453125,1980-02-27
"59",16.7451171875,1980-02-28
"60",15.2548828125,1980-02-29
"61",14.5224609375,1980-03-01
"62",15.4521484375,1980-03-02
"63",12.2119140625,1980-03-03
"64",14.7822265625,1980-03-04
"65",15.2021484375,1980-03-05
"66",19.5322265625,1980-03-06
"67",20.8818359375,1980-03-07
"68",19.412109375,1980-03-08
"69",10.90234375,1980-03-09
"70",10.841796875,1980-03-10
"71",10.0615234375,1980-03-11
"72",17.1416015625,1980-03-12
"73",12.662109375,1980-03-13
"74",12.2119140625,1980-03-14
"75",9.3623046875,1980-03-15
"76",11.982421875,1980-03-16
"77",11.841796875,1980-03-17
"78",12.2216796875,1980-03-18
"79",14.8115234375,1980-03-19
"80",17.76171875,1980-03-20
"81",16.3515625,1980-03-21
"82",16.751953125,1980-03-22
"83",14.08203125,1980-03-23
"84",13.6123046875,1980-03-24
"85",13.3720703125,1980-03-25
"86",14.33203125,1980-03-26
"87",16.662109375,1980-03-27
"88",12.8623046875,1980-03-28
"89",10.572265625,1980-03-29
"90",8.162109375,1980-03-30
"91",8.7216796875,1980-03-31
"92",9.6494140625,1980-04-01
"93",10.978515625,1980-04-02
"94",12.0693359375,1980-04-03
"95",11.5693359375,1980-04-04
"96",13.779296875,1980-04-05
"97",10.6787109375,1980-04-06
"98",9.458984375,1980-04-07
"99",7.71875,1980-04-08
"100",8.458984375,1980-04-09
"101",11.5791015625,1980-04-10
"102",13.9990234375,1980-04-11
"103",15.05859375,1980-04-12
"104",15.189453125,1980-04-13
"105",16.638671875,1980-04-14
"106",15.859375,1980-04-15
"107",12.6689453125,1980-04-16
"108",15.048828125,1980-04-17
"109",17.9892578125,1980-04-18
"110",17.689453125,1980-04-19
"111",18.5693359375,1980-04-20
"112",18.21875,1980-04-21
"113",18.6787109375,1980-04-22
"114",9.888671875,1980-04-23
"115",9.5390625,1980-04-24
"116",8.2890625,1980-04-25
"117",7.2587890625,1980-04-26
"118",8.3388671875,1980-04-27
"119",7.9892578125,1980-04-28
"120",4.87890625,1980-04-29
"121",6.7890625,1980-04-30
"122",5.6630859375,1980-05-01
"123",6.0830078125,1980-05-02
"124",6.1328125,1980-05-03
"125",5.9033203125,1980-05-04
"126",11.3525390625,1980-05-05
"127",13.962890625,1980-05-06
"128",12.7333984375,1980-05-07
"129",11.1826171875,1980-05-08
"130",9.72265625,1980-05-09
"131",8.783203125,1980-05-10
