"","tmin","time"
"1",19.70703125,1980-01-01
"2",20.4072265625,1980-01-02
"3",22.5166015625,1980-01-03
"4",23.13671875,1980-01-04
"5",22.357421875,1980-01-05
"6",22.2666015625,1980-01-06
"7",19.947265625,1980-01-07
"8",16.3369140625,1980-01-08
"9",16.0771484375,1980-01-09
"10",19.27734375,1980-01-10
"11",19.5771484375,1980-01-11
"12",18.0166015625,1980-01-12
"13",15.626953125,1980-01-13
"14",23.046875,1980-01-14
"15",23.466796875,1980-01-15
"16",23.7265625,1980-01-16
"17",21.1474609375,1980-01-17
"18",22.0771484375,1980-01-18
"19",26.287109375,1980-01-19
"20",21.63671875,1980-01-20
"21",19.296875,1980-01-21
"22",17.70703125,1980-01-22
"23",17.88671875,1980-01-23
"24",19.626953125,1980-01-24
"25",20.7265625,1980-01-25
"26",23.8974609375,1980-01-26
"27",20.1669921875,1980-01-27
"28",23.876953125,1980-01-28
"29",25.7666015625,1980-01-29
"30",22.95703125,1980-01-30
"31",18.4169921875,1980-01-31
"32",20.0380859375,1980-02-01
"33",27.087890625,1980-02-02
"34",23.337890625,1980-02-03
"35",20.23828125,1980-02-04
"36",20.3681640625,1980-02-05
"37",20.4580078125,1980-02-06
"38",23.677734375,1980-02-07
"39",21.84765625,1980-02-08
"40",21.6982421875,1980-02-09
"41",18.41796875,1980-02-10
"42",17.8076171875,1980-02-11
"43",23.568359375,1980-02-12
"44",26.578125,1980-02-13
"45",26.177734375,1980-02-14
"46",21.2275390625,1980-02-15
"47",21.6884765625,1980-02-16
"48",22.3583984375,1980-02-17
"49",19.4580078125,1980-02-18
"50",22.677734375,1980-02-19
"51",27.248046875,1980-02-20
"52",24.6884765625,1980-02-21
"53",21.267578125,1980-02-22
"54",18.1376953125,1980-02-23
"55",16.1884765625,1980-02-24
"56",17.828125,1980-02-25
"57",15.767578125,1980-02-26
"58",20.0576171875,1980-02-27
"59",23.017578125,1980-02-28
"60",19.6083984375,1980-02-29
"61",18.0595703125,1980-03-01
"62",17.990234375,1980-03-02
"63",19.099609375,1980-03-03
"64",17.650390625,1980-03-04
"65",21.9501953125,1980-03-05
"66",21.25,1980-03-06
"67",21.3603515625,1980-03-07
"68",22.490234375,1980-03-08
"69",21.1796875,1980-03-09
"70",19.41015625,1980-03-10
"71",15.240234375,1980-03-11
"72",13.1201171875,1980-03-12
"73",16.5302734375,1980-03-13
"74",17.4697265625,1980-03-14
"75",14.73046875,1980-03-15
"76",14.0302734375,1980-03-16
"77",13.9501953125,1980-03-17
"78",17.419921875,1980-03-18
"79",17.3203125,1980-03-19
"80",19.1796875,1980-03-20
"81",18.1103515625,1980-03-21
"82",19.2099609375,1980-03-22
"83",20.3701171875,1980-03-23
"84",21.2099609375,1980-03-24
"85",18.3203125,1980-03-25
"86",17.41015625,1980-03-26
"87",17.1396484375,1980-03-27
"88",17.490234375,1980-03-28
"89",20.9404296875,1980-03-29
"90",17.1396484375,1980-03-30
"91",12.5498046875,1980-03-31
"92",11.5458984375,1980-04-01
"93",9.685546875,1980-04-02
"94",9.90625,1980-04-03
"95",11.935546875,1980-04-04
"96",13.6162109375,1980-04-05
"97",15.2958984375,1980-04-06
"98",15.06640625,1980-04-07
"99",13.666015625,1980-04-08
"100",11.736328125,1980-04-09
"101",11.2861328125,1980-04-10
"102",15.99609375,1980-04-11
"103",16.6259765625,1980-04-12
"104",21.736328125,1980-04-13
"105",18.8359375,1980-04-14
"106",19.0361328125,1980-04-15
"107",19.7958984375,1980-04-16
"108",18.666015625,1980-04-17
"109",18.40625,1980-04-18
"110",19.7958984375,1980-04-19
"111",20.7958984375,1980-04-20
"112",22.3056640625,1980-04-21
"113",23.166015625,1980-04-22
"114",10.5458984375,1980-04-23
"115",8.8056640625,1980-04-24
"116",11.345703125,1980-04-25
"117",14.515625,1980-04-26
"118",10.9560546875,1980-04-27
"119",10.486328125,1980-04-28
"120",7.396484375,1980-04-29
"121",8.826171875,1980-04-30
"122",10.6220703125,1980-05-01
"123",9.412109375,1980-05-02
"124",6.501953125,1980-05-03
"125",5.58203125,1980-05-04
"126",8.9921875,1980-05-05
"127",12.7421875,1980-05-06
"128",15.0322265625,1980-05-07
"129",14.232421875,1980-05-08
"130",14.0224609375,1980-05-09
