"","tmin","time"
"1",20.2783203125,1980-01-01
"2",20.0576171875,1980-01-02
"3",21.267578125,1980-01-03
"4",20.908203125,1980-01-04
"5",21.8076171875,1980-01-05
"6",21.6279296875,1980-01-06
"7",20.0380859375,1980-01-07
"8",20.16796875,1980-01-08
"9",19.427734375,1980-01-09
"10",19.328125,1980-01-10
"11",17.5576171875,1980-01-11
"12",14.7080078125,1980-01-12
"13",15.9482421875,1980-01-13
"14",18.337890625,1980-01-14
"15",21.1484375,1980-01-15
"16",15.5478515625,1980-01-16
"17",18.2978515625,1980-01-17
"18",20.91796875,1980-01-18
"19",20.267578125,1980-01-19
"20",17.0283203125,1980-01-20
"21",19.177734375,1980-01-21
"22",20.177734375,1980-01-22
"23",21.0576171875,1980-01-23
"24",20.23828125,1980-01-24
"25",21.4482421875,1980-01-25
"26",18.078125,1980-01-26
"27",16.3681640625,1980-01-27
"28",15.9580078125,1980-01-28
"29",19.517578125,1980-01-29
"30",16.1376953125,1980-01-30
"31",17.2783203125,1980-01-31
"32",21.53125,1980-02-01
"33",23.640625,1980-02-02
"34",18.5908203125,1980-02-03
"35",18.8408203125,1980-02-04
"36",15.880859375,1980-02-05
"37",17.2109375,1980-02-06
"38",18.2109375,1980-02-07
"39",15.2314453125,1980-02-08
"40",17.9912109375,1980-02-09
"41",14.310546875,1980-02-10
"42",17.8212890625,1980-02-11
"43",22.7412109375,1980-02-12
"44",23.771484375,1980-02-13
"45",23.3310546875,1980-02-14
"46",21.8212890625,1980-02-15
"47",21.4912109375,1980-02-16
"48",25.111328125,1980-02-17
"49",24.9609375,1980-02-18
"50",25.541015625,1980-02-19
"51",27.28125,1980-02-20
"52",24.7412109375,1980-02-21
"53",18.771484375,1980-02-22
"54",14.6806640625,1980-02-23
"55",15.9814453125,1980-02-24
"56",16.30078125,1980-02-25
"57",14.3212890625,1980-02-26
"58",20.19140625,1980-02-27
"59",21.0810546875,1980-02-28
"60",16.6611328125,1980-02-29
"61",19.203125,1980-03-01
"62",19.142578125,1980-03-02
"63",17.0234375,1980-03-03
"64",17.4326171875,1980-03-04
"65",19.4130859375,1980-03-05
"66",23.3232421875,1980-03-06
"67",23.1328125,1980-03-07
"68",21.873046875,1980-03-08
"69",15.9130859375,1980-03-09
"70",11.86328125,1980-03-10
"71",13.5634765625,1980-03-11
"72",17.72265625,1980-03-12
"73",16.86328125,1980-03-13
"74",16.2626953125,1980-03-14
"75",14.712890625,1980-03-15
"76",15.693359375,1980-03-16
"77",15.5927734375,1980-03-17
"78",14.7529296875,1980-03-18
"79",16.033203125,1980-03-19
"80",20.8427734375,1980-03-20
"81",20.0126953125,1980-03-21
"82",20.22265625,1980-03-22
"83",18.962890625,1980-03-23
"84",17.6533203125,1980-03-24
"85",18.373046875,1980-03-25
"86",16.79296875,1980-03-26
"87",20.2529296875,1980-03-27
"88",17.6630859375,1980-03-28
"89",14.892578125,1980-03-29
"90",13.5927734375,1980-03-30
"91",12.212890625,1980-03-31
"92",12.427734375,1980-04-01
"93",12.7880859375,1980-04-02
"94",14.337890625,1980-04-03
"95",16.2275390625,1980-04-04
"96",17.568359375,1980-04-05
"97",13.48828125,1980-04-06
"98",12.8876953125,1980-04-07
"99",12.267578125,1980-04-08
"100",12.9775390625,1980-04-09
"101",16.177734375,1980-04-10
"102",18.0576171875,1980-04-11
"103",19.4775390625,1980-04-12
"104",20.2978515625,1980-04-13
"105",21.818359375,1980-04-14
"106",21.2275390625,1980-04-15
"107",15.087890625,1980-04-16
"108",21.017578125,1980-04-17
"109",20.2080078125,1980-04-18
"110",20.91796875,1980-04-19
"111",19.9384765625,1980-04-20
"112",19.748046875,1980-04-21
"113",20.177734375,1980-04-22
"114",11.5380859375,1980-04-23
"115",12.41796875,1980-04-24
"116",12.6181640625,1980-04-25
"117",10.498046875,1980-04-26
"118",11.587890625,1980-04-27
"119",8.41796875,1980-04-28
"120",8.7080078125,1980-04-29
"121",8.908203125,1980-04-30
"122",10.2021484375,1980-05-01
"123",8.5615234375,1980-05-02
"124",11.8515625,1980-05-03
"125",10.0322265625,1980-05-04
"126",14.921875,1980-05-05
"127",15.1318359375,1980-05-06
"128",15.6416015625,1980-05-07
"129",13.572265625,1980-05-08
"130",13.3623046875,1980-05-09
"131",13.001953125,1980-05-10
"132",8.7119140625,1980-05-11
"133",12.1123046875,1980-05-12
"134",10.671875,1980-05-13
"135",10.0517578125,1980-05-14
"136",9.26171875,1980-05-15
"137",9.001953125,1980-05-16
"138",10.5419921875,1980-05-17
"139",5.7919921875,1980-05-18
"140",5.662109375,1980-05-19
"141",7.681640625,1980-05-20
"142",10.15234375,1980-05-21
"143",7.3115234375,1980-05-22
"144",5.9423828125,1980-05-23
"145",7.1123046875,1980-05-24
"146",10.5322265625,1980-05-25
"147",11.2822265625,1980-05-26
"148",13.0517578125,1980-05-27
"149",7.9716796875,1980-05-28
"150",8.76171875,1980-05-29
"151",11.1923828125,1980-05-30
"152",9.9423828125,1980-05-31
"153",9.193359375,1980-06-01
"154",8.2431640625,1980-06-02
"155",9.8828125,1980-06-03
"156",9.693359375,1980-06-04
"157",5.1328125,1980-06-05
"158",4.8232421875,1980-06-06
"159",2.802734375,1980-06-07
"160",8.623046875,1980-06-08
"161",8.533203125,1980-06-09
"162",5.8828125,1980-06-10
"163",6.2626953125,1980-06-11
"164",8.7529296875,1980-06-12
"165",3.7529296875,1980-06-13
"166",2.392578125,1980-06-14
"167",9.4033203125,1980-06-15
"168",5.0927734375,1980-06-16
"169",5.453125,1980-06-17
"170",3.9833984375,1980-06-18
"171",2.7431640625,1980-06-19
"172",4.802734375,1980-06-20
"173",2.8134765625,1980-06-21
"174",4.3134765625,1980-06-22
"175",8.0126953125,1980-06-23
"176",4.97265625,1980-06-24
"177",5.712890625,1980-06-25
"178",10.8232421875,1980-06-26
"179",12.7431640625,1980-06-27
"180",5.9931640625,1980-06-28
