"","tmin","time"
"1",21.09765625,1980-01-01
"2",21.34765625,1980-01-02
"3",21.8583984375,1980-01-03
"4",21.5380859375,1980-01-04
"5",23.8583984375,1980-01-05
"6",24.1376953125,1980-01-06
"7",20.818359375,1980-01-07
"8",20.48828125,1980-01-08
"9",18.6181640625,1980-01-09
"10",18.2275390625,1980-01-10
"11",20.1083984375,1980-01-11
"12",15.7275390625,1980-01-12
"13",17.767578125,1980-01-13
"14",19.66796875,1980-01-14
"15",22.7080078125,1980-01-15
"16",17.23828125,1980-01-16
"17",18.568359375,1980-01-17
"18",21.16796875,1980-01-18
"19",23.1982421875,1980-01-19
"20",18.267578125,1980-01-20
"21",19.9677734375,1980-01-21
"22",21.267578125,1980-01-22
"23",21.6484375,1980-01-23
"24",22.7783203125,1980-01-24
"25",22.1982421875,1980-01-25
"26",19.34765625,1980-01-26
"27",17.7578125,1980-01-27
"28",17.6982421875,1980-01-28
"29",20.4677734375,1980-01-29
"30",17.98828125,1980-01-30
"31",18.1083984375,1980-01-31
"32",23.3701171875,1980-02-01
"33",25.259765625,1980-02-02
"34",20.2001953125,1980-02-03
"35",20.01953125,1980-02-04
"36",17.740234375,1980-02-05
"37",19.75,1980-02-06
"38",19.2998046875,1980-02-07
"39",14.5498046875,1980-02-08
"40",17.98046875,1980-02-09
"41",14.9599609375,1980-02-10
"42",18.509765625,1980-02-11
"43",23.0400390625,1980-02-12
"44",24.4296875,1980-02-13
"45",23.4404296875,1980-02-14
"46",22.3896484375,1980-02-15
"47",22.7998046875,1980-02-16
"48",25.66015625,1980-02-17
"49",24.5498046875,1980-02-18
"50",25.5595703125,1980-02-19
"51",26.91015625,1980-02-20
"52",27,1980-02-21
"53",20.4501953125,1980-02-22
"54",17.0400390625,1980-02-23
"55",16.5,1980-02-24
"56",17.080078125,1980-02-25
"57",13.150390625,1980-02-26
"58",18.1201171875,1980-02-27
"59",21.6396484375,1980-02-28
"60",19.8798828125,1980-02-29
"61",22.2919921875,1980-03-01
"62",21.421875,1980-03-02
"63",19.1318359375,1980-03-03
"64",18.3115234375,1980-03-04
"65",22.431640625,1980-03-05
"66",24.5322265625,1980-03-06
"67",23.0517578125,1980-03-07
"68",24.232421875,1980-03-08
"69",16.6318359375,1980-03-09
"70",12.7822265625,1980-03-10
"71",13.6416015625,1980-03-11
"72",16.982421875,1980-03-12
"73",16.232421875,1980-03-13
"74",17.921875,1980-03-14
"75",14.9521484375,1980-03-15
"76",16.01171875,1980-03-16
"77",15.5615234375,1980-03-17
"78",14.921875,1980-03-18
"79",16.4921875,1980-03-19
"80",19.822265625,1980-03-20
"81",20.3916015625,1980-03-21
"82",22.2119140625,1980-03-22
"83",21.0615234375,1980-03-23
"84",17.9619140625,1980-03-24
"85",19.08203125,1980-03-25
"86",16.5224609375,1980-03-26
"87",20.751953125,1980-03-27
"88",19.33203125,1980-03-28
"89",14.40234375,1980-03-29
"90",13.841796875,1980-03-30
"91",12.2822265625,1980-03-31
"92",12.611328125,1980-04-01
"93",12.80078125,1980-04-02
"94",13.470703125,1980-04-03
