"","tmax","time"
"1",32.8642578125,1987-01-01
"2",31.994140625,1987-01-02
"3",34.1142578125,1987-01-03
"4",33.013671875,1987-01-04
"5",33.59375,1987-01-05
"6",31.7939453125,1987-01-06
"7",30.50390625,1987-01-07
"8",31.5537109375,1987-01-08
"9",32.6640625,1987-01-09
"10",33.484375,1987-01-10
"11",31.8935546875,1987-01-11
"12",32.583984375,1987-01-12
"13",30.6142578125,1987-01-13
"14",31.234375,1987-01-14
"15",31.34375,1987-01-15
"16",31.2744140625,1987-01-16
"17",31.1435546875,1987-01-17
"18",28.6943359375,1987-01-18
"19",28.494140625,1987-01-19
"20",31.1435546875,1987-01-20
"21",30.353515625,1987-01-21
"22",29.8837890625,1987-01-22
"23",30.9541015625,1987-01-23
"24",30.3935546875,1987-01-24
"25",31.4736328125,1987-01-25
"26",31.5244140625,1987-01-26
"27",31.5244140625,1987-01-27
"28",29.853515625,1987-01-28
"29",32.0537109375,1987-01-29
"30",28.1640625,1987-01-30
"31",29.404296875,1987-01-31
"32",28.5888671875,1987-02-01
"33",29.0390625,1987-02-02
"34",27.048828125,1987-02-03
"35",29.029296875,1987-02-04
"36",27.689453125,1987-02-05
"37",27.9892578125,1987-02-06
"38",28.0087890625,1987-02-07
"39",28.8486328125,1987-02-08
"40",28.94921875,1987-02-09
"41",28.62890625,1987-02-10
"42",29.05859375,1987-02-11
"43",27.1494140625,1987-02-12
"44",26.888671875,1987-02-13
"45",28.638671875,1987-02-14
"46",29.2685546875,1987-02-15
"47",28.888671875,1987-02-16
"48",27.0087890625,1987-02-17
"49",28.2490234375,1987-02-18
"50",28.279296875,1987-02-19
"51",28.5888671875,1987-02-20
"52",29.029296875,1987-02-21
"53",28.048828125,1987-02-22
"54",28.46875,1987-02-23
"55",29.94921875,1987-02-24
"56",29.44921875,1987-02-25
"57",29.279296875,1987-02-26
"58",29.388671875,1987-02-27
"59",28.12890625,1987-02-28
"60",27.802734375,1987-03-01
"61",27.6533203125,1987-03-02
"62",28.873046875,1987-03-03
"63",29.283203125,1987-03-04
"64",30.033203125,1987-03-05
"65",30.4228515625,1987-03-06
"66",30.373046875,1987-03-07
"67",30.5634765625,1987-03-08
"68",30.9833984375,1987-03-09
"69",30.283203125,1987-03-10
"70",31.0126953125,1987-03-11
"71",29.142578125,1987-03-12
"72",28.5029296875,1987-03-13
"73",28.4033203125,1987-03-14
"74",28.1025390625,1987-03-15
"75",30.052734375,1987-03-16
"76",28.703125,1987-03-17
"77",29.212890625,1987-03-18
"78",29.693359375,1987-03-19
"79",29.6728515625,1987-03-20
"80",30.1025390625,1987-03-21
"81",30.5234375,1987-03-22
"82",30.2333984375,1987-03-23
"83",30.443359375,1987-03-24
"84",30.6025390625,1987-03-25
"85",29.693359375,1987-03-26
"86",30.5830078125,1987-03-27
"87",30.9931640625,1987-03-28
"88",30.5927734375,1987-03-29
"89",30.61328125,1987-03-30
"90",30.3232421875,1987-03-31
"91",30.1484375,1987-04-01
"92",29.8984375,1987-04-02
"93",29.7080078125,1987-04-03
"94",30.427734375,1987-04-04
"95",27.48828125,1987-04-05
"96",26.3876953125,1987-04-06
"97",27.1484375,1987-04-07
"98",28.16796875,1987-04-08
"99",29.6279296875,1987-04-09
"100",30.248046875,1987-04-10
"101",29.2275390625,1987-04-11
"102",29.0576171875,1987-04-12
"103",28.427734375,1987-04-13
"104",28.73828125,1987-04-14
"105",29.0283203125,1987-04-15
"106",29.087890625,1987-04-16
"107",29.408203125,1987-04-17
"108",29.4775390625,1987-04-18
"109",29.408203125,1987-04-19
"110",29.4384765625,1987-04-20
"111",29.1181640625,1987-04-21
"112",28.408203125,1987-04-22
"113",28.9775390625,1987-04-23
"114",28.59765625,1987-04-24
"115",29.16796875,1987-04-25
"116",29.2783203125,1987-04-26
"117",29.498046875,1987-04-27
"118",29.41796875,1987-04-28
"119",29.517578125,1987-04-29
"120",29.4775390625,1987-04-30
"121",29.5771484375,1987-05-01
"122",29.8369140625,1987-05-02
"123",29.796875,1987-05-03
"124",29.537109375,1987-05-04
"125",29.1474609375,1987-05-05
"126",29.197265625,1987-05-06
"127",29.2470703125,1987-05-07
"128",30.0869140625,1987-05-08
"129",30.296875,1987-05-09
"130",29.6474609375,1987-05-10
"131",29.2470703125,1987-05-11
"132",29.4970703125,1987-05-12
"133",29.4365234375,1987-05-13
"134",29.537109375,1987-05-14
"135",29.6171875,1987-05-15
"136",29.9267578125,1987-05-16
"137",30.1669921875,1987-05-17
"138",29.607421875,1987-05-18
"139",29.2373046875,1987-05-19
"140",28.607421875,1987-05-20
"141",28.447265625,1987-05-21
"142",28.7568359375,1987-05-22
"143",29.3974609375,1987-05-23
"144",29.1171875,1987-05-24
"145",29.3369140625,1987-05-25
"146",29.216796875,1987-05-26
"147",29.4970703125,1987-05-27
"148",29.5068359375,1987-05-28
"149",28.796875,1987-05-29
"150",28.2568359375,1987-05-30
"151",28.27734375,1987-05-31
"152",28.54296875,1987-06-01
"153",28.5029296875,1987-06-02
