"","tmax","time"
"1",37.75,1987-01-01
"2",34.259765625,1987-01-02
"3",36.0302734375,1987-01-03
"4",36.8095703125,1987-01-04
"5",37.75,1987-01-05
"6",37.6103515625,1987-01-06
"7",37.9296875,1987-01-07
"8",37.75,1987-01-08
"9",38.0400390625,1987-01-09
"10",38.240234375,1987-01-10
"11",38.4599609375,1987-01-11
"12",38.169921875,1987-01-12
"13",37.3798828125,1987-01-13
"14",35.7099609375,1987-01-14
"15",34.8095703125,1987-01-15
"16",34.76953125,1987-01-16
"17",33.4599609375,1987-01-17
"18",35.1103515625,1987-01-18
"19",35.75,1987-01-19
"20",31.849609375,1987-01-20
"21",29.3203125,1987-01-21
"22",32.1396484375,1987-01-22
"23",34.4296875,1987-01-23
"24",34.9697265625,1987-01-24
"25",35.7099609375,1987-01-25
"26",36.1396484375,1987-01-26
"27",36.0703125,1987-01-27
"28",34.0400390625,1987-01-28
"29",35.009765625,1987-01-29
"30",33.080078125,1987-01-30
"31",32.099609375,1987-01-31
"32",31.45703125,1987-02-01
"33",32.0771484375,1987-02-02
"34",34.037109375,1987-02-03
"35",33.3974609375,1987-02-04
"36",31.466796875,1987-02-05
"37",33.857421875,1987-02-06
"38",34.77734375,1987-02-07
"39",32.0068359375,1987-02-08
"40",30.38671875,1987-02-09
"41",28.8271484375,1987-02-10
"42",30.966796875,1987-02-11
"43",32.5166015625,1987-02-12
"44",32.13671875,1987-02-13
"45",32.9267578125,1987-02-14
"46",33.77734375,1987-02-15
"47",32.716796875,1987-02-16
"48",33.77734375,1987-02-17
"49",32.8466796875,1987-02-18
"50",31.5966796875,1987-02-19
"51",29.8369140625,1987-02-20
"52",31.947265625,1987-02-21
"53",29.9970703125,1987-02-22
"54",30.966796875,1987-02-23
"55",32.2568359375,1987-02-24
"56",27.966796875,1987-02-25
"57",31.5869140625,1987-02-26
"58",33.107421875,1987-02-27
"59",32.546875,1987-02-28
"60",33.0791015625,1987-03-01
"61",33.859375,1987-03-02
"62",33.359375,1987-03-03
"63",34.6494140625,1987-03-04
"64",34.37890625,1987-03-05
"65",34.1591796875,1987-03-06
"66",34.46875,1987-03-07
"67",35.0693359375,1987-03-08
"68",34.5791015625,1987-03-09
"69",34.798828125,1987-03-10
"70",31.939453125,1987-03-11
"71",34.87890625,1987-03-12
"72",34.0185546875,1987-03-13
"73",35.2392578125,1987-03-14
"74",34.0390625,1987-03-15
"75",33.298828125,1987-03-16
"76",33.5791015625,1987-03-17
"77",34.619140625,1987-03-18
"78",34.859375,1987-03-19
"79",35.3291015625,1987-03-20
"80",35.5693359375,1987-03-21
"81",34.5986328125,1987-03-22
"82",34.439453125,1987-03-23
"83",34.44921875,1987-03-24
"84",34.2890625,1987-03-25
"85",34.119140625,1987-03-26
"86",34.3486328125,1987-03-27
