"","tmax","time"
"1",34.291015625,1980-01-01
"2",35.630859375,1980-01-02
"3",36.4814453125,1980-01-03
"4",30.30078125,1980-01-04
"5",28.87109375,1980-01-05
"6",27.03125,1980-01-06
"7",33.140625,1980-01-07
"8",36.861328125,1980-01-08
"9",37.5908203125,1980-01-09
"10",39.1513671875,1980-01-10
"11",39.890625,1980-01-11
"12",37.3310546875,1980-01-12
"13",35.44140625,1980-01-13
"14",37.9306640625,1980-01-14
"15",40.0908203125,1980-01-15
"16",41.78125,1980-01-16
"17",43.1005859375,1980-01-17
"18",41.380859375,1980-01-18
"19",41.69140625,1980-01-19
"20",38.2314453125,1980-01-20
"21",40.111328125,1980-01-21
"22",39.8408203125,1980-01-22
"23",39.0107421875,1980-01-23
"24",40.7607421875,1980-01-24
"25",41.4013671875,1980-01-25
"26",41.060546875,1980-01-26
"27",33.861328125,1980-01-27
"28",37.3505859375,1980-01-28
"29",37.12109375,1980-01-29
"30",36.28125,1980-01-30
"31",37.541015625,1980-01-31
"32",37.71875,1980-02-01
"33",39.4287109375,1980-02-02
"34",39.548828125,1980-02-03
"35",40.689453125,1980-02-04
"36",36.1591796875,1980-02-05
"37",35.4091796875,1980-02-06
"38",37.779296875,1980-02-07
"39",32.7890625,1980-02-08
"40",35.4287109375,1980-02-09
"41",32.7587890625,1980-02-10
"42",31.9990234375,1980-02-11
"43",34.478515625,1980-02-12
"44",34.4091796875,1980-02-13
"45",35.1494140625,1980-02-14
"46",35.0185546875,1980-02-15
"47",35.87890625,1980-02-16
"48",37.3291015625,1980-02-17
"49",37.888671875,1980-02-18
"50",38.8193359375,1980-02-19
"51",39.4189453125,1980-02-20
"52",40.9990234375,1980-02-21
"53",41.8193359375,1980-02-22
"54",41.7685546875,1980-02-23
"55",42.189453125,1980-02-24
"56",41.939453125,1980-02-25
"57",41.1494140625,1980-02-26
"58",40.5791015625,1980-02-27
"59",40.689453125,1980-02-28
"60",40.96875,1980-02-29
"61",38.9482421875,1980-03-01
"62",37.6181640625,1980-03-02
"63",29.48828125,1980-03-03
"64",31.9580078125,1980-03-04
"65",33.837890625,1980-03-05
"66",35.2978515625,1980-03-06
"67",35.09765625,1980-03-07
"68",35.7978515625,1980-03-08
"69",36.6181640625,1980-03-09
"70",35.828125,1980-03-10
"71",36.2880859375,1980-03-11
"72",35.5576171875,1980-03-12
"73",32.6982421875,1980-03-13
"74",32.8583984375,1980-03-14
"75",35.4482421875,1980-03-15
"76",35.568359375,1980-03-16
"77",35.328125,1980-03-17
"78",35.9580078125,1980-03-18
"79",35.8876953125,1980-03-19
"80",35.7783203125,1980-03-20
"81",35.2783203125,1980-03-21
"82",35.498046875,1980-03-22
"83",34.8779296875,1980-03-23
"84",36.48828125,1980-03-24
"85",37.3876953125,1980-03-25
"86",36.337890625,1980-03-26
"87",37.2783203125,1980-03-27
"88",37.3076171875,1980-03-28
"89",37.3984375,1980-03-29
"90",35.8876953125,1980-03-30
"91",37.318359375,1980-03-31
"92",34.759765625,1980-04-01
"93",35.8701171875,1980-04-02
"94",36.259765625,1980-04-03
"95",37.2001953125,1980-04-04
"96",38.0400390625,1980-04-05
"97",38.3203125,1980-04-06
"98",36.830078125,1980-04-07
"99",36.259765625,1980-04-08
"100",34.0400390625,1980-04-09
"101",32.830078125,1980-04-10
"102",32.8896484375,1980-04-11
"103",32.4404296875,1980-04-12
"104",32.41015625,1980-04-13
"105",32.8896484375,1980-04-14
"106",33.4404296875,1980-04-15
"107",33.4404296875,1980-04-16
"108",33.919921875,1980-04-17
"109",34.849609375,1980-04-18
"110",34.6201171875,1980-04-19
"111",34.26953125,1980-04-20
"112",35.9296875,1980-04-21
"113",36.7900390625,1980-04-22
"114",29.6201171875,1980-04-23
"115",26.0595703125,1980-04-24
"116",28.330078125,1980-04-25
"117",28.3603515625,1980-04-26
"118",30.740234375,1980-04-27
"119",32.5,1980-04-28
"120",32.3798828125,1980-04-29
"121",31.73046875,1980-04-30
"122",31.1201171875,1980-05-01
"123",31.4599609375,1980-05-02
"124",31.7802734375,1980-05-03
"125",31.9296875,1980-05-04
"126",31.5703125,1980-05-05
"127",31.9296875,1980-05-06
"128",32,1980-05-07
"129",31.0595703125,1980-05-08
"130",31.1904296875,1980-05-09
"131",30.91015625,1980-05-10
"132",32.6298828125,1980-05-11
"133",31.8798828125,1980-05-12
"134",32.3095703125,1980-05-13
"135",32.4599609375,1980-05-14
"136",31.3603515625,1980-05-15
"137",30.4296875,1980-05-16
"138",30.330078125,1980-05-17
"139",30.08984375,1980-05-18
"140",30.169921875,1980-05-19
"141",29.5,1980-05-20
"142",25.3603515625,1980-05-21
"143",18.16015625,1980-05-22
"144",24.98046875,1980-05-23
"145",26.8203125,1980-05-24
"146",28.8896484375,1980-05-25
"147",31.7900390625,1980-05-26
"148",31.23046875,1980-05-27
"149",28.58984375,1980-05-28
"150",25.669921875,1980-05-29
"151",27.1103515625,1980-05-30
"152",28.7197265625,1980-05-31
"153",28.9638671875,1980-06-01
"154",24.2041015625,1980-06-02
"155",26.8740234375,1980-06-03
"156",27.404296875,1980-06-04
"157",25.734375,1980-06-05
"158",26.7939453125,1980-06-06
