"","tmax","time"
"1",25.671875,1980-01-01
"2",30.9716796875,1980-01-02
"3",31.40234375,1980-01-03
"4",26.8916015625,1980-01-04
"5",27.341796875,1980-01-05
"6",28.1318359375,1980-01-06
"7",28.3916015625,1980-01-07
"8",29.1923828125,1980-01-08
"9",32.3720703125,1980-01-09
"10",35.1416015625,1980-01-10
"11",21.2421875,1980-01-11
"12",23.1220703125,1980-01-12
"13",27.341796875,1980-01-13
"14",32.6015625,1980-01-14
"15",24.33203125,1980-01-15
"16",29.1220703125,1980-01-16
"17",36.5224609375,1980-01-17
"18",28.8017578125,1980-01-18
"19",23.15234375,1980-01-19
"20",24.7822265625,1980-01-20
"21",27.9921875,1980-01-21
"22",34.7822265625,1980-01-22
"23",27.5322265625,1980-01-23
"24",29.58203125,1980-01-24
"25",24.822265625,1980-01-25
"26",23.9716796875,1980-01-26
"27",29.9423828125,1980-01-27
"28",32.5419921875,1980-01-28
"29",22.8818359375,1980-01-29
"30",24.732421875,1980-01-30
"31",30.2822265625,1980-01-31
"32",32.876953125,1980-02-01
"33",23.447265625,1980-02-02
"34",23.1171875,1980-02-03
"35",20.447265625,1980-02-04
"36",25.3466796875,1980-02-05
"37",24.7265625,1980-02-06
"38",27.6171875,1980-02-07
"39",24.0166015625,1980-02-08
"40",24.7568359375,1980-02-09
"41",30.4365234375,1980-02-10
"42",33.70703125,1980-02-11
"43",36.4970703125,1980-02-12
"44",32.857421875,1980-02-13
"45",38.63671875,1980-02-14
"46",29.95703125,1980-02-15
"47",31.8671875,1980-02-16
"48",33.0966796875,1980-02-17
"49",36.9072265625,1980-02-18
"50",40.5869140625,1980-02-19
"51",40.857421875,1980-02-20
"52",25.0966796875,1980-02-21
"53",21.8173828125,1980-02-22
"54",24.126953125,1980-02-23
"55",23.287109375,1980-02-24
"56",28.1669921875,1980-02-25
"57",33.1865234375,1980-02-26
"58",35.8671875,1980-02-27
"59",25.107421875,1980-02-28
"60",25.8974609375,1980-02-29
"61",27.703125,1980-03-01
"62",22.193359375,1980-03-02
"63",29.0634765625,1980-03-03
"64",26.783203125,1980-03-04
"65",26.9326171875,1980-03-05
"66",32.212890625,1980-03-06
"67",29.6533203125,1980-03-07
"68",20.86328125,1980-03-08
"69",20.1533203125,1980-03-09
"70",22.61328125,1980-03-10
"71",28.0830078125,1980-03-11
"72",29.6630859375,1980-03-12
"73",26.373046875,1980-03-13
"74",22.5126953125,1980-03-14
"75",23.9033203125,1980-03-15
"76",28.1728515625,1980-03-16
"77",32.8427734375,1980-03-17
"78",34.5830078125,1980-03-18
"79",30.54296875,1980-03-19
"80",36.8232421875,1980-03-20
"81",29.4833984375,1980-03-21
"82",25.4033203125,1980-03-22
"83",26.8525390625,1980-03-23
"84",25.7431640625,1980-03-24
"85",31.0732421875,1980-03-25
"86",34.4033203125,1980-03-26
"87",24.2431640625,1980-03-27
"88",22.5234375,1980-03-28
"89",21.4833984375,1980-03-29
"90",21.943359375,1980-03-30
"91",23.5029296875,1980-03-31
"92",26.4580078125,1980-04-01
"93",29.84765625,1980-04-02
"94",23.5478515625,1980-04-03
"95",32.1484375,1980-04-04
"96",20.7783203125,1980-04-05
"97",21.158203125,1980-04-06
"98",25.017578125,1980-04-07
"99",27.0576171875,1980-04-08
"100",27.9482421875,1980-04-09
"101",30.568359375,1980-04-10
"102",27.7978515625,1980-04-11
"103",26.4384765625,1980-04-12
"104",27.9384765625,1980-04-13
"105",28.587890625,1980-04-14
"106",27.908203125,1980-04-15
"107",25.7880859375,1980-04-16
"108",25.498046875,1980-04-17
"109",23.6083984375,1980-04-18
"110",23.9775390625,1980-04-19
"111",25.0478515625,1980-04-20
"112",22.0283203125,1980-04-21
"113",21.41796875,1980-04-22
"114",17.4384765625,1980-04-23
"115",17.8984375,1980-04-24
"116",18.23828125,1980-04-25
"117",18.7177734375,1980-04-26
"118",16.087890625,1980-04-27
"119",17.7978515625,1980-04-28
"120",18.3076171875,1980-04-29
"121",18.748046875,1980-04-30
"122",18.4716796875,1980-05-01
"123",17.6015625,1980-05-02
"124",21.251953125,1980-05-03
"125",23.7822265625,1980-05-04
"126",24.7021484375,1980-05-05
"127",21.1923828125,1980-05-06
"128",21.751953125,1980-05-07
"129",23.181640625,1980-05-08
"130",24.2021484375,1980-05-09
"131",21.83203125,1980-05-10
"132",15.7822265625,1980-05-11
"133",16.251953125,1980-05-12
"134",19.912109375,1980-05-13
"135",21.4423828125,1980-05-14
"136",20.251953125,1980-05-15
"137",19.01171875,1980-05-16
"138",16.251953125,1980-05-17
"139",15.33203125,1980-05-18
"140",15.0615234375,1980-05-19
"141",13.921875,1980-05-20
"142",15.171875,1980-05-21
"143",17.1318359375,1980-05-22
"144",17.9921875,1980-05-23
"145",19.0322265625,1980-05-24
"146",19.6220703125,1980-05-25
"147",18.251953125,1980-05-26
"148",16.4921875,1980-05-27
"149",15.7724609375,1980-05-28
"150",16.091796875,1980-05-29
"151",13.072265625,1980-05-30
