"","tmax","time"
"1",32.400390625,1980-01-01
"2",35.8701171875,1980-01-02
"3",34.91015625,1980-01-03
"4",28.4296875,1980-01-04
"5",31.669921875,1980-01-05
"6",37.740234375,1980-01-06
"7",38.6298828125,1980-01-07
"8",37.849609375,1980-01-08
"9",38.599609375,1980-01-09
"10",42.7001953125,1980-01-10
"11",39.8798828125,1980-01-11
"12",34.919921875,1980-01-12
"13",36.8603515625,1980-01-13
"14",40.0703125,1980-01-14
"15",41.26953125,1980-01-15
"16",41.91015625,1980-01-16
"17",43.0302734375,1980-01-17
"18",46.0703125,1980-01-18
"19",43.1904296875,1980-01-19
"20",37.73046875,1980-01-20
"21",38.7099609375,1980-01-21
"22",40.1396484375,1980-01-22
"23",43.7099609375,1980-01-23
"24",43.2998046875,1980-01-24
"25",45.33984375,1980-01-25
"26",43.3798828125,1980-01-26
"27",42.490234375,1980-01-27
"28",43.009765625,1980-01-28
"29",41.9404296875,1980-01-29
"30",38.9599609375,1980-01-30
"31",40.26953125,1980-01-31
"32",41.3662109375,1980-02-01
"33",42.7763671875,1980-02-02
"34",38.65625,1980-02-03
"35",39.74609375,1980-02-04
"36",36.255859375,1980-02-05
"37",38.5859375,1980-02-06
"38",38.2861328125,1980-02-07
"39",39.3662109375,1980-02-08
"40",37.56640625,1980-02-09
"41",36.8857421875,1980-02-10
"42",33.2763671875,1980-02-11
"43",36.9560546875,1980-02-12
"44",37.7060546875,1980-02-13
"45",37.7958984375,1980-02-14
"46",38.42578125,1980-02-15
"47",39.0263671875,1980-02-16
"48",40.6162109375,1980-02-17
"49",40.1357421875,1980-02-18
"50",41.826171875,1980-02-19
"51",42.92578125,1980-02-20
"52",43.3759765625,1980-02-21
"53",39.74609375,1980-02-22
"54",36.8857421875,1980-02-23
"55",37.1962890625,1980-02-24
"56",37.6357421875,1980-02-25
"57",39.7060546875,1980-02-26
"58",42.755859375,1980-02-27
"59",44.3056640625,1980-02-28
"60",36.486328125,1980-02-29
"61",38.8505859375,1980-03-01
"62",41.390625,1980-03-02
"63",38.5107421875,1980-03-03
"64",36.970703125,1980-03-04
"65",36.220703125,1980-03-05
"66",36.9013671875,1980-03-06
"67",38.951171875,1980-03-07
"68",39.1005859375,1980-03-08
"69",37.7412109375,1980-03-09
"70",34.4814453125,1980-03-10
"71",34.880859375,1980-03-11
"72",36.810546875,1980-03-12
"73",35.4111328125,1980-03-13
