"","time","bs","pv","npv","ue","spatial_ref","sfg_id","point_id","x","y"
"1",1987-09-12 23:52:58.533204,48,23,27,9,3577,1,1,913815,-3412725
"2",1987-09-12 23:52:58.533204,47,24,28,10,3577,2,2,913845,-3412725
"3",1987-09-12 23:52:58.533204,48,25,26,9,3577,3,3,913785,-3412755
"4",1987-09-12 23:52:58.533204,43,25,31,10,3577,4,4,913815,-3412755
"5",1987-09-12 23:52:58.533204,44,25,30,10,3577,5,5,913845,-3412755
"6",1987-09-12 23:52:58.533204,47,22,30,9,3577,6,6,913875,-3412755
"7",1987-09-12 23:52:58.533204,44,24,31,10,3577,7,7,913905,-3412755
"8",1987-09-12 23:52:58.533204,43,26,30,9,3577,8,8,913785,-3412785
"9",1987-09-12 23:52:58.533204,45,25,28,9,3577,9,9,913815,-3412785
"10",1987-09-12 23:52:58.533204,44,25,30,9,3577,10,10,913845,-3412785
"11",1987-09-12 23:52:58.533204,46,23,30,9,3577,11,11,913875,-3412785
"12",1987-09-12 23:52:58.533204,44,23,32,9,3577,12,12,913905,-3412785
"13",1987-09-12 23:52:58.533204,43,26,31,9,3577,13,13,913785,-3412815
"14",1987-09-12 23:52:58.533204,44,25,30,9,3577,14,14,913815,-3412815
"15",1987-09-12 23:52:58.533204,46,23,30,9,3577,15,15,913845,-3412815
"16",1987-09-12 23:52:58.533204,52,23,24,9,3577,16,16,913875,-3412815
"17",1987-09-12 23:52:58.533204,43,25,31,9,3577,17,17,913905,-3412815
"18",1987-09-12 23:52:58.533204,38,24,37,9,3577,18,18,913755,-3412845
"19",1987-09-12 23:52:58.533204,47,24,27,9,3577,19,19,913785,-3412845
"20",1987-09-12 23:52:58.533204,42,25,32,9,3577,20,20,913815,-3412845
"21",1987-09-12 23:52:58.533204,47,24,28,9,3577,21,21,913845,-3412845
"22",1987-09-12 23:52:58.533204,55,23,21,9,3577,22,22,913875,-3412845
"23",1987-09-12 23:52:58.533204,38,22,38,8,3577,23,23,913905,-3412845
"24",1987-09-12 23:52:58.533204,38,23,38,9,3577,24,24,913785,-3412875
"25",1987-09-12 23:52:58.533204,47,23,29,8,3577,25,25,913815,-3412875
"26",1987-09-12 23:52:58.533204,40,23,35,9,3577,26,26,913845,-3412875
"27",1987-09-12 23:52:58.533204,48,22,29,8,3577,27,27,913875,-3412875
"28",1987-09-28 23:53:20.128719,34,25,39,10,3577,28,28,913815,-3412725
