"","time","bs","pv","npv","ue","spatial_ref","sfg_id","point_id","x","y"
"1",1987-09-09 23:22:24.314379,15,43,41,12,3577,1,1,1595895,-3512955
"2",1987-09-09 23:22:24.314379,30,39,30,10,3577,2,2,1595925,-3512955
"3",1987-09-09 23:22:24.314379,19,43,37,10,3577,3,3,1595955,-3512955
"4",1987-09-09 23:22:24.314379,23,39,37,11,3577,4,4,1595985,-3512955
"5",1987-09-09 23:22:24.314379,9,50,40,15,3577,5,5,1596015,-3512955
"6",1987-09-09 23:22:24.314379,8,48,43,16,3577,6,6,1595895,-3512985
"7",1987-09-09 23:22:24.314379,14,40,44,14,3577,7,7,1595925,-3512985
"8",1987-09-09 23:22:24.314379,5,45,48,16,3577,8,8,1595955,-3512985
"9",1987-09-09 23:22:24.314379,1,46,52,15,3577,9,9,1595985,-3512985
"10",1987-09-09 23:22:24.314379,12,53,34,13,3577,10,10,1596015,-3512985
"11",1987-09-09 23:22:24.314379,12,58,28,12,3577,11,11,1596045,-3512985
"12",1987-09-09 23:22:24.314379,4,48,48,18,3577,12,12,1595895,-3513015
"13",1987-09-09 23:22:24.314379,3,50,46,18,3577,13,13,1595925,-3513015
"14",1987-09-09 23:22:24.314379,6,43,49,18,3577,14,14,1595955,-3513015
"15",1987-09-09 23:22:24.314379,6,46,47,15,3577,15,15,1595985,-3513015
"16",1987-09-09 23:22:24.314379,12,44,43,13,3577,16,16,1596015,-3513015
"18",1987-09-09 23:22:24.314379,4,46,49,17,3577,18,18,1595925,-3513045
"19",1987-09-09 23:22:24.314379,4,45,50,17,3577,19,19,1595955,-3513045
"20",1987-09-09 23:22:24.314379,5,43,51,17,3577,20,20,1595985,-3513045
"21",1987-09-09 23:22:24.314379,11,43,45,15,3577,21,21,1596015,-3513045
"24",1987-09-09 23:22:24.314379,7,48,44,18,3577,24,24,1595955,-3513075
"25",1987-09-09 23:22:24.314379,8,43,48,17,3577,25,25,1595985,-3513075
"26",1987-09-09 23:22:24.314379,3,47,49,17,3577,26,26,1596015,-3513075
"27",1987-09-25 23:22:46.514351,22,38,39,11,3577,27,27,1595895,-3512955
"28",1987-09-25 23:22:46.514351,38,35,25,9,3577,28,28,1595925,-3512955
"29",1987-09-25 23:22:46.514351,23,39,37,10,3577,29,29,1595955,-3512955
"30",1987-09-25 23:22:46.514351,22,40,37,11,3577,30,30,1595985,-3512955
"31",1987-09-25 23:22:46.514351,16,45,38,13,3577,31,31,1596015,-3512955
"32",1987-09-25 23:22:46.514351,12,41,45,15,3577,32,32,1595895,-3512985
"33",1987-09-25 23:22:46.514351,15,39,45,13,3577,33,33,1595925,-3512985
"34",1987-09-25 23:22:46.514351,10,42,47,15,3577,34,34,1595955,-3512985
"35",1987-09-25 23:22:46.514351,10,44,45,13,3577,35,35,1595985,-3512985
"36",1987-09-25 23:22:46.514351,22,47,30,11,3577,36,36,1596015,-3512985
"37",1987-09-25 23:22:46.514351,18,49,32,11,3577,37,37,1596045,-3512985
"38",1987-09-25 23:22:46.514351,3,50,46,17,3577,38,38,1595895,-3513015
"39",1987-09-25 23:22:46.514351,7,45,47,17,3577,39,39,1595925,-3513015
"40",1987-09-25 23:22:46.514351,10,43,46,17,3577,40,40,1595955,-3513015
"41",1987-09-25 23:22:46.514351,9,42,49,13,3577,41,41,1595985,-3513015
"42",1987-09-25 23:22:46.514351,16,42,41,12,3577,42,42,1596015,-3513015
"44",1987-09-25 23:22:46.514351,4,47,48,15,3577,44,44,1595925,-3513045
"45",1987-09-25 23:22:46.514351,8,44,48,16,3577,45,45,1595955,-3513045
"46",1987-09-25 23:22:46.514351,8,39,52,15,3577,46,46,1595985,-3513045
"47",1987-09-25 23:22:46.514351,13,39,47,14,3577,47,47,1596015,-3513045
"50",1987-09-25 23:22:46.514351,12,44,43,16,3577,50,50,1595955,-3513075
"51",1987-09-25 23:22:46.514351,10,38,52,16,3577,51,51,1595985,-3513075
"52",1987-09-25 23:22:46.514351,9,44,47,15,3577,52,52,1596015,-3513075
"53",1987-10-11 23:23:05.469772,27,39,33,11,3577,53,53,1595895,-3512955
"54",1987-10-11 23:23:05.469772,30,40,29,9,3577,54,54,1595925,-3512955
"55",1987-10-11 23:23:05.469772,37,34,27,8,3577,55,55,1595955,-3512955
"56",1987-10-11 23:23:05.469772,17,45,36,11,3577,56,56,1595985,-3512955
"57",1987-10-11 23:23:05.469772,18,47,34,13,3577,57,57,1596015,-3512955
"58",1987-10-11 23:23:05.469772,16,43,40,13,3577,58,58,1595895,-3512985
"59",1987-10-11 23:23:05.469772,15,39,45,12,3577,59,59,1595925,-3512985
"60",1987-10-11 23:23:05.469772,12,43,44,14,3577,60,60,1595955,-3512985
"61",1987-10-11 23:23:05.469772,21,37,40,12,3577,61,61,1595985,-3512985
"62",1987-10-11 23:23:05.469772,13,55,30,12,3577,62,62,1596015,-3512985
"63",1987-10-11 23:23:05.469772,18,47,34,10,3577,63,63,1596045,-3512985
"64",1987-10-11 23:23:05.469772,0,50,49,16,3577,64,64,1595895,-3513015
"65",1987-10-11 23:23:05.469772,7,45,47,16,3577,65,65,1595925,-3513015
"66",1987-10-11 23:23:05.469772,9,50,40,17,3577,66,66,1595955,-3513015
"67",1987-10-11 23:23:05.469772,18,40,40,12,3577,67,67,1595985,-3513015
"68",1987-10-11 23:23:05.469772,10,46,42,12,3577,68,68,1596015,-3513015
"70",1987-10-11 23:23:05.469772,10,44,45,14,3577,70,70,1595925,-3513045
"71",1987-10-11 23:23:05.469772,3,51,46,16,3577,71,71,1595955,-3513045
"72",1987-10-11 23:23:05.469772,11,39,49,14,3577,72,72,1595985,-3513045
"73",1987-10-11 23:23:05.469772,9,40,49,13,3577,73,73,1596015,-3513045
"76",1987-10-11 23:23:05.469772,8,50,41,15,3577,76,76,1595955,-3513075
"77",1987-10-11 23:23:05.469772,14,42,43,15,3577,77,77,1595985,-3513075
"78",1987-10-11 23:23:05.469772,7,43,49,14,3577,78,78,1596015,-3513075
"79",1987-11-12 23:23:42.578794,16,39,44,12,3577,79,79,1595895,-3512955
"80",1987-11-12 23:23:42.578794,21,37,41,10,3577,80,80,1595925,-3512955
"81",1987-11-12 23:23:42.578794,20,41,38,11,3577,81,81,1595955,-3512955
"82",1987-11-12 23:23:42.578794,21,41,38,12,3577,82,82,1595985,-3512955
"83",1987-11-12 23:23:42.578794,9,51,39,14,3577,83,83,1596015,-3512955
"84",1987-11-12 23:23:42.578794,13,45,41,14,3577,84,84,1595895,-3512985
"85",1987-11-12 23:23:42.578794,12,41,46,13,3577,85,85,1595925,-3512985
"86",1987-11-12 23:23:42.578794,20,39,39,14,3577,86,86,1595955,-3512985
"87",1987-11-12 23:23:42.578794,8,45,46,13,3577,87,87,1595985,-3512985
"88",1987-11-12 23:23:42.578794,16,52,31,13,3577,88,88,1596015,-3512985
"89",1987-11-12 23:23:42.578794,12,55,32,12,3577,89,89,1596045,-3512985
"90",1987-11-12 23:23:42.578794,7,47,44,16,3577,90,90,1595895,-3513015
"91",1987-11-12 23:23:42.578794,4,47,48,16,3577,91,91,1595925,-3513015
"92",1987-11-12 23:23:42.578794,5,48,47,16,3577,92,92,1595955,-3513015
"93",1987-11-12 23:23:42.578794,16,38,44,13,3577,93,93,1595985,-3513015
"94",1987-11-12 23:23:42.578794,9,44,46,13,3577,94,94,1596015,-3513015
"96",1987-11-12 23:23:42.578794,9,45,45,15,3577,96,96,1595925,-3513045
"97",1987-11-12 23:23:42.578794,3,48,47,15,3577,97,97,1595955,-3513045
"98",1987-11-12 23:23:42.578794,6,45,48,15,3577,98,98,1595985,-3513045
"99",1987-11-12 23:23:42.578794,5,45,49,14,3577,99,99,1596015,-3513045
"102",1987-11-12 23:23:42.578794,4,48,47,16,3577,102,102,1595955,-3513075
"103",1987-11-12 23:23:42.578794,9,37,53,15,3577,103,103,1595985,-3513075
"104",1987-11-12 23:23:42.578794,6,40,53,15,3577,104,104,1596015,-3513075
"105",1987-11-28 23:23:59.512859,0,29,72,6,3577,105,105,1595895,-3512955
"106",1987-11-28 23:23:59.512859,0,29,72,6,3577,106,106,1595925,-3512955
"107",1987-11-28 23:23:59.512859,0,30,71,6,3577,107,107,1595955,-3512955
"108",1987-11-28 23:23:59.512859,0,28,73,6,3577,108,108,1595985,-3512955
"109",1987-11-28 23:23:59.512859,0,30,71,6,3577,109,109,1596015,-3512955
"110",1987-11-28 23:23:59.512859,0,29,72,7,3577,110,110,1595895,-3512985
"111",1987-11-28 23:23:59.512859,0,29,72,6,3577,111,111,1595925,-3512985
"112",1987-11-28 23:23:59.512859,0,29,72,6,3577,112,112,1595955,-3512985
"113",1987-11-28 23:23:59.512859,0,28,73,6,3577,113,113,1595985,-3512985
"114",1987-11-28 23:23:59.512859,0,29,72,6,3577,114,114,1596015,-3512985
"115",1987-11-28 23:23:59.512859,0,30,71,6,3577,115,115,1596045,-3512985
"116",1987-11-28 23:23:59.512859,0,32,69,7,3577,116,116,1595895,-3513015
"117",1987-11-28 23:23:59.512859,0,30,71,7,3577,117,117,1595925,-3513015
"118",1987-11-28 23:23:59.512859,0,29,72,6,3577,118,118,1595955,-3513015
"119",1987-11-28 23:23:59.512859,0,27,73,6,3577,119,119,1595985,-3513015
"120",1987-11-28 23:23:59.512859,0,29,72,6,3577,120,120,1596015,-3513015
"122",1987-11-28 23:23:59.512859,0,30,71,7,3577,122,122,1595925,-3513045
"123",1987-11-28 23:23:59.512859,0,28,73,7,3577,123,123,1595955,-3513045
"124",1987-11-28 23:23:59.512859,0,30,71,7,3577,124,124,1595985,-3513045
"125",1987-11-28 23:23:59.512859,0,32,69,6,3577,125,125,1596015,-3513045
"128",1987-11-28 23:23:59.512859,0,28,72,7,3577,128,128,1595955,-3513075
"129",1987-11-28 23:23:59.512859,0,28,73,7,3577,129,129,1595985,-3513075
"130",1987-11-28 23:23:59.512859,0,29,72,7,3577,130,130,1596015,-3513075
"131",1987-12-14 23:24:12.730969,14,39,46,11,3577,131,131,1595895,-3512955
"132",1987-12-14 23:24:12.730969,33,26,40,9,3577,132,132,1595925,-3512955
"133",1987-12-14 23:24:12.730969,22,35,42,10,3577,133,133,1595955,-3512955
"134",1987-12-14 23:24:12.730969,25,35,38,11,3577,134,134,1595985,-3512955
"135",1987-12-14 23:24:12.730969,8,40,51,14,3577,135,135,1596015,-3512955
"136",1987-12-14 23:24:12.730969,12,36,51,13,3577,136,136,1595895,-3512985
"137",1987-12-14 23:24:12.730969,24,32,42,12,3577,137,137,1595925,-3512985
"138",1987-12-14 23:24:12.730969,10,36,53,14,3577,138,138,1595955,-3512985
"139",1987-12-14 23:24:12.730969,13,38,48,12,3577,139,139,1595985,-3512985
"140",1987-12-14 23:24:12.730969,10,40,49,12,3577,140,140,1596015,-3512985
"141",1987-12-14 23:24:12.730969,13,41,45,11,3577,141,141,1596045,-3512985
"142",1987-12-14 23:24:12.730969,4,43,51,15,3577,142,142,1595895,-3513015
"143",1987-12-14 23:24:12.730969,7,38,54,15,3577,143,143,1595925,-3513015
"144",1987-12-14 23:24:12.730969,9,38,52,16,3577,144,144,1595955,-3513015
"145",1987-12-14 23:24:12.730969,8,36,55,13,3577,145,145,1595985,-3513015
"146",1987-12-14 23:24:12.730969,19,32,48,12,3577,146,146,1596015,-3513015
"148",1987-12-14 23:24:12.730969,8,39,53,14,3577,148,148,1595925,-3513045
"149",1987-12-14 23:24:12.730969,8,39,52,14,3577,149,149,1595955,-3513045
"150",1987-12-14 23:24:12.730969,9,35,55,14,3577,150,150,1595985,-3513045
"151",1987-12-14 23:24:12.730969,12,34,52,13,3577,151,151,1596015,-3513045
"154",1987-12-14 23:24:12.730969,9,43,47,15,3577,154,154,1595955,-3513075
"155",1987-12-14 23:24:12.730969,7,37,55,14,3577,155,155,1595985,-3513075
