"","site_location_name","Andropogoneae","Chloridoideae","latitude","longitude"
"46","NSAMDD0006",0,0,-33.6643194444444,143.166536111111
"47","NSAMDD0007",0,0,-33.3799805555556,141.160811111111
"48","NSAMDD0008",0,0,-33.4309611111111,141.072030555556
"49","NSAMDD0009",0,0,-33.4404944444444,141.065522222222
"50","NSAMDD0010",0,0,-33.4076027777778,141.293472222222
"51","NSAMDD0011",0,0,-33.4388194444444,141.012675
"52","NSAMDD0012",0,0,-33.2631611111111,141.266244444444
"53","NSAMDD0013",0,0,-33.2376527777778,141.106466666667
"54","NSAMDD0014",0,0,-33.1679388888889,141.191816666667
"55","NSAMDD0015",0,0,-33.3118222222222,141.090063888889
"56","NSAMDD0016",0,0,-33.2822888888889,141.089808333333
"57","NSAMDD0017",0,0,-33.6687638888889,145.566383333333
"58","NSAMDD0018",0,0,-33.5672333333333,145.784008333333
"59","NSAMDD0019",0,0.3,-33.1921472222222,145.699369444444
"60","NSAMDD0020",0,0,-33.2068027777778,145.708558333333
"61","NSAMDD0021",0,0,-33.2008361111111,145.717186111111
"62","NSAMDD0022",0,0,-33.2252222222222,145.760172222222
"63","NSAMDD0023",0,0,-32.6900916666667,144.649777777778
"64","NSAMDD0024",0,0,-32.6822083333333,144.627461111111
"65","NSAMDD0025",0,0.1,-31.6085916666667,144.246994444444
"66","NSAMDD0026",0,0,-31.6280111111111,144.201152777778
"67","NSAMDD0027",0,0,-31.4869194444444,144.189633333333
"68","NSAMDD0028",0,0,-31.4914388888889,144.182816666667
"69","NSAMDD0029",0,3.2,-31.3325166666667,144.366963888889
"70","NSAMDD0030",0,0.7,-31.3179277777778,144.363766666667
"71","NSAMDD0031",0,0,-32.5862694444444,145.492225
"72","NSAMDD0032",0,0,-32.7432472222222,145.420908333333
"73","NSAMUL0001",0,0,-29.2461944444444,145.009269444444
"74","NSAMUL0002",0,0,-29.21015,145.042447222222
"75","NSAMUL0003",0,0,-29.1858916666667,145.057058333333
"76","NSAMUL0004",0,0,-29.1699861111111,145.066908333333
"77","NSANAN0001",0,0,-30.2837416666667,150.152725
"78","NSANAN0002",0,0,-30.2822805555556,150.152063888889
"79","NSANET0001",0.2,0,-29.2564805555556,151.707944444444
"80","NSANSS0001",0,0,-32.7498555555556,148.347694444444
"81","NSANSS0002",0,0,-32.8352299647222,148.323979966389
"82","NSTNSS0001",0,0,-33.0839138888889,150.228138888889
"83","NSTSYB0001",0,0,-33.6733444444444,151.134961111111
"84","NSTSYB0002",0,0,-33.5947055555556,150.625916666667
"85","NSTSYB0003",0,0,-33.5266944444444,150.565833333333
"86","NSTSYB0004",0,0,-33.7050222222222,150.456416666667
"87","NSTSYB0005",0,0,-33.6479138888889,150.319194444444
"88","NSTSYB0006",0,0,-33.3110111111111,150.251194444444
"89","NSTSYB0007",0,0,-33.3293666666667,150.139719444444
"90","NSTSYB0008",1.1,0,-33.22035,150.027222222222
"91","NSTSYB0009",0,0,-33.5788305555556,150.364622222222
"92","NTAARP0001",21.7,0,-13.5572916666667,132.270091666667
"93","NTAARP0002",16.6,0,-13.5456111111111,132.294363888889
"94","NTAARP0003",5.1,0,-13.5169694444444,132.457058333333
"95","NTAARP0004",36.05,0.05,-12.6917831785377,132.986464155063
"96","NTAARP0005",6.7,0,-12.727229,132.98496
"97","NTABRT0001",0.2,0.25,-22.2836,133.247327777778
"98","NTABRT0002",1.05,1.05,-22.2836694444444,133.250630555556
"99","NTABRT0003",0.45,0.35,-22.2835805555556,133.269858333333
"100","NTABRT0004",0,3,-22.2898083333333,133.616422222222
"101","NTABRT0005",0.1,0.5,-22.2910805555556,133.612075
"102","NTABRT0006",0,5.9,-22.2890805555556,133.613255555556
"103","NTABRT0007",0,0.3,-22.2883483,133.6380666
"104","NTABRT0008",0,0,-21.9042505,133.448367
"105","NTADAC0001",0,0,-13.15835,130.777911111111
"106","NTADAC0002",34.9,0.2,-12.739225,132.340336111111
"107","NTADMR0001",0.1,0.1,-19.3530953,134.5673747
"108","NTADMR0002",0,0,-19.5750838,134.2030725
"109","NTAFIN0001",0.133333333333333,0.7,-24.1243027777778,133.467922222222
"110","NTAFIN0002",0,9.86666666666667,-24.0094222222222,133.434311111111
"111","NTAFIN0003",0.233333333333333,2.6,-24.1322027777778,133.477008333333
"112","NTAFIN0004",0,0.0666666666666667,-24.1872416666667,133.376366666667
"113","NTAFIN0005",0,0.0666666666666667,-24.1965,133.373936111111
"114","NTAFIN0006",0,1.2,-24.1775916666667,133.379402777778
"115","NTAFIN0007",0,5.4,-23.9411861111111,133.436038888889
"116","NTAFIN0008",0.0333333333333333,0.3,-23.930625,133.415494444444
"117","NTAFIN0009",0,1.13333333333333,-24.1280194444444,133.390894444444
"118","NTAFIN0010",0,0.266666666666667,-24.1332916666667,133.373297222222
"119","NTAFIN0011",0,1.13333333333333,-24.1618805555556,133.327180555556
"120","NTAFIN0012",0,16.4,-24.5692277777778,133.142097222222
"121","NTAFIN0013",0.4,1.7,-24.5415361111111,133.184572222222
"122","NTAFIN0014",0,0.9,-24.5309111111111,133.169541666667
"123","NTAFIN0015",0,1,-24.5156972222222,133.222825
"124","NTAFIN0016",0,25.4,-24.4843638888889,133.302966666667
"125","NTAFIN0017",0,0.2,-24.3774861111111,132.960286111111
"126","NTAFIN0018",0,7.7,-24.3646638888889,132.949441666667
"127","NTAFIN0019",0,0.2,-24.3581777777778,132.935747222222
"128","NTAFIN0020",0,1.2,-24.6685694444444,133.401686111111
"129","NTAFIN0021",0,7.7,-24.6720166666667,133.463872222222
"130","NTAFIN0022",0,4.2,-24.6311888888889,133.452183333333
"131","NTAFIN0023",0,0.1,-24.5597722222222,133.437363888889
"132","NTAFIN0024",0,0,-24.9175722222222,133.659202777778
"133","NTAFIN0025",0,6.2,-24.8183638888889,133.676455555556
"134","NTAFIN0026",0,20.8,-23.9072555555556,133.749905555556
"135","NTAFIN0027",0,37.5,-23.8357277777778,133.633302777778
"136","NTAFIN0028",0,3.6,-25.7699305555556,133.393080555556
"137","NTAFIN0029",0,14.9,-25.737475,133.438483333333
"138","NTAFIN0030",0,3.6,-25.9481083333333,133.781244444444
"139","NTAFIN0031",0,0.1,-25.8998916666667,133.896594444444
"140","NTAFIN0032",0,0.1,-23.9537666666667,133.92255
"141","NTAFIN0033",0,6.2,-24.0336583333333,133.971755555556
"142","NTAGFU0001",10,8.1,-18.9055055555556,137.069263888889
"143","NTAGFU0002",0.7,4.8,-18.9181194444444,137.052238888889
"144","NTAGFU0003",16.9,0,-18.6343694444444,137.124438888889
"145","NTAGFU0004",0.5,0,-18.6240555555556,137.12345
"146","NTAGFU0005",5.5,0.5,-18.6531916666667,137.121141666667
"147","NTAGFU0006",46.8,0.6,-18.7786916666667,136.847072222222
"148","NTAGFU0007",0.2,0,-18.7769138888889,136.826202777778
"149","NTAGFU0008",0.2,0.8,-18.786075,136.865338888889
"150","NTAGFU0009",10.8,0,-18.800975,136.983425
"151","NTAGFU0010",0.1,0,-17.8962777777778,137.100602777778
"152","NTAGFU0011",14.6,0.6,-17.8957055555556,137.072363888889
"153","NTAGFU0012",12.5,0,-17.8956416666667,137.018994444444
"154","NTAGFU0013",34.4,0,-17.8959083333333,137.011625
"155","NTAGFU0014",3.8,7.5,-17.7517888888889,136.9389
"156","NTAGFU0015",8.2,0,-17.7444611111111,136.94305
"157","NTAGFU0016",38.8,0.4,-17.2208861111111,137.260258333333
"158","NTAGFU0017",22.1,1.3,-17.3548972222222,137.157961111111
"159","NTAGFU0018",23,0,-17.2724861111111,137.183413888889
"160","NTAGFU0019",34.3,0,-17.2177416666667,137.236291666667
"161","NTAGFU0020",45.5,0.2,-16.724875,135.96335
"162","NTAGFU0021",12.1,0,-16.7154027777778,135.942922222222
"163","NTAGFU0022",3.7,0,-16.7310138888889,135.963408333333
"164","NTAGFU0023",2.7,0,-16.8238944444444,135.830038888889
"165","NTAGFU0024",6.5,0,-16.8260027777778,135.893211111111
"166","NTAGFU0025",48.1,0,-16.8252416666667,135.855180555556
"167","NTAGFU0026",43.6,0,-15.8091222222222,135.406069444444
"168","NTAGFU0027",25,0,-15.679275,135.460613888889
"169","NTAGFU0028",13.1,0,-15.6292388888889,135.459755555556
"170","NTAGFU0029",45.5,11.9,-15.5381,135.409022222222
"171","NTAGFU0030",26.5,0,-14.1348972222222,134.377833333333
"172","NTAGFU0031",23.4,0,-14.1258555555556,134.386677777778
"173","NTAGFU0032",25.2,0.4,-14.150625,134.373602777778
"174","NTAGFU0033",3,0.1,-14.1769611111111,134.355480555556
"175","NTAGFU0034",5.3,7.4,-14.062225,134.421583333333
"176","NTAGFU0035",17.8,0.1,-14.0478638888889,134.420675
"177","NTAGFU0036",14.8,0,-14.674575,133.862983333333
"178","NTAGFU0037",16.8,28,-14.673675,133.892355555556
"179","NTAGFU0038",20.8,0,-14.689975,133.893744444444
"180","NTAGFU0039",59.6,0.3,-14.6768,133.882252777778
"181","NTAGFU0040",32,0.2,-14.6737055555556,133.844775
"182","NTAGFU0041",39.3,0,-14.7799944444444,132.891461111111
"183","NTAMAC0001",0,5.95,-23.9659083333333,133.3723
"184","NTAMAC0002",0.4,0,-23.9616444444444,133.403508333333
"185","NTAMAC0003",0,0.1,-23.9590944444444,133.408488888889
"186","NTAMGD0001",0.1,10.3,-20.0230222222222,137.327141666667
"187","NTAMGD0002",6.5,9.6,-20.0246361111111,137.3258
"188","NTAMGD0003",7.7,0.7,-17.3582083333333,133.438933333333
"189","NTAMGD0004",15.1,0.1,-17.5213222222222,133.523488888889
"190","NTAMGD0005",10,0,-17.4558472222222,133.483566666667
"191","NTAPCK0001",36.1,0,-12.6757805555556,132.818102777778
"192","NTAPCK0002",25.8,0.2,-12.820425,132.793452777778
"193","NTAPCK0003",33.6,0,-12.625497,132.853924
"194","NTAPCK0004",50,0.6,-12.6238344960457,132.860715379604
"195","NTAPCK0005",2.9,0,-12.5733706,132.8388484
"196","NTAPCK0006",38.35,0,-12.6499321457404,132.865601076437
"197","NTAPCK0007",48.35,0,-12.6936751052381,132.854274250021
"198","NTAPCK1009",45,0,-12.671938,132.942318
"199","NTAPCK1010",25.8,0,-12.676906,132.964769
"200","NTAPCK1011",25.6,0,-12.701198,132.929794
"201","NTAPCK1012",32.5,0,-12.702209,132.932917
"202","NTAPCK2013",34.4,0.1,-12.706168,132.927351
"203","NTAPCK2014",42.8,0.1,-12.699107,132.930501
"204","NTASSD0001",0,0,-25.3097916666667,136.307027777778
"205","NTASSD0003",0,4,-25.2994444444444,136.298875
"206","NTASSD0004",0,0,-25.2532666666667,136.274811111111
"207","NTASSD0005",0,3.3,-25.7541111111111,136.546952777778
"208","NTASSD0006",0,0,-25.7534361111111,136.547825
"209","NTASSD0007",0,7.7,-25.7835555555556,136.564875
"210","NTASSD0008",0,0,-25.7783361111111,136.562461111111
"211","NTASSD0009",0,2.1,-24.7817328,136.0114582
"212","NTASSD0010",0,5.5,-24.792826,136.021357
"213","NTASSD0011",0,1.1,-25.4805472222222,135.115113888889
"214","NTASSD0012",0,3.8,-25.5032166666667,135.115711111111
"215","NTASSD0013",0,0.1,-25.5240472222222,135.139505555556
"216","NTASSD0014",0,0,-25.1378694444444,135.3707
"217","NTASSD0015",0,0.1,-25.1239333333333,135.616791666667
"218","NTASSD0016",0,0.4,-25.1101138888889,135.507997222222
"219","NTASSD0017",0,1,-25.4765888888889,135.258422222222
"220","NTASSD0018",0,2.3,-25.1279333333333,135.522638888889
"221","NTASSD0019",0,0.1,-25.0944083333333,135.640791666667
"222","NTASTU0001",15.7,0,-15.8768583333333,133.411919444444
"223","NTASTU0002",34.6,0,-15.7678388888889,133.378233333333
"224","NTASTU0003",54.7,0,-15.70665,133.327522222222
"225","NTASTU0004",26.5,0,-14.8638388888889,132.991402777778
"226","NTASTU0005",0.3,0,-14.9086444444444,133.047788888889
"227","NTATAN0001",0,0,-20.6995098,134.2054273
"228","NTATAN0002",0.2,0.1,-20.7228814,134.2003669
"229","NTATAN0003",0,0,-20.9215447,133.8713681
"230","NTATAN0004",0.4,0.6,-20.9217778,133.886123
"231","NTTDAB0001",12.6,0,-13.962875,131.673997222222
"232","NTTDAC0001",41.3,0,-13.1398326944444,130.795687083333
"233","NTTDMR0001",2.9,0.5,-18.0800416666667,133.684544444444
"234","NTTDMR0002",1.7,0.3,-18.0724972222222,133.635022222222
"235","NTTDMR0003",6.2,3.6,-18.0720444444444,133.666930555556
"236","NTTMGD0001",6.9,0.9,-17.2829694444444,133.423894444444
"237","NTTPCK0001",32.4,0,-12.8719611111111,131.126994444444
"238","NTTSTU0001",16.1,2.9,-16.6302416666667,133.271158333333
"239","QDABBN0001",0,0,-23.8590080555556,148.158248055556
"240","QDABBN0002",0,1.8,-23.8698788888889,148.149388888889
"241","QDABBS0001",1.6,0.1,-24.800125,147.769381944444
"242","QDABBS0002",0.7,0.1,-24.8323980555556,147.641971944444
"243","QDABBS0003",0,0,-24.8215838888889,147.741085
"244","QDABBS0004",13.3,1.2,-24.7841438888889,147.759626944444
"245","QDABBS0005",15.1,2.3,-24.7685211111111,147.766605
"246","QDABBS0006",22.3,2.8,-27.15261,151.233411111111
"247","QDABBS0007",1.8,8.8,-27.3291811111111,151.24217
"248","QDABBS0008",1.8,6.7,-27.3308711111111,151.249343888889
"249","QDABBS0009",0,8.3,-27.3856530555556,151.6128
"250","QDABBS0010",0,3.3,-27.6579567354229,151.522344050851
"251","QDACHC0001",0,0,-24.1046,143.257294444444
"252","QDACHC0002",0,0.1,-24.1259555555556,143.169161111111
"253","QDACHC0003",2.4,0.2,-24.1163777777778,143.164894444444
"254","QDACHC0004",0.1,7.8,-23.7187722222222,141.091861111111
"255","QDACHC0005",0.5,5.9,-23.721675,141.072305555556
"256","QDACHC0006",0.2,8.6,-23.7694527777778,141.133497222222
"257","QDACHC0007",0,0,-23.8356916666667,141.029094444444
"258","QDACYP0001",0,0,-15.2782333333333,145.252838888889
"259","QDACYP0002",0.2,0.1,-15.2845388888889,145.191505555556
"260","QDACYP0003",0.7,0,-15.2767416666667,145.286319444444
"261","QDACYP0004",24.5,0.2,-14.0928361111111,142.977058333333
"262","QDACYP0005",20.6,17.1,-14.1426222222222,142.976261111111
"263","QDACYP0006",48,0,-14.2266805555556,142.932519444444
"264","QDACYP0007",36.5,1,-14.2265944444444,142.985219444444
"265","QDACYP0008",7.6,0.4,-14.2982472222222,143.093208333333
"266","QDACYP0009",48.8,0.8,-14.0673,143.208319444444
"267","QDACYP0010",38.6,5.2,-13.0918611111111,142.772755555556
"268","QDACYP0011",36.4,16,-13.206975,142.739772222222
"269","QDACYP0012",0,0,-13.3202777777778,142.5913
"270","QDACYP0013",61.9,1.2,-12.2021333333333,142.568680555556
"271","QDACYP0014",15.1,11.6,-12.19935,142.549897222222
"272","QDACYP0015",47.2,2,-12.2193638888889,142.538511111111
"273","QDACYP0016",5.1,0,-11.4971583333333,142.430338888889
"274","QDACYP0017",16.1,0,-11.5433055555556,142.439355555556
"275","QDACYP0018",5.5,0,-11.0536333333333,142.366755555556
"276","QDACYP0019",0.1,0,-10.7275416666667,142.490316666667
"277","QDACYP0020",0,0.4,-10.9361666666667,142.466988888889
"278","QDACYP0021",16.3,0,-10.937449,142.459743
"279","QDACYP0022",5.6,1.6,-10.7881638888889,142.438255555556
"280","QDACYP0023",58.9,0,-12.3322444444444,142.231052777778
"281","QDACYP0024",40,0.1,-12.368075,142.204272222222
"282","QDADEU0001",35.4,6.1,-20.5462170581868,146.129021077344
"283","QDAEIU0001",54.6,0,-19.5387138888889,144.210019444444
"284","QDAEIU0002",35.8,1.9,-19.5525,144.22415
"285","QDAEIU0003",45.8,0,-19.4099083333333,144.169586111111
"286","QDAEIU0004",74.6,0.8,-19.4465805555556,144.161472222222
"287","QDAEIU0005",0,0,-18.4549388888889,143.899397222222
"288","QDAEIU0006",21.2,0,-18.4678472222222,143.891697222222
"289","QDAEIU0007",18.4,0,-18.4678416666667,143.890752777778
"290","QDAEIU0008",17.9,10.2,-19.8878663419573,146.189186817774
"291","QDAEIU0009",52,10.1,-19.887857715793,146.187218701618
"292","QDAEIU0010",22.6,1.8,-19.8933742729914,146.182391024598
"293","QDAGUP0001",0.2,0,-20.1087638888889,143.724355555556
"294","QDAGUP0002",3.3,0.5,-20.0309972222222,143.762527777778
"295","QDAGUP0003",1.8,0.1,-20.3992777777778,143.681688888889
"296","QDAGUP0004",0,0.5,-20.0137333333333,142.477888888889
"297","QDAGUP0005",0,0,-19.9913722222222,142.46505
"298","QDAGUP0006",0,0,-19.95565,142.402102777778
"299","QDAGUP0007",3.2,1.7,-20.084325,141.817025
"300","QDAGUP0008",0.2,1,-19.8016944444444,142.021525
"301","QDAGUP0009",9.4,9.8,-19.8458694444444,141.960686111111
"302","QDAGUP0010",0.4,0.2,-19.9148527777778,141.834283333333
"303","QDAGUP0011",3.7,1,-19.9398194444444,141.827775
"304","QDAGUP0012",8.8,1.8,-19.5818527777778,140.311727777778
"305","QDAGUP0013",0.2,20,-19.297825,140.16375
"306","QDAGUP0014",25.2,12.4,-18.2388388888889,140.787038888889
"307","QDAGUP0015",28.8,10.2,-18.2570472222222,140.732569444444
"308","QDAGUP0016",7.5,11.1,-18.2488555555556,140.748266666667
"309","QDAGUP0017",0,0,-17.6413777777778,141.086263888889
"310","QDAGUP0018",3.5,9.1,-17.6605388888889,141.105402777778
"311","QDAGUP0019",0,15.6,-17.6216583333333,141.073663888889
"312","QDAGUP0020",0,33.7,-17.0135583333333,140.960225
"313","QDAGUP0021",0,1.9,-17.0021916666667,140.993702777778
"314","QDAGUP0022",0,0.9,-17.0222388888889,141.055480555556
"315","QDAGUP0023",5.5,1.4,-17.0233861111111,141.037302777778
"316","QDAGUP0024",0,10.1,-17.4635388888889,140.847533333333
"317","QDAGUP0025",24.9,0,-17.4580194444444,140.840233333333
"318","QDAGUP0026",31,4.7,-17.4704861111111,140.847705555556
"319","QDAGUP0027",0,0.1,-17.3757277777778,141.175841666667
"320","QDAGUP0028",0,0.3,-17.2950416666667,141.178916666667
"321","QDAGUP0029",6.8,0,-16.8471638888889,143.158461111111
"322","QDAGUP0030",14.6,0,-16.8480416666667,143.158466666667
"323","QDAGUP0031",8.1,0.9,-16.8480583333333,143.157519444444
"324","QDAMGD0001",6.6,17.7,-23.5207694444444,144.225891666667
"325","QDAMGD0002",0.1,4,-23.5094777777778,144.226038888889
"326","QDAMGD0003",7.5,13.7,-23.5308277777778,144.303463888889
"327","QDAMGD0004",0.7,9.3,-23.5140738333333,144.341707355556
"328","QDAMGD0005",0.1,3.4,-23.5177361111111,144.333286111111
"329","QDAMGD0006",0.9,6.9,-23.6647083333333,144.041794444444
"330","QDAMGD0007",0.7,20.3,-23.6581722222222,144.094941666667
"331","QDAMGD0008",0.1,15.9,-23.6460138888889,144.074980555556
"332","QDAMGD0009",0,0.7,-24.0941638888889,143.3365
"333","QDAMGD0010",0,0.3,-24.0912138888889,143.353413888889
"334","QDAMGD0011",0,13.4,-24.0806305555556,143.315183333333
"335","QDAMGD0012",0,0,-24.8218222222222,144.823608333333
"336","QDAMGD0013",0.1,7.6,-22.5161777777778,143.050230555556
"337","QDAMGD0014",0.5,7.3,-22.50515,143.025197222222
"338","QDAMGD0015",0,0,-22.5629305555556,143.058172222222
"339","QDAMGD0016",0,0,-22.5089638888889,143.139880555556
"340","QDAMGD0017",0.1,17,-22.1149666666667,143.299425
"341","QDAMGD0018",0.1,28.6,-22.1181777777778,143.337166666667
"342","QDAMGD0019",0,17.2,-22.0701222222222,142.231813888889
"343","QDAMGD0020",0.4,0,-22.0636027777778,142.223008333333
"344","QDAMGD0021",1.2,9.4,-22.3808,141.299880555556
"345","QDAMGD0022",1.1,9.3,-22.3687444444444,141.287280555556
"346","QDAMGD0023",25.1,4.3,-23.6872416666667,140.986636111111
"347","QDAMGD0024",0,5.2,-23.6464194444444,141.003738888889
"348","QDAMGD0025",0.5,0,-20.3379472222222,143.872438888889
"349","QDAMGD0026",0,0.2,-20.3961916666667,143.860777777778
"350","QDAMGD0027",5.5,17.9,-20.0695166666667,138.174561111111
"351","QDAMGD0028",11.4,10.7,-19.9491388888889,138.098630555556
"352","QDAMII0001",1.1,0.2,-19.50785,140.221358333333
"353","QDAMII0002",16.7,0.1,-20.0078944444444,138.160591666667
"354","QDAMUL0001",0,0.3,-24.7336472222222,144.683438888889
"355","QDAMUL0002",0,0,-24.7381527777778,144.701591666667
"356","QDAMUL0003",0,0.5,-24.7551222222222,144.708322222222
"357","QDASEQ0001",20.1,0.1,-27.388974,152.880106
"358","QDASEQ0002",75.6,0,-26.9026219444444,151.632718888889
"359","QDASEQ0003",8.7,0,-27.391123,152.876739
"360","QDASEQ0004",10.7,0,-27.390056,152.875777
"361","QDASSD0001",0,0,-23.7640694444444,138.476516666667
"362","QDASSD0002",0,1.3,-23.8277194444444,138.389702777778
"363","QDASSD0003",0,4,-23.8315722222222,138.407416666667
"364","QDASSD0004",0,0.133333333333333,-23.680125,138.433775
"365","QDASSD0005",0,0.166666666666667,-23.6944388888889,138.440997222222
"366","QDASSD0006",0,0.266666666666667,-23.8795416666667,138.098419444444
"367","QDASSD0007",10,0,-23.8804888888889,138.096425
"368","QDASSD0008",0,0,-23.9541527777778,138.136986111111
"369","QDASSD0009",27.1,0.0333333333333333,-23.9673083333333,138.140975
"370","QDASSD0010",8.4,0.6,-23.731025,138.000386111111
"371","QDASSD0011",0,2.63333333333333,-23.2366333333333,138.226080555556
"372","QDASSD0012",0,3.36666666666667,-23.3444972222222,138.252244444444
"373","QDASSD0013",0,0.233333333333333,-23.2941888888889,138.226025
"374","QDASSD0014",0.233333333333333,2.96666666666667,-23.1757861111111,138.167288888889
"375","QDASSD0015",0,2,-23.188075,138.193094444444
"376","SAABHC0001",0,0,-31.9228805555556,140.465169444444
"377","SAABHC0002",0,0,-31.9833694444444,140.502377777778
"378","SAABHC0003",0,0,-31.9426555555556,140.546602777778
"379","SAABHC0004",0,0,-32.0189972222222,140.526855555556
"380","SAABHC0005",0,0,-31.9732123531821,140.583642862064
"381","SAABHC0006",0,0,-31.9046965345642,140.680164670566
"382","SAAEYB0001",0,0,-34.4568,137.364630555556
"383","SAAEYB0002",0,0,-35.1010595017196,137.395733562074
"384","SAAEYB0003",0,0,-35.1726705844467,137.165134496676
"385","SAAEYB0004",0,0,-35.1536276675088,137.078354169249
"386","SAAEYB0005",0,0,-35.113453,137.017442
"387","SAAEYB0006",0,0,-35.132789,137.095945
"388","SAAEYB0007",0,0,-35.2704748,136.8777863
"389","SAAEYB0008",0,0,-35.0493487203366,137.213925289641
"390","SAAEYB0009",0,0,-35.2553630961802,136.848181144853
"391","SAAEYB0010",0,0,-35.246255,136.926715
"392","SAAEYB0011",0,0,-35.156909,137.046928
"393","SAAEYB0012",0,0,-35.1725933091166,136.946590517549
"394","SAAEYB0013",0,0,-35.1897168287742,137.096902886899
"395","SAAEYB0021",0,0,-33.8388221207133,136.129233067226
"396","SAAEYB0022",0,0,-33.8352958348223,136.018886214555
"397","SAAEYB0023",0,0,-33.8109867050971,136.147319838707
"398","SAAEYB0024",0,0,-33.7616102915026,136.067405126058
"399","SAAEYB0025",0,0,-34.6620865346686,135.37095427325
"400","SAAEYB0026",0,0,-34.6702565665773,135.392463514687
"401","SAAEYB0027",0,0,-34.6799485006395,135.391065811798
"402","SAAEYB0028",0,0,-34.688537987332,135.387597043682
"403","SAAEYB0029",0,0,-33.265793866005,136.937198090851
"404","SAAEYB0030",0,0,-33.1909190686092,136.823457430335
"405","SAAEYB0031",0,0,-33.2081081678862,136.90071180528
"406","SAAEYB0032",0,0,-33.2023505004681,136.849443665604
"407","SAAEYB0033",0,0,-33.2233481080784,136.924063302282
"408","SAAFLB0003",0,0,-34.97365,138.646998
"409","SAAFLB0004",0,0,-35.0703472222222,138.5786
"410","SAAFLB0005",0,0,-33.0267694444444,138.103255555556
"411","SAAFLB0006",0,0,-33.0857361111111,138.162691666667
"412","SAAFLB0007",0,0,-31.8236888888889,138.299702777778
"413","SAAFLB0008",0,0,-31.8377861111111,138.351191666667
"414","SAAFLB0030",0.05,7.3,-29.9784833333333,138.015119444444
"415","SAAFLB0031",0,1.4,-29.971575,137.954566666667
"416","SAAGAW0001",0,0,-32.9832472222222,137.197208333333
"417","SAAGAW0002",0,0,-32.9801194444444,137.244272222222
"418","SAAGAW0003",0,0,-32.97155,137.248361111111
"419","SAAGAW0004",0,1.4,-30.87168877,135.4403808
"420","SAAGAW0005",0,0,-30.8032510114135,135.390123508285
"421","SAAGAW0006",0,2.9,-30.533632,135.547127
"422","SAAGAW0007",0,0,-30.5473675778894,135.526835008113
"423","SAAGAW0008",0,1.8,-30.6796833723201,135.538546009711
"424","SAAGVD0001",0,8.6,-29.3453361111111,130.446161111111
"425","SAAGVD0002",0,11.6,-29.3464916666667,130.450477777778
"426","SAAGVD0003",0,33.3,-29.3216888888889,130.446161111111
