"","site_location_name","Andropogoneae","Chloridoideae","latitude","longitude"
"1","NSABBS0001",0,0,-31.281189,148.976552
"2","NSABBS0002",0,0,-31.2794527777778,148.992461111111
"3","NSABBS0003",0,0,-30.4546472222222,149.226827777778
"4","NSABBS0004",0,0,-30.4609638888889,149.246894444444
"5","NSABBS0005",0,0,-30.4987833333333,149.279986111111
"6","NSABBS0006",0,0,-30.5102722222222,149.267288888889
"7","NSABHC0001",0,2.9,-31.8933505555556,141.433754444444
"8","NSABHC0002",0,5.8,-31.9270269444444,141.432960833333
"9","NSABHC0003",0,0.4,-31.8287208333333,141.434033611111
"10","NSABHC0004",0,9.5,-31.8472788888889,141.9480675
"11","NSABHC0005",2.2,35.8,-31.8449577777778,141.940497777778
"12","NSABHC0006",2.3,26.5,-31.8842083333333,141.782308888889
"13","NSABHC0007",0,13.3,-31.9011336111111,141.764431944444
"14","NSABHC0008",0,5.5,-31.8859216666667,141.52881
"15","NSABHC0009",1,6.25,-31.0802347222222,141.697368611111
"16","NSABHC0010",0,3.2,-31.0767180555556,141.700309722222
"17","NSABHC0011",2,10.2,-31.0253161111111,141.6780775
"18","NSABHC0012",1,2.4,-31.0795666666667,141.741110277778
"19","NSABHC0013",0,1.1,-31.3239188888889,141.600803055556
"20","NSABHC0014",1.8,5.8,-31.3311533333333,141.5914625
"21","NSABHC0015",3.2,22.8,-31.83394,141.05925
"22","NSABHC0016",0,0.3,-31.8340347222222,141.0614425
"23","NSABHC0017",0,16.5,-31.8433097222222,141.192628888889
"24","NSABHC0018",0,12.9,-32.249087,142.0537
"25","NSABHC0019",0,21.2,-32.514855,141.549646
"26","NSABHC0020",0.1,16.1,-32.264805,141.500681
"27","NSABHC0021",0,10.5,-32.120072,141.868274
"28","NSABHC0022",0,0.1,-30.666082,142.472433
"29","NSABHC0023",0,3,-31.34395,142.136552777778
"30","NSABHC0024",0,7,-31.3467916666667,142.148516666667
"31","NSABHC0025",0,14.9,-32.420531,141.535447
"32","NSABHC0026",0,2.1,-31.778032,142.268019
"33","NSABHC0028",0,0.1,-31.0659777777778,141.717325
"34","NSABHC0029",0,0.1,-31.0621666666667,141.669402777778
"35","NSACHC0001",0,0,-29.4453861111111,142.264755555556
"36","NSACHC0002",0,0.1,-29.3067333333333,142.180561111111
"37","NSACHC0003",0,0,-29.2130861111111,141.895477777778
"38","NSACHC0004",0,0.6,-29.06618333,141.8645194
"39","NSACOP0001",0,0,-32.5910611111111,145.540680555556
"40","NSACOP0002",0,0,-32.6045194444444,145.665288888889
"41","NSAMDD0001",0,0,-34.1839194444444,142.560225
"42","NSAMDD0002",0,0,-34.2048166666667,142.602588888889
"43","NSAMDD0003",0,0,-34.2075416666667,142.604063888889
"44","NSAMDD0004",0,0,-34.1653666666667,142.5594
"45","NSAMDD0005",0,0.1,-33.6561944444444,143.203866666667
