"","site_unique","Andropogoneae","Chloridoideae","non_applicable/no_tribe","latitude","longitude"
"35","NSABHC0028-58027",0,0.1,22,-31.0659777777778,141.717325
"36","NSABHC0029-58028",0,0.1,95.4,-31.0621666666667,141.669402777778
"37","NSACHC0001-58574",0,0,6.4,-29.4453861111111,142.264755555556
"38","NSACHC0002-58558",0,0.1,27.8,-29.3067333333333,142.180561111111
"39","NSACHC0003-58575",0,0,25,-29.2130861111111,141.895477777778
"40","NSACHC0004-58576",0,0.6,25.2,-29.06618333,141.8645194
"41","NSACOP0001-58551",0,0,15.5,-32.5910611111111,145.540680555556
"42","NSACOP0002-58552",0,0,36.5,-32.6045194444444,145.665288888889
"43","NSAMDD0001-56965",0,0,50.9,-34.1839194444444,142.560225
"44","NSAMDD0002-56952",0,0,74.2,-34.2048166666667,142.602588888889
"45","NSAMDD0003-56968",0,0,69.6,-34.2075416666667,142.604063888889
"46","NSAMDD0004-56953",0,0,44.9,-34.1653666666667,142.5594
"47","NSAMDD0005-56969",0,0.1,45.3,-33.6561944444444,143.203866666667
"48","NSAMDD0006-56954",0,0,45.3,-33.6643194444444,143.166536111111
"49","NSAMDD0007-56970",0,0,51.9,-33.3799805555556,141.160811111111
"50","NSAMDD0008-56955",0,0,36.3,-33.4309611111111,141.072030555556
"51","NSAMDD0009-56971",0,0,44.6,-33.4404944444444,141.065522222222
"52","NSAMDD0010-56956",0,0,57.1,-33.4076027777778,141.293472222222
"53","NSAMDD0011-56981",0,0,31.6,-33.4388194444444,141.012675
"54","NSAMDD0012-56957",0,0,7.5,-33.2631611111111,141.266244444444
"55","NSAMDD0013-56982",0,0,34.8,-33.2376527777778,141.106466666667
"56","NSAMDD0014-56963",0,0,66.4,-33.1679388888889,141.191816666667
"57","NSAMDD0015-57636",0,0,41.5,-33.3118222222222,141.090063888889
"58","NSAMDD0016-56973",0,0,39,-33.2822888888889,141.089808333333
"59","NSAMDD0017-57080",0,0,45.2,-33.6687638888889,145.566383333333
"60","NSAMDD0018-56976",0,0,65.6,-33.5672333333333,145.784008333333
"61","NSAMDD0019-57081",0,0.3,36.5,-33.1921472222222,145.699369444444
"62","NSAMDD0020-56984",0,0,46.5,-33.2068027777778,145.708558333333
"63","NSAMDD0021-57082",0,0,38.2,-33.2008361111111,145.717186111111
"64","NSAMDD0022-56985",0,0,78.4,-33.2252222222222,145.760172222222
"65","NSAMDD0023-57083",0,0,49.2,-32.6900916666667,144.649777777778
"66","NSAMDD0024-56986",0,0,40.9,-32.6822083333333,144.627461111111
"67","NSAMDD0025-57084",0,0.1,35.8,-31.6085916666667,144.246994444444
"68","NSAMDD0026-56987",0,0,24.4,-31.6280111111111,144.201152777778
"69","NSAMDD0027-57087",0,0,51.1,-31.4869194444444,144.189633333333
"70","NSAMDD0028-56988",0,0,29.7,-31.4914388888889,144.182816666667
"71","NSAMDD0029-57088",0,3.2,26.9,-31.3325166666667,144.366963888889
"72","NSAMDD0030-56989",0,0.7,36.4,-31.3179277777778,144.363766666667
"73","NSAMDD0031-58572",0,0,36.7,-32.5862694444444,145.492225
"74","NSAMDD0032-58573",0,0,45.7,-32.7432472222222,145.420908333333
"75","NSAMUL0001-58549",0,0,24.8,-29.2461944444444,145.009269444444
"76","NSAMUL0002-58559",0,0,41.5,-29.21015,145.042447222222
"77","NSAMUL0003-58550",0,0,30.5,-29.1858916666667,145.057058333333
"78","NSAMUL0004-58560",0,0,45.2,-29.1699861111111,145.066908333333
"79","NSANAN0001-58583",0,0,122.2,-30.2837416666667,150.152725
"80","NSANAN0002-58561",0,0,60.6,-30.2822805555556,150.152063888889
"81","NSANET0001-58584",0.2,0,88.4,-29.2564805555556,151.707944444444
"82","NSANSS0001-58579",0,0,113.1,-32.7498555555556,148.347694444444
"83","NSANSS0002-58562",0,0,80.1,-32.8352299647222,148.323979966389
"84","NSTNSS0001-57641",0,0,77,-33.0839138888889,150.228138888889
"85","NSTSYB0001-58122",0,0,161.4,-33.6733444444444,151.134961111111
"86","NSTSYB0002-58008",0,0,189.3,-33.5947055555556,150.625916666667
"87","NSTSYB0003-58414",0,0,166,-33.5266944444444,150.565833333333
"88","NSTSYB0004-58493",0,0,190.2,-33.7050222222222,150.456416666667
"89","NSTSYB0005-58501",0,0,149,-33.6479138888889,150.319194444444
"90","NSTSYB0006-58502",0,0,126,-33.3110111111111,150.251194444444
"91","NSTSYB0007-58496",0,0,147,-33.3293666666667,150.139719444444
"92","NSTSYB0008-58503",1.1,0,106.6,-33.22035,150.027222222222
"93","NSTSYB0009-57649",0,0,138.3,-33.5788305555556,150.364622222222
"94","NTAARP0001-58422",21.7,0,86.7,-13.5572916666667,132.270091666667
"95","NTAARP0002-58423",16.6,0,55.1,-13.5456111111111,132.294363888889
"96","NTAARP0003-58424",5.1,0,32.6,-13.5169694444444,132.457058333333
"97","NTAARP0004-58918",17.6,0,56.8,-12.6917831785377,132.986464155063
"98","NTAARP0004-58932",54.5,0.1,54.1,-12.6917831785377,132.986464155063
"99","NTAARP0005-58919",2.6,0,115.2,-12.727229,132.98496
"100","NTAARP0005-58933",10.8,0,100.6,-12.727229,132.98496
"101","NTABRT0001-53616",0,0,63,-22.2836,133.247327777778
"102","NTABRT0001-58861",0.4,0.5,63.9,-22.2836,133.247327777778
"103","NTABRT0002-53617",0,0,76.1,-22.2836694444444,133.250630555556
"104","NTABRT0002-58862",2.1,2.1,69.3,-22.2836694444444,133.250630555556
"105","NTABRT0003-53618",0,0,65,-22.2835805555556,133.269858333333
"106","NTABRT0003-58872",0.9,0.7,69.7,-22.2835805555556,133.269858333333
"107","NTABRT0004-53619",0,0.2,53.7,-22.2898083333333,133.616422222222
"108","NTABRT0004-58873",0,5.8,49.8,-22.2898083333333,133.616422222222
"109","NTABRT0005-53620",0.2,0,46.2,-22.2910805555556,133.612075
"110","NTABRT0005-58863",0,1,33.8,-22.2910805555556,133.612075
"111","NTABRT0006-53621",0,0.3,53,-22.2890805555556,133.613255555556
"112","NTABRT0006-58864",0,11.5,69.5,-22.2890805555556,133.613255555556
"113","NTABRT0007-58865",0,0.3,39.6,-22.2883483,133.6380666
"114","NTABRT0008-58866",0,0,29.1,-21.9042505,133.448367
"115","NTADAC0001-53518",0,0,170.7,-13.15835,130.777911111111
"116","NTADAC0002-58039",34.9,0.2,64.4,-12.739225,132.340336111111
