time,x,y,bs,pv,npv,ue,spatial_ref
2015-01-05 01:12:04.653018,143985.0,-1829055.0,,,,,3577
2015-01-13 01:10:36.211336,143985.0,-1829055.0,,,,,3577
2015-01-14 01:05:53.303787,143985.0,-1829055.0,,,,,3577
2015-01-21 01:12:00.329900,143985.0,-1829055.0,,,,,3577
2015-01-22 01:04:24.803632,143985.0,-1829055.0,13.0,51.0,35.0,15.0,3577
2015-01-29 01:10:40.883629,143985.0,-1829055.0,,,,,3577
2015-01-30 01:05:48.391687,143985.0,-1829055.0,12.0,50.0,36.0,12.0,3577
2015-02-06 01:11:57.023703,143985.0,-1829055.0,15.0,53.0,30.0,12.0,3577
2015-02-07 01:04:32.913901,143985.0,-1829055.0,,,,,3577
2015-02-14 01:10:41.867657,143985.0,-1829055.0,,,,,3577
2015-02-15 01:05:39.369727,143985.0,-1829055.0,14.0,61.0,22.0,12.0,3577
2015-02-22 01:11:50.540920,143985.0,-1829055.0,,,,,3577
2015-02-23 01:04:39.451954,143985.0,-1829055.0,,,,,3577
2015-03-02 01:10:54.059830,143985.0,-1829055.0,,,,,3577
2015-03-10 01:11:41.107517,143985.0,-1829055.0,10.0,58.0,30.0,13.0,3577
2015-03-11 01:04:44.514909,143985.0,-1829055.0,5.0,54.0,39.0,13.0,3577
2015-03-19 01:05:25.981417,143985.0,-1829055.0,9.0,43.0,46.0,11.0,3577
2015-03-26 01:11:32.654997,143985.0,-1829055.0,,,,,3577
2015-03-27 01:04:54.353692,143985.0,-1829055.0,10.0,35.0,54.0,12.0,3577
2015-04-03 01:11:07.666366,143985.0,-1829055.0,,,,,3577
2015-04-04 01:05:13.617724,143985.0,-1829055.0,13.0,30.0,56.0,11.0,3577
2015-04-11 01:11:24.440580,143985.0,-1829055.0,17.0,26.0,56.0,10.0,3577
2015-04-12 01:05:02.964980,143985.0,-1829055.0,17.0,25.0,57.0,10.0,3577
2015-04-19 01:11:15.430302,143985.0,-1829055.0,14.0,20.0,65.0,9.0,3577
2015-04-20 01:05:13.408186,143985.0,-1829055.0,15.0,23.0,61.0,10.0,3577
2015-04-27 01:11:19.711519,143985.0,-1829055.0,18.0,21.0,59.0,10.0,3577
2015-04-28 01:05:08.408430,143985.0,-1829055.0,16.0,16.0,67.0,9.0,3577
2015-05-05 01:11:21.569063,143985.0,-1829055.0,,,,,3577
2015-05-06 01:04:59.284264,143985.0,-1829055.0,18.0,18.0,64.0,9.0,3577
2015-05-13 01:11:03.654083,143985.0,-1829055.0,17.0,16.0,66.0,9.0,3577
2015-05-14 01:05:17.023170,143985.0,-1829055.0,13.0,8.0,77.0,9.0,3577
2015-05-21 01:11:29.464675,143985.0,-1829055.0,9.0,7.0,82.0,9.0,3577
2015-05-22 01:04:54.349603,143985.0,-1829055.0,16.0,15.0,68.0,8.0,3577
2015-05-29 01:11:06.332981,143985.0,-1829055.0,18.0,14.0,67.0,9.0,3577
2015-05-30 01:05:20.806330,143985.0,-1829055.0,1.0,10.0,88.0,9.0,3577
2015-06-06 01:11:35.762373,143985.0,-1829055.0,,,,,3577
2015-06-07 01:05:03.385856,143985.0,-1829055.0,20.0,13.0,66.0,9.0,3577
2015-06-14 01:11:18.621946,143985.0,-1829055.0,14.0,13.0,71.0,7.0,3577
2015-06-15 01:05:27.775289,143985.0,-1829055.0,12.0,3.0,84.0,12.0,3577
2015-06-22 01:11:38.491885,143985.0,-1829055.0,13.0,11.0,75.0,9.0,3577
2015-06-23 01:05:10.344316,143985.0,-1829055.0,22.0,10.0,67.0,8.0,3577
2015-06-30 01:11:25.275153,143985.0,-1829055.0,16.0,10.0,72.0,9.0,3577
2015-07-01 01:05:29.493440,143985.0,-1829055.0,,,,,3577
2015-07-08 01:11:44.041996,143985.0,-1829055.0,18.0,7.0,74.0,9.0,3577
2015-07-09 01:05:20.646035,143985.0,-1829055.0,16.0,8.0,74.0,8.0,3577
2015-07-16 01:11:35.128803,143985.0,-1829055.0,18.0,9.0,72.0,8.0,3577
2015-07-17 01:05:35.725561,143985.0,-1829055.0,,,,,3577
2015-07-24 01:11:47.125076,143985.0,-1829055.0,20.0,6.0,73.0,8.0,3577
2015-07-25 01:05:27.108816,143985.0,-1829055.0,13.0,8.0,78.0,8.0,3577
2015-08-01 01:11:39.101592,143985.0,-1829055.0,18.0,8.0,73.0,8.0,3577
2015-08-02 01:05:38.266207,143985.0,-1829055.0,,,,,3577
2015-08-09 01:11:51.316062,143985.0,-1829055.0,,,,,3577
2015-08-10 01:05:30.690827,143985.0,-1829055.0,15.0,8.0,75.0,8.0,3577
2015-08-17 01:11:45.519118,143985.0,-1829055.0,19.0,9.0,71.0,8.0,3577
2015-08-18 01:05:41.927153,143985.0,-1829055.0,,,,,3577
2015-08-25 01:11:52.802032,143985.0,-1829055.0,9.0,4.0,85.0,8.0,3577
2015-08-26 01:05:38.332375,143985.0,-1829055.0,12.0,4.0,83.0,21.0,3577
2015-09-02 01:11:50.648814,143985.0,-1829055.0,12.0,10.0,76.0,8.0,3577
2015-09-03 01:05:41.717839,143985.0,-1829055.0,,,,,3577
2015-09-10 01:11:55.882842,143985.0,-1829055.0,16.0,6.0,77.0,8.0,3577
2015-09-11 01:05:44.838208,143985.0,-1829055.0,16.0,9.0,74.0,7.0,3577
2015-09-18 01:11:59.145531,143985.0,-1829055.0,15.0,10.0,74.0,8.0,3577
2015-09-19 01:05:47.995856,143985.0,-1829055.0,,,,,3577
2015-09-26 01:12:00.058662,143985.0,-1829055.0,,,,,3577
2015-09-27 01:05:51.313767,143985.0,-1829055.0,13.0,8.0,77.0,7.0,3577
2015-10-04 01:12:03.087093,143985.0,-1829055.0,15.0,10.0,74.0,7.0,3577
2015-10-05 01:05:50.261327,143985.0,-1829055.0,10.0,4.0,85.0,7.0,3577
2015-10-12 01:12:10.213486,143985.0,-1829055.0,10.0,5.0,84.0,8.0,3577
2015-10-13 01:05:51.658700,143985.0,-1829055.0,11.0,9.0,79.0,7.0,3577
2015-10-20 01:12:04.729949,143985.0,-1829055.0,14.0,9.0,75.0,7.0,3577
2015-10-21 01:06:09.526287,143985.0,-1829055.0,5.0,5.0,89.0,7.0,3577
2015-10-28 01:12:26.304432,143985.0,-1829055.0,,,,,3577
2015-10-29 01:05:57.335215,143985.0,-1829055.0,18.0,11.0,70.0,8.0,3577
2015-11-05 01:12:08.900329,143985.0,-1829055.0,13.0,11.0,75.0,9.0,3577
2015-11-06 01:06:22.988741,143985.0,-1829055.0,,,,,3577
2015-11-13 01:12:42.404367,143985.0,-1829055.0,,,,,3577
2015-11-14 01:05:57.489731,143985.0,-1829055.0,14.0,9.0,76.0,8.0,3577
2015-11-21 01:12:10.582632,143985.0,-1829055.0,19.0,8.0,72.0,7.0,3577
2015-11-22 01:06:39.993140,143985.0,-1829055.0,21.0,6.0,72.0,7.0,3577
2015-11-29 01:12:55.532918,143985.0,-1829055.0,14.0,5.0,80.0,8.0,3577
2015-11-30 01:06:00.195346,143985.0,-1829055.0,,,,,3577
2015-12-07 01:12:09.646568,143985.0,-1829055.0,13.0,9.0,77.0,11.0,3577
2015-12-08 01:06:54.047133,143985.0,-1829055.0,,,,,3577
2015-12-15 01:13:12.428084,143985.0,-1829055.0,,,,,3577
2015-12-16 01:05:59.114013,143985.0,-1829055.0,,,,,3577
2015-12-23 01:12:10.411504,143985.0,-1829055.0,,,,,3577
2015-12-31 01:13:24.966259,143985.0,-1829055.0,,,,,3577
2016-01-01 01:05:57.516727,143985.0,-1829055.0,25.0,39.0,36.0,24.0,3577
2016-01-08 01:12:05.474733,143985.0,-1829055.0,28.0,22.0,49.0,9.0,3577
2016-01-09 01:07:23.551350,143985.0,-1829055.0,,,,,3577
2016-01-16 01:13:40.421064,143985.0,-1829055.0,22.0,27.0,50.0,9.0,3577
2016-01-17 01:05:56.240165,143985.0,-1829055.0,,,,,3577
2016-01-24 01:12:06.848113,143985.0,-1829055.0,2.0,40.0,57.0,14.0,3577
2016-01-25 01:07:35.817378,143985.0,-1829055.0,,,,,3577
2016-02-02 01:05:53.986178,143985.0,-1829055.0,,,,,3577
2016-02-09 01:12:01.899872,143985.0,-1829055.0,2.0,48.0,48.0,17.0,3577
2016-02-10 01:07:42.734032,143985.0,-1829055.0,,,,,3577
2016-02-17 01:13:54.487716,143985.0,-1829055.0,22.0,47.0,30.0,11.0,3577
2016-02-18 01:05:44.912810,143985.0,-1829055.0,22.0,46.0,31.0,10.0,3577
2016-02-25 01:11:55.706945,143985.0,-1829055.0,,,,,3577
2016-02-26 01:07:45.159616,143985.0,-1829055.0,0.0,43.0,56.0,10.0,3577
2016-03-04 01:14:01.328042,143985.0,-1829055.0,,,,,3577
2016-03-05 01:05:44.287927,143985.0,-1829055.0,17.0,54.0,28.0,11.0,3577
2016-03-12 01:11:53.174631,143985.0,-1829055.0,3.0,40.0,57.0,12.0,3577
2016-03-13 01:07:55.761480,143985.0,-1829055.0,0.0,59.0,40.0,13.0,3577
2016-03-20 01:14:09.284619,143985.0,-1829055.0,,,,,3577
2016-03-21 01:05:37.810271,143985.0,-1829055.0,11.0,56.0,31.0,11.0,3577
2016-03-28 01:11:43.849433,143985.0,-1829055.0,17.0,48.0,34.0,11.0,3577
