,site_location_name,latitude,longtitude
0,NSABHC0015,-31.83394,141.05925
1,NSABHC0017,-31.8433097222222,141.192628888889
2,NSABHC0025,-32.420531,141.535447
3,NTAPCK0003,-12.625497,132.853924
4,NTAPCK1009,-12.671938,132.942318
5,NTAPCK1010,-12.676906,132.964769
6,NTAPCK1011,-12.701198,132.929794
7,NTAPCK1012,-12.702209,132.932917
8,NTAPCK2013,-12.706168,132.927351
9,NTAPCK2014,-12.699107,132.930501
10,NTASSD0001,-25.3097916666667,136.307027777778
11,NTASSD0003,-25.2994444444444,136.298875
12,NTASSD0004,-25.2532666666667,136.274811111111
13,NTASSD0005,-25.7541111111111,136.546952777778
14,NTASSD0006,-25.7534361111111,136.547825
15,NTASSD0007,-25.7835555555556,136.564875
16,NTASSD0009,-24.7817328,136.0114582
17,NTASSD0010,-24.792826,136.021357
18,SAAFLB0006,-33.0857361111111,138.162691666667
19,SAAGAW0004,-30.87168877,135.4403808
20,SAARIV0001,-34.0843027777778,140.757602777778
21,SAARIV0002,-34.0833416666667,140.758477777778
22,SAARIV0003,-34.0838888888889,140.7602
23,SAARIV0004,-34.2615666666667,140.386861111111
24,SAARIV0005,-34.2634722222222,140.387733333333
25,SAARIV0006,-34.2636333333333,140.389852777778
26,SAARIV0007,-34.15945,139.926763888889
27,SAARIV0008,-34.1591472222222,139.925416666667
28,SAARIV0009,-34.1583777777778,139.927861111111
29,VCAAUA0004,-36.9077583333333,147.290138888889
30,VCAAUA0006,-36.9162194444444,147.212772222222
31,WAAPIL0006,-21.5642444444444,117.059097222222
32,WAAPIL0013,-22.6108555555556,118.293936111111
33,WAAPIL0017,-22.1338722222222,119.023691666667
34,WAGCOO0002,-30.3509916666667,120.642691666667
