"","site_location_name","longitude","latitude"
"1","NSABBS0001",148.976552,-31.281189
"2","NSABBS0002",148.992461111111,-31.2794527777778
"3","NSABBS0003",149.226827777778,-30.4546472222222
"4","NSABBS0004",149.246894444444,-30.4609638888889
"5","NSABBS0005",149.279986111111,-30.4987833333333
"6","NSABBS0006",149.267288888889,-30.5102722222222
"7","NSABHC0001",141.433754444444,-31.8933505555556
"8","NSABHC0002",141.432960833333,-31.9270269444444
"9","NSABHC0003",141.434033611111,-31.8287208333333
"10","NSABHC0004",141.9480675,-31.8472788888889
"11","NSABHC0005",141.940497777778,-31.8449577777778
"12","NSABHC0006",141.782308888889,-31.8842083333333
"13","NSABHC0007",141.764431944444,-31.9011336111111
"14","NSABHC0008",141.52881,-31.8859216666667
"15","NSABHC0009",141.697368611111,-31.0802347222222
"17","NSABHC0010",141.700309722222,-31.0767180555556
"18","NSABHC0011",141.6780775,-31.0253161111111
"19","NSABHC0012",141.741110277778,-31.0795666666667
"21","NSABHC0013",141.600803055556,-31.3239188888889
"22","NSABHC0014",141.5914625,-31.3311533333333
"23","NSABHC0015",141.05925,-31.83394
"24","NSABHC0016",141.0614425,-31.8340347222222
"25","NSABHC0017",141.192628888889,-31.8433097222222
"26","NSABHC0018",142.0537,-32.249087
"27","NSABHC0019",141.549646,-32.514855
"28","NSABHC0020",141.500681,-32.264805
"29","NSABHC0021",141.868274,-32.120072
"30","NSABHC0022",142.472433,-30.666082
"31","NSABHC0023",142.136552777778,-31.34395
"32","NSABHC0024",142.148516666667,-31.3467916666667
"33","NSABHC0025",141.535447,-32.420531
"34","NSABHC0026",142.268019,-31.778032
"35","NSABHC0028",141.717325,-31.0659777777778
"36","NSABHC0029",141.669402777778,-31.0621666666667
"37","NSACHC0001",142.264755555556,-29.4453861111111
"38","NSACHC0002",142.180561111111,-29.3067333333333
"39","NSACHC0003",141.895477777778,-29.2130861111111
"40","NSACHC0004",141.8645194,-29.06618333
"41","NSACOP0001",145.540680555556,-32.5910611111111
"42","NSACOP0002",145.665288888889,-32.6045194444444
"43","NSAMDD0001",142.560225,-34.1839194444444
"44","NSAMDD0002",142.602588888889,-34.2048166666667
"45","NSAMDD0003",142.604063888889,-34.2075416666667
"46","NSAMDD0004",142.5594,-34.1653666666667
"47","NSAMDD0005",143.203866666667,-33.6561944444444
"48","NSAMDD0006",143.166536111111,-33.6643194444444
"49","NSAMDD0007",141.160811111111,-33.3799805555556
"50","NSAMDD0008",141.072030555556,-33.4309611111111
"51","NSAMDD0009",141.065522222222,-33.4404944444444
"52","NSAMDD0010",141.293472222222,-33.4076027777778
"53","NSAMDD0011",141.012675,-33.4388194444444
"54","NSAMDD0012",141.266244444444,-33.2631611111111
"55","NSAMDD0013",141.106466666667,-33.2376527777778
"56","NSAMDD0014",141.191816666667,-33.1679388888889
"57","NSAMDD0015",141.090063888889,-33.3118222222222
"58","NSAMDD0016",141.089808333333,-33.2822888888889
"59","NSAMDD0017",145.566383333333,-33.6687638888889
"60","NSAMDD0018",145.784008333333,-33.5672333333333
"61","NSAMDD0019",145.699369444444,-33.1921472222222
"62","NSAMDD0020",145.708558333333,-33.2068027777778
"63","NSAMDD0021",145.717186111111,-33.2008361111111
"64","NSAMDD0022",145.760172222222,-33.2252222222222
"65","NSAMDD0023",144.649777777778,-32.6900916666667
"66","NSAMDD0024",144.627461111111,-32.6822083333333
"67","NSAMDD0025",144.246994444444,-31.6085916666667
"68","NSAMDD0026",144.201152777778,-31.6280111111111
"69","NSAMDD0027",144.189633333333,-31.4869194444444
"70","NSAMDD0028",144.182816666667,-31.4914388888889
"71","NSAMDD0029",144.366963888889,-31.3325166666667
"72","NSAMDD0030",144.363766666667,-31.3179277777778
"73","NSAMDD0031",145.492225,-32.5862694444444
"74","NSAMDD0032",145.420908333333,-32.7432472222222
"75","NSAMUL0001",145.009269444444,-29.2461944444444
"76","NSAMUL0002",145.042447222222,-29.21015
"77","NSAMUL0003",145.057058333333,-29.1858916666667
"78","NSAMUL0004",145.066908333333,-29.1699861111111
"79","NSANAN0001",150.152725,-30.2837416666667
"80","NSANAN0002",150.152063888889,-30.2822805555556
"81","NSANET0001",151.707944444444,-29.2564805555556
"85","NSANSS0001",148.347694444444,-32.7498555555556
"86","NSANSS0002",148.323979966389,-32.8352299647222
"87","NSTNSS0001",150.228138888889,-33.0839138888889
"88","NSTSYB0001",151.134961111111,-33.6733444444444
"89","NSTSYB0002",150.625916666667,-33.5947055555556
"90","NSTSYB0003",150.565833333333,-33.5266944444444
"91","NSTSYB0004",150.456416666667,-33.7050222222222
"92","NSTSYB0005",150.319194444444,-33.6479138888889
"93","NSTSYB0006",150.251194444444,-33.3110111111111
"94","NSTSYB0007",150.139719444444,-33.3293666666667
"95","NSTSYB0008",150.027222222222,-33.22035
"96","NSTSYB0009",150.364622222222,-33.5788305555556
"97","NTAARP0001",132.270091666667,-13.5572916666667
"98","NTAARP0002",132.294363888889,-13.5456111111111
"99","NTAARP0003",132.457058333333,-13.5169694444444
"100","NTAARP0004",132.986464155063,-12.6917831785377
"102","NTAARP0005",132.98496,-12.727229
"104","NTABRT0001",133.247327777778,-22.2836
"106","NTABRT0002",133.250630555556,-22.2836694444444
"108","NTABRT0003",133.269858333333,-22.2835805555556
"110","NTABRT0004",133.616422222222,-22.2898083333333
"112","NTABRT0005",133.612075,-22.2910805555556
"114","NTABRT0006",133.613255555556,-22.2890805555556
"116","NTABRT0007",133.6380666,-22.2883483
"117","NTABRT0008",133.448367,-21.9042505
"118","NTADAC0001",130.777911111111,-13.15835
"119","NTADAC0002",132.340336111111,-12.739225
"120","NTADMR0001",134.5673747,-19.3530953
"121","NTADMR0002",134.2030725,-19.5750838
"122","NTAFIN0001",133.467922222222,-24.1243027777778
