training_set,pv_filter,npv_filter,bs_filter,loss_mean
Train,2.4592105144477934,2.370834544303968,2.3417175199868465,2.390587526246203
Test,37.37773461592315,54.42448259104634,61.63850444069595,51.14690721588848
