"Name","X","Y"
"NSABBS0001",148.976552,-31.281189
"NSABBS0001",148.9776111,-31.28116389
"NSABBS0001",148.9776056,-31.28026389
"NSABBS0001",148.976533,-31.280287
"NSABBS0002",148.9924611,-31.27945278
"NSABBS0002",148.9935139,-31.27947222
"NSABBS0002",148.99349,-31.278537
"NSABBS0002",148.9924667,-31.27856667
"NSABBS0003",149.2268111,-30.45465556
"NSABBS0003",149.22785,-30.45478611
"NSABBS0003",149.2280417,-30.45390278
"NSABBS0003",149.2270306,-30.45375278
"NSABBS0004",149.2468944,-30.46096389
"NSABBS0004",149.2479139,-30.46112778
"NSABBS0004",149.2481278,-30.46026667
"NSABBS0004",149.2471139,-30.46006389
"NSABBS0005",149.2799861,-30.49878333
"NSABBS0005",149.2809917,-30.49891111
"NSABBS0005",149.2811806,-30.49801111
"NSABBS0005",149.2801583,-30.49786667
"NSABBS0006",149.2672889,-30.51027222
"NSABBS0006",149.2682833,-30.5104
"NSABBS0006",149.2684639,-30.50948889
"NSABBS0006",149.2674583,-30.50936944
"NSABBS0007",150.4668667,-31.29615556
"NSABBS0007",150.4679111,-31.29615556
"NSABBS0007",150.4679139,-31.29525833
"NSABBS0007",150.4668639,-31.29525278
"NSABBS0008",150.4110083,-31.30246944
"NSABBS0008",150.4120583,-31.30246667
"NSABBS0008",150.4120583,-31.30156389
"NSABBS0008",150.4110083,-31.30156389
"NSABBS0009",150.4550778,-31.269675
"NSABBS0009",150.456125,-31.26967778
"NSABBS0009",150.4561278,-31.26877222
"NSABBS0009",150.4550778,-31.26876944
"NSABBS0010",150.1159222,-31.12094444
"NSABBS0010",150.116975,-31.12094722
"NSABBS0010",150.1169667,-31.12004167
"NSABBS0010",150.115925,-31.12004722
"NSABBS0011",150.097497,-30.77176759
"NSABBS0011",150.0978806,-30.77197222
"NSABBS0011",150.0982583,-30.77019444
"NSABBS0011",150.0977639,-30.769975
"NSABBS0012",150.7423417,-29.24169167
"NSABBS0012",150.7433722,-29.24169444
"NSABBS0012",150.7433667,-29.24079722
"NSABBS0012",150.7423444,-29.24078611
"NSABHC0001",141.4337544,-31.89335056
"NSABHC0001",141.4348653,-31.89348194
"NSABHC0001",141.4349667,-31.89257056
"NSABHC0001",141.4338769,-31.89245694
"NSABHC0002",141.4329608,-31.92702694
"NSABHC0002",141.4340031,-31.92710194
"NSABHC0002",141.4341314,-31.92621083
"NSABHC0002",141.4330519,-31.92612444
"NSABHC0003",141.4340336,-31.82872083
"NSABHC0003",141.4351439,-31.8288525
"NSABHC0003",141.4352453,-31.82794083
"NSABHC0003",141.4341564,-31.82782722
"NSABHC0004",141.9480675,-31.84727889
"NSABHC0004",141.9490903,-31.84738583
"NSABHC0004",141.9492431,-31.84647833
"NSABHC0004",141.9481853,-31.84638472
"NSABHC0005",141.9404978,-31.84495778
"NSABHC0005",141.9415206,-31.845065
"NSABHC0005",141.9416733,-31.84415722
"NSABHC0005",141.9406156,-31.84406361
"NSABHC0006",141.7823089,-31.88420833
"NSABHC0006",141.7833675,-31.88432194
"NSABHC0006",141.7835394,-31.88341611
"NSABHC0006",141.7824706,-31.88330528
"NSABHC0007",141.7644319,-31.90113361
"NSABHC0007",141.7655044,-31.90112083
"NSABHC0007",141.7655008,-31.9002175
"NSABHC0007",141.7644492,-31.90022556
"NSABHC0008",141.5288978,-31.88644472
"NSABHC0008",141.5298364,-31.88602556
"NSABHC0008",141.5299794,-31.88515889
"NSABHC0008",141.5289422,-31.88498278
"NSABHC0009",141.6973686,-31.08023472
"NSABHC0009",141.6984386,-31.08032806
"NSABHC0009",141.6985581,-31.07946139
"NSABHC0009",141.6975089,-31.07934056
"NSABHC0010",141.7003097,-31.07671806
"NSABHC0010",141.7013331,-31.07682472
"NSABHC0010",141.7014778,-31.07592667
"NSABHC0010",141.7004708,-31.07581472
"NSABHC0011",141.6780775,-31.02531611
"NSABHC0011",141.6791153,-31.02537389
"NSABHC0011",141.6793289,-31.02448861
"NSABHC0011",141.6782703,-31.02442194
"NSABHC0012",141.7411103,-31.07956667
"NSABHC0012",141.7422439,-31.07973167
"NSABHC0012",141.7424064,-31.07885111
"NSABHC0012",141.7413656,-31.07869889
"NSABHC0013",141.6008031,-31.32391889
"NSABHC0013",141.60187,-31.32401694
"NSABHC0013",141.6020089,-31.32313222
"NSABHC0013",141.6009553,-31.32303389
"NSABHC0014",141.5914625,-31.33115333
"NSABHC0014",141.5924619,-31.33125694
"NSABHC0014",141.5926203,-31.33037056
"NSABHC0014",141.5915725,-31.33025944
"NSABHC0016",141.0614425,-31.83403472
"NSABHC0016",141.0625522,-31.83416944
"NSABHC0016",141.0626572,-31.83325833
"NSABHC0016",141.0615686,-31.83314139
"NSABHC0017",141.1926289,-31.84330972
"NSABHC0017",141.1937389,-31.84344333
"NSABHC0017",141.1938428,-31.84253194
"NSABHC0017",141.1927539,-31.84241611
"NSABHC0028",141.717325,-31.06597778
"NSABHC0028",141.7183722,-31.06598611
"NSABHC0028",141.7183722,-31.06508056
"NSABHC0028",141.717325,-31.06508333
"NSABHC0029",141.6694028,-31.06216667
"NSABHC0029",141.6704583,-31.062175
"NSABHC0029",141.6704556,-31.06126389
"NSABHC0029",141.6694139,-31.06126667
"NSACHC0001",142.2647556,-29.44538611
"NSACHC0001",142.2657917,-29.44538333
"NSACHC0001",142.2657889,-29.44448333
"NSACHC0001",142.2647528,-29.44448611
"NSACHC0002",142.1805611,-29.30673333
"NSACHC0002",142.1815944,-29.30673333
"NSACHC0002",142.1815889,-29.30583333
"NSACHC0002",142.1805611,-29.30583333
"NSACHC0003",141.8954694,-29.21308333
"NSACHC0003",141.8964972,-29.21307778
"NSACHC0003",141.8964917,-29.21217778
"NSACHC0003",141.8954667,-29.21217778
"NSACHC0004",141.8645194,-29.06618333
"NSACHC0004",141.8655377,-29.06619338
"NSACHC0004",141.8655456,-29.06528822
"NSACHC0004",141.8645214,-29.06529352
"NSACOP0001",145.5406806,-32.59106111
"NSACOP0001",145.5417389,-32.59104444
"NSACOP0001",145.5417417,-32.59015
"NSACOP0001",145.540675,-32.59014722
"NSACOP0002",145.6652889,-32.60451944
