"","site_location_name","pit_marker_easting","pit_marker_northing","pit_marker_mga_zones","latitude","longitude"
"62","NTAGFU0006",694687,7922649,53,-18.7786916666667,136.847072222222
"63","NTAGFU0014",705574.408,8036214.402,53,-17.7517888888889,136.9389
"64","NTAFIN0020",338271,7270809,53,-24.6685694444444,133.401686111111
"65","NTAGFU0007",692488,7922868,53,-18.7769138888889,136.826202777778
"66","NTAGFU0008",696604,7921811,53,-18.786075,136.865338888889
"67","NTAGFU0012",713898,8020202,53,-17.8956416666667,137.018994444444
"68","NTAGFU0019",737812,8094983,53,-17.2177416666667,137.236291666667
"69","NTAGFU0018",732118,8088987,53,-17.2724861111111,137.183413888889
"70","NTAGFU0031",433802,8438268,53,-14.1258555555556,134.386677777778
"71","NTAGFU0015",706022.906,8037021.051,53,-17.7444611111111,136.94305
"72","SAAEYB0007",670794.6,6095342.7,53,-35.2704748,136.8777863
"73","NTAGFU0013",713116,8020181,53,-17.8959083333333,137.011625
"74","NTAGFU0024",595167,8139479,53,-16.8260027777778,135.893211111111
"75","NTAGFU0025",591115,8139580,53,-16.8252416666667,135.855180555556
"76","NTAGFU0027",549360,8266487,53,-15.679275,135.460613888889
"77","NTAGFU0028",549280,8272022,53,-15.6292388888889,135.459755555556
"78","NTAGFU0029",543861,8282114,53,-15.5381,135.409022222222
"79","NTAGFU0030",432850,8437266,53,-14.1348972222222,134.377833333333
"80","NTAGFU0033",430450,8432606,53,-14.1769611111111,134.355480555556
"81","NTAGFU0026",543487,8252136,53,-15.8091222222222,135.406069444444
"82","NTAGFU0036",377572,8377359,53,-14.674575,133.862983333333
"83","NTAGFU0038",380893,8375672,53,-14.689975,133.893744444444
"84","NTAGFU0039",379649,8377123,53,-14.6768,133.882252777778
"90","NTAGFU0040",375611,8377445,53,-14.6737055555556,133.844775
"91","NTASSD0018",552679,7220793,53,-25.1279333333333,135.522638888889
"92","NTAMGD0002",743411,7784206,53,-20.0246361111111,137.3258
"93","NTASSD0017",525974,7182249,53,-25.4765888888889,135.258422222222
"94","NTASSD0019",564614,7224440,53,-25.0944083333333,135.640791666667
"95","NTTPCK0001",730922,8576160,52,-12.8719611111111,131.126994444444
"96","QDAGUP0001",784863,7774150,54,-20.1087638888889,143.724355555556
"97","QDAGUP0002",788996,7782727,54,-20.0309972222222,143.762527777778
"98","QDAGUP0005",653271,7788802,54,-19.9913722222222,142.46505
"99","QDAGUP0007",585424,7778982,54,-20.084325,141.817025
"100","QDAEIU0002",208827,7835782,55,-19.5525,144.22415
"101","NTTDMR0002",355543,8001254,53,-18.0724972222222,133.635022222222
"102","QDAGUP0016",473388,7982267,54,-18.2488555555556,140.748266666667
"103","QDAMGD0008",201596,7381904,55,-23.6460138888889,144.074980555556
"104","QDAGUP0008",606987,7810243,54,-19.8016944444444,142.021525
"105","QDAEIU0005",806347,7957021,54,-18.4549388888889,143.899397222222
"106","QDAGUP0004",654702,7786420,54,-20.0137333333333,142.477888888889
"107","QDAGUP0019",507921,8051780,54,-17.6216583333333,141.073663888889
"108","QDAGUP0023",504070,8117851,54,-17.0233861111111,141.037302777778
"109","QDAGUP0024",483802,8069140,54,-17.4635388888889,140.847533333333
"110","QDAMGD0002",216772.199,7397393.863,55,-23.5094777777778,144.226038888889
"111","QDAMGD0005",227745.654,7396685.482,55,-23.5177361111111,144.333286111111
"112","QDAMGD0001",216740,7396082,55,-23.5207694444444,144.225891666667
"113","QDAGUP0018",511175,8047365,54,-17.6605388888889,141.105402777778
"114","QDAMGD0022",529568,7526350,54,-22.3687444444444,141.287280555556
"115","QDAMGD0009",737519,7333362,54,-24.0941638888889,143.3365
"116","QDAMGD0010",739299,7333714,54,-24.0912138888889,143.353413888889
"117","QDAMGD0014",708324,7509845,54,-22.50515,143.025197222222
"118","QDAGUP0030",729983,8135994,54,-16.8480416666667,143.158466666667
"119","QDAMGD0018",741082,7552234,54,-22.1181777777778,143.337166666667
"120","QDAMGD0021",530883,7524990,54,-22.3808,141.299880555556
"121","QDAMGD0024",500378,7384907,54,-23.6464194444444,141.003738888889
"122","QDAMGD0025",800022,7748496,54,-20.3379472222222,143.872438888889
"123","QDAMGD0003",224678,7395117,55,-23.5308277777778,144.303463888889
"124","QDAMGD0027",204478,7778314,54,-20.0695166666667,138.174561111111
"126","SATSTP0006",288415,6731247,54,-29.5305,138.8167
"127","QDAMGD0026",798588,7742081,54,-20.3961916666667,143.860777777778
"128","QDAMGD0020",626193,7559615,54,-22.0636027777778,142.223008333333
"130","QDASSD0005",239148,7377365,54,-23.6944388888889,138.440997222222
"132","SAASTP0003",507285,7093980,53,-26.2739,135.072966666667
"135","QDASSD0009",209049,7346440,54,-23.9673083333333,138.140975
"136","SAAMDD0010",362218,6201284,54,-34.3205658333333,139.502423888889
"138","SAAMDD0011",364745.6,6201368.5,54,-34.3199805555556,139.530028611111
"140","SAASTP0015",665236,6916545,53,-27.8656666666667,136.678330555556
"141","SAASTP0020",642858,6853449,53,-28.4376444444444,136.458813888889
"142","SAASTP0024",497432,6903450,53,-27.9941,134.973888888889
"143","SAASTP0029",584634,6892850,53,-28.0870777777778,135.861472222222
"144","SASMDD0010",460756,6237322,54,-34.003975,140.575022222222
"145","SAASTP0025",497179,6907259,53,-27.9597227777778,134.971319444444
"147","SATFLB0005",268408.601,6532871.277,54,-31.3154611111111,138.566366666667
"148","WAACOO0022",272111,6657200,51,-30.1953055555556,120.63275
"149","WAAPIL0001",631708,7500116,50,-22.6008194444444,118.281502777778
"150","SAAGAW0001",705315,6348531,53,-32.9832472222222,137.197208333333
"151","SATKAN0001",795429,6054600,53,-35.6082694444444,138.261275
"153","SATFLB0016",340407.7,6641982.033,54,-30.343475,139.339691666667
"155","WAGCOO0001",273633,6630527,51,-30.4361277777778,120.642905555556
"156","SATFLB0021",329014.992,6634205.243,54,-30.4121111111111,139.219941666667
"158","SATFLB0017",343756,6643326,54,-30.3318111111111,139.373672222222
"160","QDACYP0016",656103.481,8728761.631,54,-11.4971583333333,142.430338888889
"161","SATSTP0004",290428,6702345,54,-29.7914694444444,138.831855555556
"163","SATFLB0012",290650.504,6137894.765,54,-34.88076551,138.7082603
"165","SATFLB0019",329942,6655669,54,-30.2195305555556,139.232869444444
"167","SATFLB0009",213270.675,6421213.873,54,-32.310521035,137.968270713
"169","WAACOO0010",245667,6541632,51,-31.2318083333333,120.329833333333
"170","WAACOO0003",751755,6523045,50,-31.3999722222222,119.647861111111
"171","WAACOO0004",751634,6523166,50,-31.3988611111111,119.646555555556
"172","WAACOO0012",245913.9,6541022.5,51,-31.2373611111111,120.332297222222
"173","WAACOO0026",276035.6,6620122.4,51,-30.5303861111111,120.665680555556
"174","WAAHAM0002",427975,6471794,52,-31.8882611111111,128.237330555556
"175","WAACOO0008",764905,6499464,50,-31.60951,119.79227
"177","SATEYB0002",228706,6290679,54,-33.4890277777778,138.080141666667
"178","WAANUL0002",771165,6489357,51,-31.6990694444444,125.861055555556
"179","QDACHC0006",513606,7371273,54,-23.7694527777778,141.133497222222
"180","WAAHAM0006",245824,6432085,52,-32.2191416666667,126.301886111111
"181","WAACOO0023",272942,6657494,51,-30.1927941666667,120.641466944444
"182","QDACHC0002",720498,7330179,54,-24.1259555555556,143.169161111111
"183","WAACOO0027",275421.5,6623311.3,51,-30.5014861111111,120.660041666667
"184","WAALSD0003",261068,7203170,51,-25.2688666666667,120.6275
"185","SATFLB0003",317104.999,6172162.842,54,-34.576925,139.006103
"187","QDAGUP0026",483817,8068389,54,-17.4704861111111,140.847705555556
"188","NTAPCK0003",266993.6,8603431.5,53,-12.625497,132.853924
"190","VCAMDD0001",555728,6128894,54,-34.9809861111111,141.610538888889
"191","VCAMDD0003",566567,6127003,54,-34.9982944444444,141.728361111111
"192","WAAPIL0020",512465,7609840,50,-21.6144333333333,117.120475
"193","NSABHC0019",551626.05,6402360.71,54,-32.514855,141.549646
"194","NTAFIN0027",360807,7363289,53,-23.8357277777778,133.633302777778
"195","WAANUL0006",377723,6677806,52,-30.0255694444444,127.730944444444
"196","WAAPIL0033",725382,7431144,50,-23.2140083333333,119.202358333333
"197","NSABHC0022",641066,6606483,54,-30.666082,142.472433
"198","WAACOO0001",739496,6523368,50,-31.3996111111111,119.518944444444
"199","WAAPIL0003",505898,7618067,50,-21.5411027777778,117.057005555556
"200","WAAPIL0014",625874,7496263,50,-22.635899029,118.224854816
"201","NSABHC0016",505820,6477968,54,-31.8340347222222,141.0614425
"202","NSAMDD0029",249559,6530657,55,-31.3325166666667,144.366963888889
"203","NTAFIN0025",366238,7254516,53,-24.8183638888889,133.676455555556
"204","SAAGAW0002",709823,6348777,53,-32.9801194444444,137.244272222222
"205","WAAPIL0019",707359,7532361,50,-22.3029222222222,119.012908333333
